"image","predicted_emotion"
"1019","fear"
"1022","fear"
"1030","fear"
"1040","fear"
"1050","fear"
"1051","fear"
"1052","fear"
"1070","fear"
"1080","fear"
"1090","fear"
"1101","fear"
"1110","fear"
"1111","disgust"
"1112","fear"
"1113","fear"
"1120","fear"
"1121","surprise"
"1200","disgust"
"1201","disgust"
"1220","disgust"
"1230","disgust"
"1240","fear"
"1270","disgust"
"1274","disgust"
"1275","disgust"
"1280","disgust"
"1300","fear"
"1301","happiness"
"1302","fear"
"1303","happiness"
"1310","disgust"
"1313","fear"
"1321","fear"
"1340","happiness"
"1390","disgust"
"1440","happiness"
"1450","happiness"
"1460","happiness"
"1463","happiness"
"1500","happiness"
"1510","happiness"
"1540","happiness"
"1560","surprise"
"1590","happiness"
"1600","happiness"
"1601","happiness"
"1602","happiness"
"1603","happiness"
"1604","happiness"
"1610","happiness"
"1616","fear"
"1620","happiness"
"1640","sadness"
"1650","surprise"
"1660","sadness"
"1670","happiness"
"1710","happiness"
"1720","fear"
"1721","happiness"
"1722","happiness"
"1740","surprise"
"1750","happiness"
"1810","sadness"
"1811","happiness"
"1812","happiness"
"1850","happiness"
"1900","wonder"
"1910","surprise"
"1920","happiness"
"1930","fear"
"1931","fear"
"1942","happiness"
"1945","disgust"
"1999","happiness"
"2000","happiness"
"2010","happiness"
"2020","happiness"
"2030","happiness"
"2040","happiness"
"2050","happiness"
"2053","sadness"
"2057","happiness"
"2058","happiness"
"2070","surprise"
"2080","surprise"
"2091","happiness"
"2092","happiness"
"2100","anger"
"2110","anger"
"2120","anger"
"2130","anger"
"2141","sadness"
"2150","happiness"
"2160","happiness"
"2165","happiness"
"2170","happiness"
"2190","sadness"
"2200","sadness"
"2205","sadness"
"2206","happiness"
"2208","happiness"
"2209","happiness"
"2210","sadness"
"2214","happiness"
"2215","happiness"
"2216","happiness"
"2220","anger"
"2221","sadness"
"2230","sadness"
"2240","sadness"
"2250","sadness"
"2260","happiness"
"2270","sadness"
"2271","sadness"
"2276","sadness"
"2280","sadness"
"2303","happiness"
"2304","happiness"
"2310","happiness"
"2311","happiness"
"2312","sadness"
"2320","happiness"
"2331","happiness"
"2340","happiness"
"2341","happiness"
"2344","happiness"
"2345","happiness"
"2351","sadness"
"2352","happiness"
"2360","happiness"
"2370","happiness"
"2372","surprise"
"2381","happiness"
"2383","happiness"
"2385","sadness"
"2389","happiness"
"2391","happiness"
"2410","sadness"
"2440","sadness"
"2480","sadness"
"2485","happiness"
"2487","happiness"
"2490","sadness"
"2495","sadness"
"2500","happiness"
"2501","happiness"
"2510","happiness"
"2514","happiness"
"2515","happiness"
"2516","happiness"
"2518","sadness"
"2520","sadness"
"2530","happiness"
"2540","happiness"
"2550","happiness"
"2560","happiness"
"2570","anger"
"2575","anger"
"2580","sadness"
"2590","happiness"
"2600","happiness"
"2616","fear"
"2620","happiness"
"2630","happiness"
"2650","happiness"
"2655","happiness"
"2660","happiness"
"2661","sadness"
"2681","fear"
"2682","fear"
"2690","fear"
"2691","anger"
"2692","happiness"
"2700","sadness"
"2702","happiness"
"2710","sadness"
"2720","disgust"
"2722","sadness"
"2730","sadness"
"2749","anger"
"2750","sadness"
"2751","disgust"
"2752","happiness"
"2753","sadness"
"2791","happiness"
"2800","sadness"
"2810","anger"
"2830","sadness"
"2840","sadness"
"2850","happiness"
"2870","happiness"
"2880","happiness"
"2890","surprise"
"2900","sadness"
"3000","disgust"
"3010","disgust"
"3015","sadness"
"3022","fear"
"3030","sadness"
"3051","sadness"
"3053","disgust"
"3060","disgust"
"3061","sadness"
"3062","disgust"
"3063","sadness"
"3064","disgust"
"3071","sadness"
"3080","disgust"
"3100","sadness"
"3102","sadness"
"3110","sadness"
"3120","sadness"
"3130","sadness"
"3140","sadness"
"3150","disgust"
"3160","sadness"
"3168","sadness"
"3170","sadness"
"3180","sadness"
"3181","sadness"
"3190","sadness"
"3210","happiness"
"3220","sadness"
"3230","sadness"
"3250","disgust"
"3261","sadness"
"3266","sadness"
"3280","sadness"
"3300","sadness"
"3301","sadness"
"3350","sadness"
"3400","disgust"
"3500","fear"
"3530","fear"
"3550","fear"
"4000","disgust"
"4001","happiness"
"4002","happiness"
"4003","happiness"
"4004","happiness"
"4005","happiness"
"4100","happiness"
"4150","happiness"
"4180","happiness"
"4210","happiness"
"4220","happiness"
"4230","surprise"
"4232","happiness"
"4233","happiness"
"4235","happiness"
"4240","happiness"
"4250","happiness"
"4274","happiness"
"4275","happiness"
"4279","happiness"
"4290","happiness"
"4300","sadness"
"4302","disgust"
"4310","happiness"
"4320","happiness"
"4460","anger"
"4470","happiness"
"4490","anger"
"4500","happiness"
"4510","happiness"
"4520","happiness"
"4530","sadness"
"4531","happiness"
"4532","happiness"
"4533","happiness"
"4534","happiness"
"4535","determination"
"4536","happiness"
"4550","disgust"
"4561","happiness"
"4571","happiness"
"4572","happiness"
"4598","happiness"
"4599","happiness"
"4601","happiness"
"4603","happiness"
