"image","predicted_emotion"
"1019","disgust"
"1022","fear"
"1030","fear"
"1040","fear"
"1050","fear"
"1051","fear"
"1052","fear"
"1070","fear"
"1080","fear"
"1090","fear"
"1101","fear"
"1110","fear"
"1111","disgust"
"1112","fear"
"1113","fear"
"1120","fear"
"1121","surprise"
"1200","disgust"
"1201","fear"
"1220","disgust"
"1230","disgust"
"1240","fear"
"1270","disgust"
"1274","disgust"
"1275","disgust"
"1280","disgust"
"1300","fear"
"1301","fear"
"1302","fear"
"1303","surprise"
"1310","disgust"
"1313","surprise"
"1321","fear"
"1340","happiness"
"1390","surprise"
"1440","happiness"
"1450","surprise"
"1460","happiness"
"1463","happiness"
"1500","happiness"
"1510","happiness"
"1540","happiness"
"1560","surprise"
"1590","happiness"
"1600","happiness"
"1601","happiness"
"1602","happiness"
"1603","happiness"
"1604","happiness"
"1610","happiness"
"1616","disgust"
"1620","happiness"
"1640","surprise"
"1650","surprise"
"1660","surprise"
"1670","happiness"
"1710","happiness"
"1720","surprise"
"1721","happiness"
"1722","happiness"
"1740","surprise"
"1750","happiness"
"1810","surprise"
"1811","happiness"
"1812","happiness"
"1850","happiness"
"1900","happiness"
"1910","surprise"
"1920","happiness"
"1930","fear"
"1931","fear"
"1942","happiness"
"1945","surprise"
"1999","happiness"
"2000","happiness"
"2010","happiness"
"2020","happiness"
"2030","happiness"
"2040","happiness"
"2050","happiness"
"2053","sadness"
"2057","happiness"
"2058","happiness"
"2070","surprise"
"2080","happiness"
"2091","happiness"
"2092","happiness"
"2100","anger"
"2110","fear"
"2120","anger"
"2130","anger"
"2141","sadness"
"2150","happiness"
"2160","happiness"
"2165","happiness"
"2170","happiness"
"2190","surprise"
"2200","surprise"
"2205","sadness"
"2206","surprise"
"2208","happiness"
"2209","happiness"
"2210","surprise"
"2214","happiness"
"2215","surprise"
"2216","happiness"
"2220","surprise"
"2221","sadness"
"2230","fear"
"2240","surprise"
"2250","surprise"
"2260","happiness"
"2270","surprise"
"2271","fear"
"2276","sadness"
"2280","sadness"
"2303","happiness"
"2304","happiness"
"2310","happiness"
"2311","happiness"
"2312","sadness"
"2320","happiness"
"2331","happiness"
"2340","happiness"
"2341","happiness"
"2344","happiness"
"2345","happiness"
"2351","happiness"
"2352","happiness"
"2360","happiness"
"2370","happiness"
"2372","surprise"
"2381","surprise"
"2383","surprise"
"2385","sadness"
"2389","happiness"
"2391","happiness"
"2410","surprise"
"2440","sadness"
"2480","sadness"
"2485","happiness"
"2487","happiness"
"2490","sadness"
"2495","sadness"
"2500","happiness"
"2501","happiness"
"2510","happiness"
"2514","surprise"
"2515","happiness"
"2516","happiness"
"2518","happiness"
"2520","sadness"
"2530","happiness"
"2540","happiness"
"2550","happiness"
"2560","happiness"
"2570","sadness"
"2575","surprise"
"2580","happiness"
"2590","happiness"
"2600","happiness"
"2616","fear"
"2620","sadness"
"2630","surprise"
"2650","happiness"
"2655","happiness"
"2660","happiness"
"2661","fear"
"2681","fear"
"2682","fear"
"2690","fear"
"2691","anger"
"2692","fear"
"2700","sadness"
"2702","happiness"
"2710","sadness"
"2720","disgust"
"2722","sadness"
"2730","happiness"
"2749","sadness"
"2750","sadness"
"2751","disgust"
"2752","sadness"
"2753","disgust"
"2791","happiness"
"2800","sadness"
"2810","surprise"
"2830","sadness"
"2840","surprise"
"2850","happiness"
"2870","happiness"
"2880","surprise"
"2890","surprise"
"2900","sadness"
"3000","disgust"
"3010","disgust"
"3015","disgust"
"3022","surprise"
"3030","sadness"
"3051","disgust"
"3053","disgust"
"3060","disgust"
"3061","disgust"
"3062","disgust"
"3063","disgust"
"3064","disgust"
"3071","disgust"
"3080","disgust"
"3100","disgust"
"3102","disgust"
"3110","disgust"
"3120","sadness"
"3130","disgust"
"3140","disgust"
"3150","disgust"
"3160","sadness"
"3168","disgust"
"3170","sadness"
"3180","sadness"
"3181","sadness"
"3190","disgust"
"3210","surprise"
"3220","sadness"
"3230","sadness"
"3250","disgust"
"3261","disgust"
"3266","disgust"
"3280","fear"
"3300","sadness"
"3301","sadness"
"3350","sadness"
"3400","disgust"
"3500","fear"
"3530","fear"
"3550","disgust"
"4000","disgust"
"4001","happiness"
"4002","happiness"
"4003","disgust"
"4004","happiness"
"4005","disgust"
"4100","happiness"
"4150","happiness"
"4180","disgust"
"4210","happiness"
"4220","happiness"
"4230","disgust"
"4232","happiness"
"4233","surprise"
"4235","disgust"
"4240","disgust"
"4250","happiness"
"4274","happiness"
"4275","happiness"
"4279","happiness"
"4290","disgust"
"4300","sadness"
"4302","disgust"
"4310","disgust"
"4320","disgust"
"4460","disgust"
"4470","happiness"
"4490","disgust"
"4500","happiness"
"4510","happiness"
"4520","happiness"
"4530","happiness"
"4531","happiness"
"4532","happiness"
"4533","happiness"
"4534","happiness"
"4535","happiness"
"4536","happiness"
"4550","disgust"
"4561","happiness"
"4571","happiness"
"4572","happiness"
"4598","happiness"
"4599","happiness"
"4601","happiness"
"4603","happiness"
"4605","surprise"
"4606","happiness"
"4607","happiness"
"4608","happiness"
"4609","happiness"
"4610","happiness"
"4611","happiness"
"4613","disgust"
"4614","happiness"
"4617","happiness"
"4621","sadness"
"4631","happiness"
"4635","disgust"
"4640","happiness"
"4641","happiness"
"4650","happiness"
"4651","happiness"
"4652","happiness"
"4653","happiness"
"4656","happiness"
"4658","happiness"
"4659","happiness"
"4660","happiness"
"4664","happiness"
"4666","happiness"
"4669","happiness"
"4670","happiness"
"4672","happiness"
"4680","happiness"
"4681","happiness"
"4683","happiness"
"4687","happiness"
"4689","happiness"
"4690","happiness"
"4700","happiness"
"4750","disgust"
"4770","happiness"
"4800","happiness"
"4810","happiness"
"5000","happiness"
"5001","happiness"
"5010","happiness"
"5020","happiness"
"5030","happiness"
"5120","disgust"
"5130","disgust"
"5200","happiness"
"5201","happiness"
"5220","happiness"
"5250","fear"
"5260","happiness"
"5270","surprise"
"5300","surprise"
"5390","happiness"
"5395","surprise"
"5410","happiness"
"5450","surprise"
"5455","surprise"
"5460","surprise"
"5470","surprise"
"5480","happiness"
"5500","disgust"
"5510","surprise"
"5520","surprise"
"5530","surprise"
"5531","surprise"
"5532","disgust"
"5533","surprise"
"5534","disgust"
"5535","surprise"
"5593","surprise"
"5594","surprise"
"5600","happiness"
"5621","surprise"
"5622","surprise"
"5623","surprise"
"5626","surprise"
"5628","happiness"
"5629","surprise"
"5660","happiness"
"5700","surprise"
"5720","happiness"
"5731","happiness"
"5740","happiness"
"5750","happiness"
"5760","happiness"
"5779","happiness"
"5780","happiness"
"5800","happiness"
"5820","happiness"
"5830","happiness"
"5831","happiness"
"5849","happiness"
"5870","happiness"
"5875","happiness"
"5890","surprise"
"5891","happiness"
"5900","surprise"
"5910","happiness"
"5920","fear"
"5940","fear"
"5950","fear"
"5970","fear"
"5971","fear"
"5972","fear"
"5982","happiness"
"5990","calm"
"5991","happiness"
"5994","happiness"
"6000","sadness"
"6010","sadness"
"6020","fear"
"6150","disgust"
"6190","fear"
"6200","fear"
"6210","fear"
"6211","fear"
"6212","fear"
"6213","fear"
"6230","fear"
"6241","fear"
"6242","fear"
"6243","anger"
"6244","fear"
"6250","fear"
"6260","fear"
"6300","fear"
"6312","fear"
"6313","surprise"
"6314","surprise"
"6350","fear"
"6360","surprise"
"6370","fear"
"6410","fear"
"6510","fear"
"6530","sadness"
"6540","fear"
"6550","fear"
"6560","fear"
"6561","happiness"
"6570","fear"
"6571","fear"
"6610","fear"
"6800","disgust"
"6821","anger"
"6830","fear"
"6831","sadness"
"6834","fear"
"6836","fear"
"6838","surprise"
"6840","disgust"
"6900","surprise"
"6910","fear"
"6930","fear"
"6940","fear"
"7000","happiness"
"7002","happiness"
"7004","happiness"
"7006","surprise"
"7009","happiness"
"7010","surprise"
"7020","surprise"
"7025","neutral"
"7030","disgust"
"7031","sadness"
"7034","surprise"
"7035","happiness"
"7040","disgust"
"7050","disgust"
"7060","disgust"
"7080","surprise"
"7090","sadness"
"7095","happiness"
"7096","happiness"
"7100","surprise"
"7110","disgust"
"7130","surprise"
"7140","happiness"
"7150","surprise"
"7160","surprise"
"7170","happiness"
"7175","happiness"
"7180","sadness"
"7182","surprise"
"7183","surprise"
"7184","disgust"
"7185","surprise"
"7186","happiness"
"7187","surprise"
"7190","surprise"
"7195","disgust"
"7200","happiness"
"7205","happiness"
"7207","surprise"
"7211","surprise"
"7217","neutral"
"7220","happiness"
"7224","disgust"
"7230","happiness"
"7233","happiness"
"7234","disgust"
"7235","neutral"
"7237","surprise"
"7238","happiness"
"7260","happiness"
"7270","happiness"
"7280","happiness"
"7281","happiness"
"7282","happiness"
"7283","happiness"
"7284","happiness"
"7285","happiness"
"7286","happiness"
"7289","happiness"
"7320","happiness"
"7325","happiness"
"7330","happiness"
"7340","happiness"
"7350","happiness"
"7351","happiness"
"7352","happiness"
"7360","happiness"
"7361","disgust"
"7380","disgust"
"7390","happiness"
"7400","happiness"
"7402","happiness"
"7410","happiness"
"7430","happiness"
"7450","happiness"
"7460","happiness"
"7470","happiness"
"7475","happiness"
"7480","happiness"
"7481","happiness"
"7490","surprise"
"7491","calm"
"7495","happiness"
"7496","surprise"
"7500","surprise"
"7501","happiness"
"7502","happiness"
"7503","surprise"
"7510","happiness"
"7545","happiness"
"7550","happiness"
"7560","surprise"
"7570","happiness"
"7580","happiness"
"7590","sadness"
"7595","surprise"
"7600","surprise"
"7620","surprise"
"7640","surprise"
