"image","predicted_emotion"
"1019","surprise"
"1022","fear"
"1030","fear"
"1040","fear"
"1050","fear"
"1051","fear"
"1052","fear"
"1070","fear"
"1080","fear"
"1090","fear"
"1101","surprise"
"1110","fear"
"1111","disgust"
"1112","surprise"
"1113","fear"
"1120","fear"
"1121","surprise"
"1200","surprise"
"1201","surprise"
"1220","fear"
"1230","fear"
"1240","fear"
"1270","fear"
"1274","fear"
"1275","fear"
"1280","fear"
"1300","fear"
"1301","fear"
"1302","fear"
"1303","surprise"
"1310","fear"
"1313","surprise"
"1321","fear"
"1340","happiness"
"1390","fear"
"1440","surprise"
"1450","happiness"
"1460","surprise"
"1463","happiness"
"1500","sadness"
"1510","happiness"
"1540","surprise"
"1560","fear"
"1590","happiness"
"1600","happiness"
"1601","happiness"
"1602","happiness"
"1603","happiness"
"1604","happiness"
"1610","surprise"
"1616","surprise"
"1620","happiness"
"1640","fear"
"1650","surprise"
"1660","sadness"
"1670","happiness"
"1710","happiness"
"1720","happiness"
"1721","happiness"
"1722","happiness"
"1740","surprise"
"1750","happiness"
"1810","sadness"
"1811","happiness"
"1812","happiness"
"1850","happiness"
"1900","surprise"
"1910","surprise"
"1920","happiness"
"1930","fear"
"1931","fear"
"1942","happiness"
"1945","surprise"
"1999","happiness"
"2000","happiness"
"2010","happiness"
"2020","happiness"
"2030","happiness"
"2040","happiness"
"2050","happiness"
"2053","sadness"
"2057","happiness"
"2058","surprise"
"2070","surprise"
"2080","surprise"
"2091","happiness"
"2092","surprise"
"2100","surprise"
"2110","anger"
"2120","anger"
"2130","anger"
"2141","sadness"
"2150","happiness"
"2160","happiness"
"2165","happiness"
"2170","happiness"
"2190","sadness"
"2200","sadness"
"2205","sadness"
"2206","surprise"
"2208","happiness"
"2209","happiness"
"2210","sadness"
"2214","happiness"
"2215","anger"
"2216","happiness"
"2220","sadness"
"2221","anger"
"2230","sadness"
"2240","surprise"
"2250","sadness"
"2260","surprise"
"2270","sadness"
"2271","sadness"
"2276","sadness"
"2280","sadness"
"2303","happiness"
"2304","happiness"
"2310","happiness"
"2311","happiness"
"2312","sadness"
"2320","sadness"
"2331","happiness"
"2340","happiness"
"2341","happiness"
"2344","happiness"
"2345","happiness"
"2351","happiness"
"2352","happiness"
"2360","happiness"
"2370","happiness"
"2372","surprise"
"2381","happiness"
"2383","sadness"
"2385","sadness"
"2389","happiness"
"2391","happiness"
"2410","sadness"
"2440","sadness"
"2480","sadness"
"2485","happiness"
"2487","happiness"
"2490","sadness"
"2495","sadness"
"2500","sadness"
"2501","happiness"
"2510","happiness"
"2514","surprise"
"2515","happiness"
"2516","happiness"
"2518","sadness"
"2520","sadness"
"2530","happiness"
"2540","happiness"
"2550","happiness"
"2560","happiness"
"2570","sadness"
"2575","surprise"
"2580","surprise"
"2590","happiness"
"2600","surprise"
"2616","happiness"
"2620","happiness"
"2630","sadness"
"2650","happiness"
"2655","happiness"
"2660","happiness"
"2661","surprise"
"2681","fear"
"2682","fear"
"2690","fear"
"2691","anger"
"2692","fear"
"2700","sadness"
"2702","happiness"
"2710","sadness"
"2720","disgust"
"2722","fear"
"2730","happiness"
"2749","surprise"
"2750","sadness"
"2751","happiness"
"2752","surprise"
"2753","happiness"
"2791","happiness"
"2800","sadness"
"2810","fear"
"2830","sadness"
"2840","concentration"
"2850","happiness"
"2870","happiness"
"2880","surprise"
"2890","surprise"
"2900","sadness"
"3000","fear"
"3010","fear"
"3015","fear"
"3022","fear"
"3030","sadness"
"3051","fear"
"3053","fear"
"3060","fear"
"3061","fear"
"3062","fear"
"3063","fear"
"3064","sadness"
"3071","fear"
"3080","fear"
"3100","fear"
"3102","fear"
"3110","fear"
"3120","sadness"
"3130","fear"
"3140","fear"
"3150","disgust"
"3160","sadness"
"3168","fear"
"3170","sadness"
"3180","sadness"
"3181","sadness"
"3190","fear"
"3210","surprise"
"3220","sadness"
"3230","sadness"
"3250","disgust"
"3261","fear"
"3266","fear"
"3280","fear"
"3300","sadness"
"3301","fear"
"3350","sadness"
"3400","disgust"
"3500","fear"
"3530","fear"
"3550","fear"
"4000","surprise"
"4001","happiness"
"4002","happiness"
"4003","happiness"
"4004","happiness"
"4005","happiness"
"4100","happiness"
"4150","happiness"
"4180","happiness"
"4210","happiness"
"4220","happiness"
"4230","surprise"
"4232","happiness"
"4233","happiness"
"4235","happiness"
"4240","happiness"
"4250","happiness"
"4274","happiness"
"4275","happiness"
"4279","happiness"
"4290","happiness"
"4300","happiness"
"4302","happiness"
"4310","happiness"
"4320","happiness"
"4460","happiness"
"4470","happiness"
"4490","happiness"
"4500","happiness"
"4510","happiness"
"4520","happiness"
"4530","happiness"
"4531","happiness"
"4532","happiness"
"4533","happiness"
"4534","happiness"
"4535","happiness"
"4536","happiness"
"4550","happiness"
"4561","happiness"
"4571","happiness"
"4572","happiness"
"4598","happiness"
"4599","happiness"
"4601","happiness"
"4603","happiness"
"4605","surprise"
"4606","happiness"
"4607","happiness"
"4608","happiness"
"4609","happiness"
"4610","happiness"
"4611","happiness"
"4613","surprise"
"4614","happiness"
"4617","happiness"
"4621","sadness"
"4631","happiness"
"4635","surprise"
"4640","happiness"
"4641","happiness"
"4650","happiness"
"4651","happiness"
"4652","happiness"
"4653","happiness"
"4656","happiness"
"4658","happiness"
"4659","happiness"
"4660","happiness"
"4664","happiness"
"4666","happiness"
"4669","happiness"
"4670","happiness"
"4672","happiness"
"4680","happiness"
"4681","happiness"
"4683","happiness"
"4687","happiness"
"4689","happiness"
"4690","happiness"
"4700","happiness"
"4750","happiness"
"4770","happiness"
"4800","happiness"
"4810","happiness"
"5000","happiness"
"5001","happiness"
"5010","happiness"
"5020","happiness"
"5030","happiness"
"5120","sadness"
"5130","surprise"
"5200","happiness"
"5201","happiness"
"5220","surprise"
"5250","fear"
"5260","awe"
"5270","fear"
"5300","awe"
"5390","happiness"
"5395","fear"
"5410","sadness"
"5450","awe"
"5455","surprise"
"5460","fear"
"5470","awe"
"5480","happiness"
"5500","surprise"
"5510","surprise"
"5520","surprise"
"5530","surprise"
"5531","surprise"
"5532","surprise"
"5533","surprise"
"5534","surprise"
"5535","surprise"
"5593","fear"
"5594","awe"
"5600","awe"
"5621","happiness"
"5622","surprise"
"5623","excitement"
"5626","happiness"
"5628","fear"
"5629","fear"
"5660","awe"
"5700","awe"
"5720","happiness"
"5731","happiness"
"5740","surprise"
"5750","happiness"
"5760","happiness"
"5779","happiness"
"5780","happiness"
"5800","happiness"
"5820","happiness"
"5830","happiness"
"5831","happiness"
"5849","happiness"
"5870","happiness"
"5875","happiness"
"5890","awe"
"5891","happiness"
"5900","sadness"
"5910","happiness"
"5920","fear"
"5940","fear"
"5950","fear"
"5970","fear"
"5971","fear"
"5972","fear"
"5982","happiness"
"5990","happiness"
"5991","happiness"
"5994","happiness"
"6000","sadness"
"6010","sadness"
"6020","fear"
"6150","surprise"
"6190","fear"
"6200","fear"
"6210","fear"
"6211","fear"
"6212","fear"
"6213","fear"
"6230","fear"
"6241","fear"
"6242","surprise"
"6243","anger"
"6244","fear"
"6250","fear"
"6260","fear"
"6300","fear"
"6312","happiness"
"6313","fear"
"6314","surprise"
"6350","fear"
"6360","surprise"
"6370","fear"
"6410","fear"
"6510","fear"
"6530","happiness"
"6540","happiness"
"6550","fear"
"6560","fear"
"6561","happiness"
"6570","fear"
"6571","surprise"
"6610","fear"
"6800","fear"
"6821","anger"
"6830","fear"
"6831","fear"
"6834","fear"
"6836","fear"
"6838","surprise"
"6840","fear"
"6900","fear"
"6910","fear"
"6930","awe"
"6940","fear"
"7000","happiness"
"7002","happiness"
"7004","happiness"
"7006","surprise"
"7009","happiness"
"7010","happiness"
"7020","happiness"
"7025","happiness"
"7030","fear"
"7031","sadness"
"7034","surprise"
"7035","happiness"
"7040","surprise"
"7050","surprise"
"7060","disgust"
"7080","surprise"
"7090","sadness"
"7095","surprise"
"7096","happiness"
"7100","surprise"
"7110","surprise"
"7130","surprise"
"7140","happiness"
"7150","surprise"
"7160","surprise"
"7170","happiness"
"7175","happiness"
"7180","surprise"
"7182","surprise"
"7183","surprise"
"7184","fear"
"7185","surprise"
"7186","happiness"
"7187","happiness"
"7190","fear"
"7195","surprise"
"7200","happiness"
"7205","happiness"
"7207","happiness"
"7211","happiness"
"7217","sadness"
"7220","happiness"
"7224","surprise"
"7230","happiness"
"7233","happiness"
"7234","sadness"
"7235","happiness"
"7237","happiness"
"7238","happiness"
"7260","happiness"
"7270","happiness"
"7280","happiness"
"7281","surprise"
"7282","happiness"
"7283","happiness"
"7284","happiness"
"7285","happiness"
"7286","happiness"
"7289","happiness"
"7320","happiness"
"7325","happiness"
"7330","happiness"
"7340","happiness"
"7350","happiness"
"7351","happiness"
"7352","happiness"
"7360","happiness"
"7361","disgust"
"7380","disgust"
"7390","happiness"
"7400","happiness"
"7402","happiness"
"7410","happiness"
"7430","happiness"
"7450","happiness"
"7460","happiness"
"7470","happiness"
"7475","happiness"
"7480","happiness"
"7481","happiness"
"7490","sadness"
"7491","happiness"
"7495","surprise"
"7496","happiness"
"7500","fear"
"7501","happiness"
"7502","happiness"
"7503","surprise"
"7510","happiness"
"7545","happiness"
"7550","surprise"
"7560","fear"
"7570","awe"
"7580","happiness"
"7590","fear"
"7595","anger"
"7600","fear"
"7620","happiness"
"7640","fear"
"7700","surprise"
"7705","happiness"
"7710","sadness"
"7820","happiness"
"7830","surprise"
"7900","sadness"
"7920","surprise"
"7950","sadness"
"8010","sadness"
"8021","happiness"
"8030","fear"
"8031","happiness"
"8032","surprise"
"8033","surprise"
"8034","happiness"
"8040","happiness"
"8041","happiness"
"8050","happiness"
"8060","fear"
"8080","happiness"
"8090","fear"
"8116","fear"
"8117","fear"
"8120","happiness"
"8130","happiness"
"8160","fear"
"8161","fear"
"8162","happiness"
"8170","happiness"
"8180","fear"
"8185","fear"
"8190","happiness"
"8200","happiness"
"8210","happiness"
"8220","happiness"
"8230","fear"
"8231","fear"
"8232","fear"
"8250","happiness"
"8260","happiness"
"8280","happiness"
"8300","happiness"
"8311","happiness"
"8320","happiness"
"8330","happiness"
"8340","fear"
"8350","happiness"
"8370","happiness"
"8380","happiness"
"8400","fear"
"8420","happiness"
"8460","happiness"
"8461","happiness"
"8465","happiness"
"8470","happiness"
"8480","fear"
"8490","happiness"
"8496","happiness"
"8497","happiness"
"8500","happiness"
"8501","happiness"
"8502","fear"
"8503","happiness"
"8510","happiness"
"8531","happiness"
"8540","happiness"
"8600","happiness"
"9000","sadness"
"9001","sadness"
"9005","happiness"
"9006","happiness"
"9007","sadness"
"9008","disgust"
"9010","fear"
"9040","sadness"
"9041","sadness"
"9042","surprise"
"9045","happiness"
"9046","sadness"
"9050","fear"
"9070","sadness"
"9080","fear"
"9090","surprise"
"9101","fear"
"9102","fear"
"9110","sadness"
"9120","fear"
"9140","sadness"
"9156","fear"
"9160","fear"
"9180","sadness"
"9181","sadness"
"9182","happiness"
"9190","sadness"
"9210","sadness"
"9220","sadness"
"9230","fear"
"9250","sadness"
"9252","surprise"
"9253","fear"
"9265","sadness"
"9270","fear"
"9280","sadness"
"9290","sadness"
"9300","disgust"
"9320","disgust"
"9330","sadness"
"9331","sadness"
"9340","sadness"
"9360","sadness"
"9373","disgust"
"9390","surprise"
"9400","fear"
"9401","fear"
"9402","surprise"
"9404","fear"
"9405","fear"
"9410","sadness"
"9411","surprise"
"9415","sadness"
"9417","surprise"
"9420","fear"
"9421","sadness"
"9430","fear"
"9432","happiness"
"9433","sadness"
"9440","sadness"
"9452","surprise"
"9470","sadness"
"9480","fear"
"9490","sadness"
"9500","fear"
"9520","sadness"
"9530","sadness"
"9560","surprise"
"9561","sadness"
"9570","disgust"
"9571","sadness"
"9582","fear"
"9584","fear"
"9592","fear"
"9594","fear"
"9600","fear"
"9611","fear"
"9620","fear"
"9621","fear"
"9622","fear"
"9630","fear"
"9700","surprise"
"9800","anger"
"9810","fear"
"9830","disgust"
"9910","sadness"
"9911","fear"
"9912","fear"
"9920","fear"
"9921","fear"
