"image","predicted_emotion"
"1019","disgust"
"1022","disgust"
"1030","disgust"
"1040","disgust"
"1050","surprise"
"1051","disgust"
"1052","disgust"
"1070","disgust"
"1080","disgust"
"1090","disgust"
"1101","disgust"
"1110","disgust"
"1111","disgust"
"1112","disgust"
"1113","surprise"
"1120","disgust"
"1121","surprise"
"1200","disgust"
"1201","disgust"
"1220","disgust"
"1230","disgust"
"1240","disgust"
"1270","disgust"
"1274","disgust"
"1275","disgust"
"1280","disgust"
"1300","fear"
"1301","fear"
"1302","fear"
"1303","surprise"
"1310","disgust"
"1313","surprise"
"1321","fear"
"1340","happiness"
"1390","disgust"
"1440","sadness"
"1450","surprise"
"1460","sadness"
"1463","happiness"
"1500","sadness"
"1510","happiness"
"1540","surprise"
"1560","surprise"
"1590","disgust"
"1600","happiness"
"1601","happiness"
"1602","surprise"
"1603","happiness"
"1604","happiness"
"1610","happiness"
"1616","surprise"
"1620","happiness"
"1640","disgust"
"1650","surprise"
"1660","disgust"
"1670","happiness"
"1710","happiness"
"1720","happiness"
"1721","disgust"
"1722","sadness"
"1740","surprise"
"1750","happiness"
"1810","sadness"
"1811","happiness"
"1812","happiness"
"1850","surprise"
"1900","surprise"
"1910","surprise"
"1920","happiness"
"1930","disgust"
"1931","fear"
"1942","surprise"
"1945","disgust"
"1999","happiness"
"2000","happiness"
"2010","happiness"
"2020","happiness"
"2030","happiness"
"2040","happiness"
"2050","happiness"
"2053","sadness"
"2057","happiness"
"2058","happiness"
"2070","surprise"
"2080","disgust"
"2091","happiness"
"2092","surprise"
"2100","disgust"
"2110","disgust"
"2120","anger"
"2130","anger"
"2141","disgust"
"2150","happiness"
"2160","happiness"
"2165","happiness"
"2170","happiness"
"2190","disgust"
"2200","sadness"
"2205","sadness"
"2206","disgust"
"2208","happiness"
"2209","sadness"
"2210","sadness"
"2214","disgust"
"2215","disgust"
"2216","happiness"
"2220","disgust"
"2221","disgust"
"2230","disgust"
"2240","happiness"
"2250","sadness"
"2260","happiness"
"2270","disgust"
"2271","disgust"
"2276","sadness"
"2280","disgust"
"2303","happiness"
"2304","happiness"
"2310","happiness"
"2311","happiness"
"2312","sadness"
"2320","sadness"
"2331","happiness"
"2340","happiness"
"2341","happiness"
"2344","happiness"
"2345","happiness"
"2351","disgust"
"2352","surprise"
"2360","happiness"
"2370","happiness"
"2372","surprise"
"2381","disgust"
"2383","disgust"
"2385","sadness"
"2389","happiness"
"2391","happiness"
"2410","disgust"
"2440","disgust"
"2480","disgust"
"2485","disgust"
"2487","happiness"
"2490","disgust"
"2495","disgust"
"2500","disgust"
"2501","happiness"
"2510","disgust"
"2514","disgust"
"2515","disgust"
"2516","disgust"
"2518","disgust"
"2520","disgust"
"2530","happiness"
"2540","disgust"
"2550","happiness"
"2560","happiness"
"2570","disgust"
"2575","disgust"
"2580","disgust"
"2590","disgust"
"2600","surprise"
"2616","sadness"
"2620","sadness"
"2630","disgust"
"2650","disgust"
"2655","happiness"
"2660","happiness"
"2661","disgust"
"2681","disgust"
"2682","fear"
"2690","sadness"
"2691","anger"
"2692","disgust"
"2700","disgust"
"2702","disgust"
"2710","disgust"
"2720","disgust"
"2722","disgust"
"2730","sadness"
"2749","disgust"
"2750","disgust"
"2751","disgust"
"2752","sadness"
"2753","disgust"
"2791","surprise"
"2800","sadness"
"2810","disgust"
"2830","surprise"
"2840","sadness"
"2850","disgust"
"2870","happiness"
"2880","disgust"
"2890","surprise"
"2900","sadness"
"3000","disgust"
"3010","disgust"
"3015","disgust"
"3022","surprise"
"3030","sadness"
