dataset,model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,num_samples,blocked_filtered
IAPS,gemini-2.5-flash,63.72,41.75,74.38,46.43,63.72,42.78,66.94,634,True
IAPS,gemma-vl-3-27b,56.36,40.97,67.36999999999999,49.66,56.36,42.53,57.93000000000001,692,False
IAPS,glm-vl-4.1-9b,59.25,41.04,64.78,47.449999999999996,59.25,41.04,59.91,692,False
IAPS,gpt-4.1,63.370000000000005,39.550000000000004,71.81,43.32,63.370000000000005,39.77,65.62,658,True
IAPS,qwen-vl-2.5-72b,65.46,38.23,66.29,42.14,65.46,39.48,65.33,692,False
IAPS,qwen-vl-2.5-7b,65.32,33.98,65.09,35.04,65.32,33.7,64.71000000000001,692,False
IAPS,kimi-vl-a3b-16b,58.67,34.63,68.78999999999999,35.33,58.67,33.46,61.919999999999995,692,False
IAPS,llava-vl-mistral-7b,54.05,31.269999999999996,65.92,25.85,54.05,24.560000000000002,56.16,692,False
IAPS,intern-vl-3.5-38b,58.67,24.46,65.58,25.729999999999997,58.67,23.35,60.01,692,False
IAPS,intern-vl-3.5-8b,60.84,20.95,62.83,21.6,60.84,20.54,60.650000000000006,692,False
IAPS,llava-vl-vicuna-7b,33.09,24.38,66.29,19.08,33.09,16.05,37.28,692,False
