"image","happiness_Mean","happiness_Std","surprise_Mean","surprise_Std","sadness_Mean","sadness_Std","anger_Mean","anger_Std","disgust_Mean","disgust_Std","fear_Mean","fear_Std","emotional valence_Mean","emotional valence_Std","arousal_Mean","arousal_Std"
"1019","1.0","0.0","6.58","0.5","6.0","0.64","3.28","0.57","7.0","0.2","6.28","0.45","2.78","0.46","7.02","0.14"
"1022","1.0","0.0","6.2","0.45","1.0","0.0","2.86","0.35","3.54","0.5","8.0","0.0","2.0","0.0","7.0","0.0"
"1030","1.02","0.14","5.8","0.45","1.0","0.0","2.32","0.47","5.04","0.2","7.0","0.2","2.98","0.14","6.02","0.25"
"1040","1.0","0.0","5.6","0.53","1.04","0.2","2.46","0.5","5.42","0.5","7.4","0.49","2.1","0.3","7.0","0.0"
"1050","1.0","0.0","6.96","0.2","1.0","0.0","6.04","0.2","5.04","0.2","7.3","0.46","2.0","0.0","7.44","0.5"
"1051","1.0","0.0","6.82","0.39","1.0","0.0","6.0","0.0","7.0","0.0","7.96","0.2","2.0","0.0","7.88","0.33"
"1052","1.0","0.0","6.84","0.37","1.0","0.0","7.0","0.0","6.0","0.0","8.0","0.0","2.0","0.0","8.0","0.0"
"1070","1.0","0.0","6.82","0.39","1.0","0.0","4.96","0.67","5.42","0.5","7.5","0.51","2.08","0.27","7.02","0.14"
"1080","1.0","0.0","5.84","0.42","1.0","0.0","2.98","0.14","5.98","0.14","7.0","0.0","2.08","0.27","6.06","0.24"
"1090","1.0","0.0","4.44","0.58","1.0","0.0","2.96","0.2","5.94","0.24","7.0","0.0","2.94","0.24","6.08","0.27"
"1101","1.0","0.0","5.94","0.31","1.0","0.0","2.02","0.14","4.34","0.56","7.0","0.0","2.42","0.5","6.0","0.0"
"1110","1.0","0.0","6.26","0.49","1.0","0.0","3.3","0.51","3.82","0.56","7.26","0.44","2.74","0.44","6.98","0.14"
"1111","1.0","0.0","6.64","0.48","1.06","0.24","2.1","0.3","8.0","0.0","7.76","0.59","2.0","0.0","7.4","0.49"
"1112","1.04","0.2","7.86","0.35","1.02","0.14","2.18","0.44","5.04","0.28","7.88","0.33","2.94","0.24","7.0","0.0"
"1113","1.0","0.0","6.98","0.14","1.0","0.0","5.96","0.2","5.52","0.5","7.9","0.3","2.0","0.0","7.12","0.33"
"1120","1.0","0.0","6.98","0.14","1.0","0.0","6.86","0.4","6.18","0.39","8.04","0.2","1.96","0.2","8.0","0.0"
"1121","3.84","0.37","5.3","0.51","1.76","0.43","1.86","0.57","3.68","0.47","3.64","0.53","5.02","0.38","4.68","0.47"
"1200","1.0","0.0","6.16","0.37","1.0","0.0","2.38","0.49","6.58","0.5","7.66","0.48","2.1","0.3","7.02","0.14"
"1201","1.98","0.14","6.66","0.48","1.02","0.14","2.84","0.37","5.98","0.14","7.04","0.2","3.0","0.0","6.9","0.3"
"1220","1.0","0.0","4.9","0.46","1.0","0.0","2.04","0.2","5.98","0.25","6.94","0.24","2.56","0.5","5.96","0.2"
"1230","1.72","0.45","4.92","0.53","1.12","0.33","2.12","0.33","5.36","0.53","6.18","0.39","2.98","0.14","5.18","0.39"
"1240","1.88","0.33","5.88","0.33","1.16","0.37","2.2","0.4","5.26","0.44","6.26","0.44","3.02","0.14","5.44","0.5"
"1270","1.0","0.0","3.64","0.56","1.0","0.0","3.0","0.0","8.0","0.0","6.12","0.33","2.0","0.0","6.0","0.0"
"1274","1.0","0.0","3.1","0.46","1.0","0.0","3.0","0.2","8.0","0.0","6.0","0.0","1.98","0.14","6.64","0.48"
"1275","1.0","0.0","4.76","0.59","1.0","0.0","3.52","0.89","8.0","0.0","6.78","0.42","2.0","0.0","6.24","0.43"
"1280","1.0","0.0","3.38","0.49","5.62","0.49","6.06","0.55","8.02","0.14","7.02","0.14","2.0","0.0","7.02","0.14"
"1300","1.0","0.0","7.02","0.25","1.0","0.0","9.0","0.0","7.0","0.0","9.0","0.0","1.0","0.0","9.0","0.0"
"1301","1.0","0.0","6.6","0.88","1.0","0.0","8.98","0.14","3.0","0.0","8.0","0.0","1.96","0.2","8.02","0.14"
"1302","1.0","0.0","3.06","0.89","1.02","0.14","9.0","0.0","2.24","0.66","8.02","0.14","1.86","0.35","8.02","0.14"
"1303","5.1","0.97","7.34","0.48","1.0","0.0","6.04","0.75","3.16","0.37","6.12","0.33","4.66","0.98","7.18","0.39"
"1310","1.0","0.0","2.76","0.52","5.98","0.38","5.16","1.23","8.0","0.0","6.84","0.37","2.08","0.27","7.96","0.2"
