image,happiness_Mean,happiness_Std,surprise_Mean,surprise_Std,sadness_Mean,sadness_Std,anger_Mean,anger_Std,disgust_Mean,disgust_Std,fear_Mean,fear_Std,emotional valence_Mean,emotional valence_Std,arousal_Mean,arousal_Std
1019,2.0,0.0,7.0,0.0,6.22,0.4185,3.0,0.0,7.0,0.0,7.0,0.0,3.02,0.1414,7.0,0.0
1022,2.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,7.0,0.0,3.0,0.0,7.0,0.0
1030,2.0,0.0,6.0,0.0,2.0,0.0,2.66,0.4785,6.0,0.0,7.0,0.0,3.0,0.0,7.0,0.0
1040,1.0,0.0,7.0,0.0,2.0,0.0,2.66,0.4785,7.0,0.0,8.0,0.0,2.04,0.1979,7.0,0.0
1050,1.12,0.3283,7.0,0.0,2.0,0.0,6.08,0.274,7.0,0.0,8.0,0.0,2.12,0.3283,7.82,0.3881
1051,1.0,0.0,7.0,0.0,2.0,0.0,6.96,0.1979,7.0,0.0,8.0,0.0,2.0,0.0,8.0,0.0
1052,2.0,0.0,7.0,0.0,2.0,0.0,6.1,0.303,7.0,0.0,8.0,0.0,3.0,0.0,7.78,0.4185
1070,2.0,0.0,6.0,0.0,2.0,0.0,2.04,0.1979,7.0,0.0,7.0,0.0,3.0,0.0,7.0,0.0
1080,2.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,8.0,0.0,3.0,0.0,7.0,0.0
1090,2.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,8.0,0.0,3.0,0.0,7.0,0.0
1101,2.0,0.0,7.0,0.0,2.0,0.0,2.94,0.2399,7.0,0.0,7.0,0.0,3.0,0.0,7.0,0.0
1110,2.0,0.0,7.0,0.0,2.06,0.2399,2.86,0.3505,7.0,0.0,8.0,0.0,3.0,0.0,7.0,0.0
1111,2.0,0.0,6.0,0.0,3.0,0.0,3.98,0.1414,7.0,0.0,7.0,0.0,3.0,0.0,6.0,0.0
1112,2.0,0.0,7.0,0.0,2.0,0.0,4.0,0.0,6.36,0.4849,7.0,0.0,3.0,0.0,7.0,0.0
1113,2.0,0.0,7.0,0.0,2.02,0.1414,6.0,0.0,7.0,0.0,7.0,0.0,3.0,0.0,7.0,0.0
1120,1.0,0.0,7.0,0.0,2.0,0.0,6.9,0.303,8.0,0.0,8.0,0.0,2.0,0.0,8.0,0.0
1121,3.18,0.3881,3.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,4.0,0.0
1200,2.0,0.0,7.0,0.0,2.0,0.0,2.06,0.2399,7.04,0.1979,8.0,0.0,2.12,0.3283,7.0,0.0
1201,2.0,0.0,7.0,0.0,2.0,0.0,3.0,0.0,7.0,0.0,7.82,0.3881,3.0,0.0,7.0,0.0
