"image","happiness_Mean","happiness_Std","surprise_Mean","surprise_Std","sadness_Mean","sadness_Std","anger_Mean","anger_Std","disgust_Mean","disgust_Std","fear_Mean","fear_Std","emotional valence_Mean","emotional valence_Std","arousal_Mean","arousal_Std"
"1019","1.0","0.0","7.0","0.0","4.6","0.49","2.78","0.42","8.0","0.0","7.34","0.48","2.0","0.0","8.0","0.0"
"1022","1.0","0.0","6.0","0.0","1.0","0.0","2.0","0.0","5.3","0.46","8.0","0.0","2.0","0.0","7.08","0.27"
"1030","1.58","0.5","5.8","0.4","1.0","0.0","1.5","0.51","4.88","0.33","8.0","0.0","2.0","0.0","7.0","0.0"
"1040","1.0","0.0","5.7","0.46","1.0","0.0","2.0","0.0","6.28","0.45","8.0","0.0","2.0","0.0","7.0","0.0"
"1050","1.0","0.0","7.0","0.0","1.0","0.0","3.3","0.46","5.04","0.2","8.96","0.2","1.18","0.39","8.0","0.0"
"1051","1.0","0.0","7.0","0.0","1.0","0.0","2.56","0.5","4.52","0.5","8.78","0.42","1.02","0.14","8.0","0.0"
"1052","1.0","0.0","7.0","0.0","1.0","0.0","3.34","0.48","5.0","0.0","8.82","0.39","1.02","0.14","8.0","0.0"
"1070","1.0","0.0","5.94","0.24","1.86","0.35","2.0","0.0","6.96","0.2","7.96","0.2","2.0","0.0","6.96","0.2"
"1080","1.88","0.33","6.0","0.0","1.0","0.0","1.7","0.46","4.64","0.48","8.0","0.0","2.0","0.0","7.0","0.0"
"1090","1.0","0.0","6.16","0.37","1.0","0.0","2.0","0.0","5.96","0.67","8.0","0.0","1.5","0.51","7.16","0.37"
"1101","1.7","0.46","6.28","0.45","1.0","0.0","1.0","0.0","6.24","0.43","7.72","0.45","2.0","0.0","7.0","0.0"
"1110","1.54","0.5","6.76","0.43","1.34","0.48","2.0","0.0","3.88","0.33","8.0","0.0","2.0","0.0","7.0","0.0"
"1111","1.0","0.0","6.36","0.48","2.0","0.0","2.0","0.0","9.0","0.0","6.92","0.27","1.36","0.48","7.06","0.24"
"1112","1.26","0.44","8.0","0.0","1.26","0.44","2.04","0.2","4.44","0.5","8.56","0.5","1.28","0.45","8.0","0.0"
"1113","1.0","0.0","7.0","0.0","1.0","0.0","2.0","0.0","5.0","0.0","8.0","0.0","1.66","0.48","8.0","0.0"
"1120","1.0","0.0","7.24","0.43","1.0","0.0","2.56","0.5","6.12","0.72","9.0","0.0","1.0","0.0","8.04","0.2"
"1121","3.86","0.35","5.6","0.49","1.0","0.0","1.0","0.0","2.94","0.24","2.44","0.5","4.78","0.42","4.44","0.5"
"1200","1.0","0.0","7.0","0.0","1.0","0.0","2.0","0.0","8.0","0.0","8.0","0.0","1.0","0.0","7.96","0.2"
"1201","1.52","0.5","7.08","0.27","1.0","0.0","2.0","0.0","7.5","0.51","8.0","0.0","1.96","0.2","7.58","0.5"
"1220","1.0","0.0","5.94","0.24","1.14","0.35","2.0","0.0","8.0","0.0","8.0","0.0","1.04","0.2","7.16","0.37"
"1230","2.0","0.0","5.6","0.49","1.0","0.0","1.0","0.0","7.2","0.4","7.0","0.0","2.0","0.0","6.04","0.2"
"1240","1.0","0.0","5.9","0.3","1.0","0.0","1.12","0.33","7.32","0.47","7.94","0.24","1.76","0.43","7.0","0.0"
"1270","1.0","0.0","5.16","0.68","1.88","0.33","3.22","0.55","9.0","0.0","7.12","0.33","1.0","0.0","6.86","0.35"
"1274","1.0","0.0","4.06","0.24","2.0","0.0","2.86","0.35","9.0","0.0","7.0","0.0","1.0","0.0","6.72","0.45"
"1275","1.0","0.0","4.5","0.51","2.0","0.0","3.0","0.0","9.0","0.0","7.0","0.0","1.0","0.0","6.5","0.51"
"1280","1.0","0.0","4.0","0.0","2.0","0.0","2.28","0.45","8.72","0.45","6.72","0.45","1.48","0.5","6.0","0.0"
"1300","1.0","0.0","7.0","0.0","2.0","0.0","6.52","0.5","6.42","0.5","9.0","0.0","1.0","0.0","8.74","0.44"
"1301","1.0","0.0","6.2","0.4","1.48","0.5","6.82","0.39","4.86","0.35","8.02","0.14","1.48","0.5","8.02","0.14"
"1302","1.0","0.0","6.0","0.0","2.0","0.0","6.8","0.4","4.32","0.47","8.58","0.5","1.38","0.49","8.0","0.0"
"1303","2.0","0.0","7.0","0.0","1.54","0.5","4.08","0.53","3.8","0.4","7.06","0.24","2.0","0.0","7.3","0.46"
"1310","2.0","0.0","4.54","0.86","2.0","0.0","2.38","0.49","8.0","0.0","4.56","0.5","2.0","0.0","7.18","0.39"
"1313","3.2","0.4","6.0","0.0","1.16","0.37","1.0","0.0","2.16","0.37","2.66","0.52","4.2","0.4","6.0","0.0"
"1321","1.0","0.0","7.88","0.33","1.0","0.0","6.88","0.33","3.76","0.43","9.0","0.0","1.0","0.0","9.0","0.0"
"1340","8.0","0.0","6.0","0.0","1.0","0.0","1.0","0.0","1.16","0.37","1.3","0.46","8.0","0.0","6.0","0.0"
"1390","2.8","0.4","5.7","0.46","1.0","0.0","1.0","0.0","5.02","0.32","6.0","0.0","2.8","0.4","6.86","0.35"
"1440","8.96","0.2","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","8.96","0.2","3.0","0.0"
"1450","4.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","5.0","0.0","2.0","0.0"
"1460","8.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","8.0","0.0","3.1","0.3"
"1463","9.0","0.0","3.12","0.33","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","9.0","0.0","4.8","0.4"
"1500","6.56","0.5","2.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","7.0","0.0","3.0","0.0"
"1510","7.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.78","0.42","7.58","0.5","4.16","0.37"
"1540","7.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","7.52","0.5","2.8","0.4"
"1560","3.0","0.0","7.0","0.0","1.0","0.0","2.0","0.0","1.0","0.0","5.8","0.4","3.46","0.5","7.42","0.5"
"1590","6.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","7.0","0.0","2.88","0.33"
"1600","6.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","6.94","0.24","2.0","0.0"
"1601","8.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","8.0","0.0","4.0","0.0"
"1602","7.0","0.0","3.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","7.98","0.14","3.0","0.0"
"1603","8.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","8.0","0.0","3.04","0.2"
"1604","8.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","8.0","0.0","3.0","0.0"
"1610","8.0","0.0","3.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","2.0","0.0","8.0","0.0","3.0","0.0"
"1616","2.0","0.0","7.22","0.42","1.0","0.0","1.36","0.48","6.48","0.5","4.58","0.5","2.0","0.0","7.0","0.0"
"1620","6.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","7.0","0.0","2.0","0.0"
"1640","3.0","0.0","2.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","2.0","0.0","3.26","0.44","2.96","0.2"
"1650","5.0","0.0","6.18","0.39","1.0","0.0","1.0","0.0","1.0","0.0","6.42","0.5","5.04","0.2","6.66","0.48"
"1660","2.0","0.0","2.0","0.0","4.6","0.49","3.82","0.39","2.0","0.0","3.0","0.0","2.38","0.49","3.0","0.0"
"1670","4.3","0.46","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","5.3","0.46","2.0","0.0"
"1710","9.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","9.0","0.0","4.16","0.37"
"1720","5.04","0.2","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","4.22","0.42","5.84","0.37","4.0","0.0"
"1721","7.2","0.4","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","2.0","0.0","8.0","0.0","4.0","0.0"
"1722","8.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","8.0","0.0","3.96","0.2"
"1740","4.0","0.0","7.0","0.0","1.7","0.46","1.0","0.0","1.0","0.0","2.92","0.27","5.0","0.0","6.0","0.0"
"1750","9.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","9.0","0.0","3.0","0.0"
"1810","3.46","0.5","2.04","0.2","1.08","0.27","1.06","0.24","2.0","0.0","3.26","0.44","3.8","0.4","3.02","0.14"
"1811","8.0","0.0","4.0","0.0","1.0","0.0","1.0","0.0","1.1","0.3","1.0","0.0","8.0","0.0","6.74","0.44"
