"image","happiness_Mean","happiness_Std","surprise_Mean","surprise_Std","sadness_Mean","sadness_Std","anger_Mean","anger_Std","disgust_Mean","disgust_Std","fear_Mean","fear_Std","emotional valence_Mean","emotional valence_Std","arousal_Mean","arousal_Std"
"1019","1.24","0.4314","7.0","0.2857","1.88","0.3283","2.24","0.7709","7.0","0.2857","7.48","0.5047","2.14","0.3505","6.56","0.7329"
"1022","1.28","0.4536","7.0","0.2857","2.0","0.0","4.3","1.9717","7.06","0.2399","7.92","0.274","2.18","0.3881","6.76","0.4314"
"1030","2.0","0.0","3.56","1.2149","1.94","0.2399","2.0","0.0","2.78","0.9322","6.76","0.4764","2.96","0.3476","4.34","1.1886"
"1040","1.8","0.4041","4.66","1.5201","2.18","0.3881","2.22","0.4185","6.98","0.2466","7.06","0.2399","2.44","0.5014","5.92","0.8999"
"1050","1.08","0.274","7.82","0.3881","1.88","0.3283","4.42","1.7034","7.88","0.3283","7.92","0.274","2.0","0.0","7.0","0.2857"
"1051","1.28","0.4536","7.24","0.4314","1.96","0.2828","2.3","0.789","7.92","0.274","7.48","0.5047","2.0","0.0","6.38","1.1933"
"1052","1.1","0.303","7.62","0.4903","1.26","0.4431","6.96","0.6688","7.48","0.5047","7.98","0.1414","2.0","0.0","7.48","0.5047"
"1070","2.0","0.0","4.44","1.445","2.0","0.0","2.0","0.0","4.48","1.4879","6.96","0.1979","2.86","0.3505","5.08","1.2752"
"1080","1.72","0.4536","2.78","0.5817","1.86","0.3505","1.96","0.1979","3.2","1.2122","7.0","0.2857","2.82","0.3881","3.18","0.7475"
"1090","1.26","0.4431","3.6","1.3248","1.92","0.274","2.0","0.0","5.22","1.6325","7.08","0.274","2.6","0.4949","5.26","0.9216"
"1101","2.0","0.0","4.68","1.5312","2.1","0.303","2.0","0.0","6.26","0.8762","6.8","0.4041","2.86","0.3505","3.56","1.2316"
"1110","1.92","0.274","5.1","1.5682","2.0","0.0","2.06","0.2399","3.52","1.4032","7.06","0.2399","2.64","0.4849","5.28","0.9906"
"1111","1.96","0.1979","7.0","0.2857","2.22","0.4185","2.1","0.303","7.94","0.2399","7.28","0.4536","2.14","0.3505","5.94","0.9127"
"1112","2.02","0.1414","7.78","0.4185","2.18","0.3881","2.0","0.0","7.0","0.2857","7.78","0.4185","2.18","0.3881","6.96","0.3476"
"1113","1.2","0.4041","7.0","0.2857","1.84","0.3703","2.24","0.7709","7.0","0.2857","7.9","0.303","2.06","0.2399","6.94","0.2399"
"1120","1.0","0.0","7.2","0.4041","2.0","0.0","3.42","1.739","7.94","0.3136","8.04","0.2828","2.0","0.0","6.98","0.2466"
"1121","2.7","0.6145","3.22","0.7083","1.08","0.274","1.06","0.2399","2.44","0.5406","2.7","0.7071","6.06","0.9564","2.88","0.3854"
"1200","1.28","0.4536","7.0","0.2857","2.14","0.3505","2.02","0.1414","7.9","0.303","7.6","0.4949","2.0","0.0","6.6","0.5714"
"1201","1.88","0.3283","7.12","0.3283","2.02","0.1414","2.02","0.1414","7.06","0.2399","7.04","0.1979","2.02","0.1414","4.84","1.8335"
"1220","1.24","0.4314","5.2","1.6537","1.92","0.274","1.96","0.1979","7.62","0.4903","7.04","0.1979","2.1","0.303","4.56","1.7631"
"1230","2.0","0.0","5.7","1.6067","2.1","0.303","2.14","0.3505","7.04","0.1979","6.86","0.4522","2.48","0.5047","5.48","1.6193"
"1240","2.0","0.0","5.06","1.544","2.0","0.0","2.0","0.0","6.96","0.1979","6.96","0.1979","2.82","0.3881","6.14","0.7827"
"1270","1.2","0.4041","2.82","0.6606","1.38","0.4903","2.0","0.0","7.66","0.4785","6.06","1.4344","2.0","0.0","2.18","0.3881"
"1274","1.2","0.4041","2.68","0.5127","1.88","0.3283","2.02","0.1414","7.04","0.1979","4.8","1.5119","2.14","0.3505","2.14","0.3505"
"1275","1.2","0.4041","2.44","0.5014","1.86","0.3505","1.88","0.3283","7.74","0.4431","5.52","1.9298","2.02","0.1414","2.0","0.0"
"1280","1.2","0.4041","4.6","1.5253","3.2","1.088","2.1","0.303","7.66","0.4785","7.02","0.2466","2.0","0.0","4.14","1.4287"
"1300","1.1","0.303","5.9","1.4178","1.84","0.3703","7.98","0.3774","7.28","0.4536","7.92","0.274","2.0","0.0","7.06","0.2399"
