image,happiness_Mean,happiness_Std,surprise_Mean,surprise_Std,sadness_Mean,sadness_Std,anger_Mean,anger_Std,disgust_Mean,disgust_Std,fear_Mean,fear_Std,emotional valence_Mean,emotional valence_Std,arousal_Mean,arousal_Std
1019,1.0,0.0,5.9,1.5152,2.0,0.4949,1.98,0.5147,6.98,0.2466,7.0,0.2857,2.08,0.4445,6.84,0.4677
1022,1.0,0.0,5.04,1.5644,1.08,0.274,3.92,1.8277,6.92,0.274,7.92,0.274,1.84,0.3703,7.28,0.4536
1030,1.08,0.274,4.8,1.2778,1.38,0.4903,2.32,0.5511,5.58,0.5746,7.02,0.1414,2.44,0.5014,6.58,0.4986
1040,1.0,0.0,6.52,0.8389,1.24,0.4314,3.7,1.7291,6.3,0.6145,7.28,0.4536,1.98,0.2466,6.98,0.3188
1050,1.0,0.0,7.56,0.5406,1.0,0.0,7.86,0.3505,6.98,0.3188,7.92,0.274,1.28,0.4536,7.92,0.274
1051,1.0,0.0,7.44,0.5406,1.0,0.0,7.82,0.3881,7.02,0.2466,7.94,0.2399,1.48,0.5047,7.82,0.3881
1052,1.0,0.0,7.58,0.5379,1.0,0.0,7.82,0.3881,6.98,0.2466,7.98,0.1414,1.54,0.5035,7.92,0.274
1070,1.54,0.5035,5.1,1.2495,1.48,0.5047,2.14,0.3505,6.04,0.6987,6.96,0.1979,2.84,0.4219,6.78,0.4647
1080,1.0,0.0,4.76,1.4507,1.2,0.4041,2.36,0.598,6.3,0.5803,7.24,0.4314,2.04,0.1979,6.98,0.3188
1090,1.0,0.0,4.96,1.4136,1.2,0.4041,4.28,1.841,6.46,0.5035,7.06,0.2399,1.96,0.2828,6.94,0.3136
1101,1.76,0.4314,4.76,1.0012,1.84,0.3703,1.92,0.274,6.12,0.5206,6.76,0.4314,3.04,0.3476,5.34,0.6581
1110,1.0,0.0,4.8,1.2778,1.28,0.4536,3.24,1.4507,5.78,0.6158,7.04,0.1979,2.14,0.3505,6.94,0.3136
1111,1.0,0.0,7.86,0.3505,1.84,0.3703,2.1,0.4165,7.92,0.274,7.92,0.274,1.92,0.274,7.82,0.3881
1112,1.94,0.2399,7.12,0.4352,1.86,0.3505,2.86,0.7001,6.7,0.4629,7.0,0.202,2.72,0.4536,7.0,0.2857
1113,1.0,0.0,6.8,0.5345,1.28,0.4536,3.24,1.4507,6.44,0.5014,7.02,0.1414,2.02,0.1414,6.98,0.3188
1120,1.0,0.0,7.02,1.0971,1.04,0.1979,7.68,0.7939,7.06,0.2399,7.92,0.274,1.34,0.4785,7.78,0.4185
1121,3.2,0.6389,3.04,0.8562,1.2,0.4041,1.22,0.4185,3.62,0.5675,2.96,0.402,5.0,0.0,3.58,0.5379
1200,1.2,0.4041,4.7,1.0351,1.7,0.4629,2.02,0.1414,6.5,0.5051,6.98,0.1414,2.66,0.4785,6.78,0.4647
1201,2.0,0.0,6.9,0.4165,1.34,0.4785,2.06,0.2399,6.86,0.3505,7.0,0.0,3.0,0.3499,6.94,0.3136
1220,1.0,0.0,4.64,1.4535,1.32,0.4712,1.88,0.3283,6.98,0.2466,6.98,0.2466,2.06,0.2399,6.7,0.6468
1230,1.86,0.3505,3.58,0.7584,1.8,0.4041,1.96,0.1979,5.64,0.5628,5.58,0.5746,3.06,0.4243,4.34,0.7722
1240,1.88,0.3283,3.58,0.8104,1.72,0.4536,1.88,0.3283,5.24,0.5175,6.02,0.6224,3.32,0.5511,4.34,0.7722
1270,1.0,0.0,3.28,0.8581,1.38,0.4903,2.5,0.544,7.74,0.4431,6.94,0.2399,1.92,0.274,6.8,0.5345
1274,1.0,0.0,2.52,0.5436,1.76,0.4314,2.48,0.5436,7.92,0.274,6.98,0.2466,1.76,0.4314,6.76,0.5555
1275,1.0,0.0,3.54,0.8381,1.76,0.4314,2.72,0.5729,7.92,0.274,7.04,0.1979,1.74,0.4431,6.9,0.4165
1280,1.0,0.0,2.62,0.6354,3.16,0.9116,2.18,0.3881,7.2,0.4041,6.92,0.274,1.74,0.4431,6.76,0.5555
