"image","happiness_Mean","happiness_Std","surprise_Mean","surprise_Std","sadness_Mean","sadness_Std","anger_Mean","anger_Std","disgust_Mean","disgust_Std","fear_Mean","fear_Std","emotional valence_Mean","emotional valence_Std","arousal_Mean","arousal_Std"
"1019","1.0","0.0","5.76","1.7445","1.44","0.5771","4.44","2.1205","6.98","0.5887","7.24","0.6247","2.5","1.0546","6.62","0.753"
"1022","1.0","0.0","3.68","1.6956","1.42","0.5746","3.64","1.8379","5.9","1.4321","7.3","0.5051","2.92","1.14","6.82","0.5602"
"1030","1.0","0.0","3.04","1.2115","1.68","0.6207","1.58","0.6728","3.52","1.4741","6.26","0.9858","4.02","1.1337","6.24","0.9381"
"1040","1.0","0.0","4.6","1.7728","1.62","0.6354","2.98","1.5451","5.36","1.663","7.0","0.4041","3.1","1.1112","6.62","0.753"
"1050","1.0","0.0","7.24","0.6565","1.44","0.5771","4.32","1.8674","6.84","0.5481","7.5","0.6145","2.68","1.2196","7.72","0.701"
"1051","1.0","0.0","5.82","1.6123","1.2","0.4041","4.38","1.8058","5.7","1.4321","6.9","0.544","2.8","1.178","7.18","0.5602"
"1052","1.0","0.0","7.32","0.9988","1.1","0.303","5.26","1.9568","6.94","0.9127","7.74","0.5646","2.12","1.0428","7.94","0.6518"
"1070","1.0","0.0","3.52","1.5418","1.8","0.6999","1.5","0.6776","5.02","1.6349","6.1","1.0926","3.54","1.073","5.76","1.3933"
"1080","1.0","0.0","2.22","0.9322","1.44","0.6115","1.58","0.7309","3.82","1.5609","5.04","1.428","3.78","0.975","4.78","1.2501"
"1090","1.0","0.0","4.3","1.669","1.48","0.5799","3.48","1.7171","4.46","1.7168","7.08","0.4445","3.08","1.0069","6.58","0.7584"
"1101","1.08","0.274","2.04","0.7548","1.74","0.6642","1.1","0.303","3.38","1.1409","4.1","1.2164","4.4","1.0102","4.58","1.1082"
"1110","1.0","0.0","4.6","1.7379","1.68","0.6528","2.64","1.2415","5.34","1.6489","6.96","0.3476","3.8","1.1606","6.58","0.7584"
"1111","1.2","0.4041","2.62","1.1761","1.96","0.6376","1.4","0.6389","5.86","1.4144","4.5","1.7053","3.38","1.028","5.76","1.3933"
"1112","1.64","0.6312","4.84","1.7186","1.84","0.5841","2.46","1.2488","5.7","1.4321","4.78","1.7646","3.06","0.9982","5.32","1.5836"
"1113","1.0","0.0","5.2","1.666","1.58","0.6091","2.24","0.9161","4.3","1.669","5.8","1.3997","3.54","1.073","6.58","0.7584"
"1120","1.0","0.0","6.04","1.4563","1.48","0.5799","4.68","1.7893","6.52","0.8389","7.06","0.4243","3.24","1.2707","7.34","0.5573"
"1121","2.1","0.544","2.4","1.088","1.44","0.5771","1.04","0.1979","1.98","0.5887","2.34","0.5928","5.7","0.8391","4.68","1.1856"
"1200","1.0","0.0","2.92","1.14","1.62","0.6354","1.44","0.6115","5.86","1.4144","6.5","0.7626","3.04","0.9467","6.5","0.7626"
"1201","1.1","0.303","2.58","0.9708","1.42","0.5379","1.2","0.4041","5.0","1.4286","4.7","1.4743","3.3","0.953","4.76","1.2867"
"1220","1.0","0.0","2.58","1.1265","1.98","0.5887","1.22","0.4185","6.24","1.0984","5.58","1.3864","3.28","1.011","5.04","1.5113"
"1230","1.26","0.4431","2.64","1.1911","1.98","0.5887","1.44","0.6115","4.4","1.6782","4.02","1.5451","4.18","1.2237","5.06","1.4201"
"1240","1.2","0.4041","3.44","1.3874","2.22","0.6481","1.34","0.5573","4.56","1.5407","4.74","1.3674","4.3","1.1294","5.64","1.2415"
"1270","1.0","0.0","2.3","1.1473","1.66","0.6581","1.8","1.0302","7.52","0.6465","6.88","0.5206","1.54","0.7616","5.78","1.4886"
