dataset,model,emotion,pearson_r,n_pairs,result_file
IAPS,gemini-2.5-flash,anger,0.76,634,IAPS-reg-gemini-2.5-flash.csv
IAPS,gemini-2.5-flash,arousal,0.52,633,IAPS-reg-gemini-2.5-flash.csv
IAPS,gemini-2.5-flash,disgust,0.82,634,IAPS-reg-gemini-2.5-flash.csv
IAPS,gemini-2.5-flash,emotional valence,0.84,633,IAPS-reg-gemini-2.5-flash.csv
IAPS,gemini-2.5-flash,fear,0.83,634,IAPS-reg-gemini-2.5-flash.csv
IAPS,gemini-2.5-flash,happiness,0.85,634,IAPS-reg-gemini-2.5-flash.csv
IAPS,gemini-2.5-flash,sadness,0.82,634,IAPS-reg-gemini-2.5-flash.csv
IAPS,gemini-2.5-flash,surprise,0.45,634,IAPS-reg-gemini-2.5-flash.csv
IAPS,gemma-vl-3-27b,anger,0.69,692,IAPS-reg-gemma-vl-3-27b.csv
IAPS,gemma-vl-3-27b,arousal,0.53,691,IAPS-reg-gemma-vl-3-27b.csv
IAPS,gemma-vl-3-27b,disgust,0.81,692,IAPS-reg-gemma-vl-3-27b.csv
IAPS,gemma-vl-3-27b,emotional valence,0.84,691,IAPS-reg-gemma-vl-3-27b.csv
IAPS,gemma-vl-3-27b,fear,0.81,692,IAPS-reg-gemma-vl-3-27b.csv
IAPS,gemma-vl-3-27b,happiness,0.83,692,IAPS-reg-gemma-vl-3-27b.csv
IAPS,gemma-vl-3-27b,sadness,0.8,692,IAPS-reg-gemma-vl-3-27b.csv
IAPS,gemma-vl-3-27b,surprise,0.33,692,IAPS-reg-gemma-vl-3-27b.csv
IAPS,gpt-4.1,anger,0.83,658,IAPS-reg-gpt-4.1.csv
IAPS,gpt-4.1,arousal,0.55,657,IAPS-reg-gpt-4.1.csv
IAPS,gpt-4.1,disgust,0.88,658,IAPS-reg-gpt-4.1.csv
IAPS,gpt-4.1,emotional valence,0.86,657,IAPS-reg-gpt-4.1.csv
IAPS,gpt-4.1,fear,0.87,658,IAPS-reg-gpt-4.1.csv
IAPS,gpt-4.1,happiness,0.87,658,IAPS-reg-gpt-4.1.csv
IAPS,gpt-4.1,sadness,0.87,658,IAPS-reg-gpt-4.1.csv
IAPS,gpt-4.1,surprise,0.53,658,IAPS-reg-gpt-4.1.csv
IAPS,intern-vl-3.5-8b,anger,0.58,692,IAPS-reg-intern-vl-3.5-8b.csv
IAPS,intern-vl-3.5-8b,arousal,0.48,691,IAPS-reg-intern-vl-3.5-8b.csv
IAPS,intern-vl-3.5-8b,disgust,0.74,692,IAPS-reg-intern-vl-3.5-8b.csv
IAPS,intern-vl-3.5-8b,emotional valence,0.82,691,IAPS-reg-intern-vl-3.5-8b.csv
IAPS,intern-vl-3.5-8b,fear,0.76,692,IAPS-reg-intern-vl-3.5-8b.csv
IAPS,intern-vl-3.5-8b,happiness,0.78,692,IAPS-reg-intern-vl-3.5-8b.csv
IAPS,intern-vl-3.5-8b,sadness,0.76,692,IAPS-reg-intern-vl-3.5-8b.csv
IAPS,intern-vl-3.5-8b,surprise,0.43,692,IAPS-reg-intern-vl-3.5-8b.csv
IAPS,qwen-vl-2.5-72b,anger,0.62,692,IAPS-reg-qwen-vl-2.5-72b.csv
IAPS,qwen-vl-2.5-72b,arousal,0.53,691,IAPS-reg-qwen-vl-2.5-72b.csv
IAPS,qwen-vl-2.5-72b,disgust,0.77,692,IAPS-reg-qwen-vl-2.5-72b.csv
IAPS,qwen-vl-2.5-72b,emotional valence,0.84,691,IAPS-reg-qwen-vl-2.5-72b.csv
IAPS,qwen-vl-2.5-72b,fear,0.82,692,IAPS-reg-qwen-vl-2.5-72b.csv
IAPS,qwen-vl-2.5-72b,happiness,0.83,692,IAPS-reg-qwen-vl-2.5-72b.csv
IAPS,qwen-vl-2.5-72b,sadness,0.76,692,IAPS-reg-qwen-vl-2.5-72b.csv
IAPS,qwen-vl-2.5-72b,surprise,0.24,692,IAPS-reg-qwen-vl-2.5-72b.csv
IAPS,qwen-vl-2.5-7b,anger,0.56,692,IAPS-reg-qwen-vl-2.5-7b.csv
IAPS,qwen-vl-2.5-7b,arousal,0.48,691,IAPS-reg-qwen-vl-2.5-7b.csv
IAPS,qwen-vl-2.5-7b,disgust,0.78,692,IAPS-reg-qwen-vl-2.5-7b.csv
IAPS,qwen-vl-2.5-7b,emotional valence,0.83,691,IAPS-reg-qwen-vl-2.5-7b.csv
IAPS,qwen-vl-2.5-7b,fear,0.77,692,IAPS-reg-qwen-vl-2.5-7b.csv
IAPS,qwen-vl-2.5-7b,happiness,0.75,692,IAPS-reg-qwen-vl-2.5-7b.csv
IAPS,qwen-vl-2.5-7b,sadness,0.67,692,IAPS-reg-qwen-vl-2.5-7b.csv
IAPS,qwen-vl-2.5-7b,surprise,0.19,692,IAPS-reg-qwen-vl-2.5-7b.csv
