image,predicted_emotion
amusement_new_10.jpg,amusement
amusement_new_11.jpg,amusement
amusement_new_12.jpg,amusement
amusement_new_13.jpg,joy
amusement_new_14.jpg,amusement
amusement_new_15.jpg,amusement
amusement_new_15_midj_af.jpg,joy
amusement_new_15_midj_as.jpg,joy
amusement_new_15_midj_euna.jpg,amusement
amusement_new_15_midj_sa.jpg,amusement
amusement_new_16.jpg,amusement
amusement_new_16_midj_af.jpg,amusement
amusement_new_16_midj_as.jpg,amusement
amusement_new_16_midj_euna.jpg,amusement
amusement_new_16_midj_sa.jpg,joy
amusement_new_17.jpg,amusement
amusement_new_19.jpg,amusement
amusement_new_21.jpg,amusement
amusement_new_22.jpg,amusement
amusement_new_24.jpg,amusement
amusement_new_25.jpg,amusement
amusement_new_26.jpg,amusement
amusement_new_27.jpg,joy
amusement_new_30.jpg,amusement
amusement_new_31.jpg,joy
amusement_new_31_midj_af.jpg,joy
amusement_new_31_midj_as.jpg,joy
amusement_new_31_midj_euna.jpg,joy
amusement_new_31_midj_sa.jpg,joy
animals_173_h_midj.jpg,joy
poshighnonsoc_11_midj.jpg,joy
poshighnonsoc_11_midj_af.jpg,joy
poshighnonsoc_11_midj_as.jpg,joy
poshighnonsoc_11_midj_euna.jpg,joy
poshighnonsoc_11_midj_sa.jpg,joy
poshighnonsoc_19_midj.jpg,amusement
poshighnonsoc_19_midj_af.jpg,joy
poshighnonsoc_19_midj_as.jpg,amusement
poshighnonsoc_19_midj_euna.jpg,joy
poshighnonsoc_19_midj_sa.jpg,amusement
9340_midj.jpg,disgust
anger_new_1.jpg,sadness
anger_new_10.jpg,sadness
anger_new_11.jpg,sadness
anger_new_11_midj_af.jpg,sadness
anger_new_11_midj_as.jpg,sadness
anger_new_11_midj_euna.jpg,sadness
anger_new_11_midj_sa.jpg,sadness
anger_new_13.jpg,joy
anger_new_14.jpg,fear
anger_new_14_midj_af.jpg,fear
anger_new_14_midj_as.jpg,fear
anger_new_14_midj_euna.jpg,fear
anger_new_14_midj_sa.jpg,amusement
anger_new_15.jpg,fear
anger_new_2.jpg,disgust
anger_new_3.jpg,sadness
anger_new_3_midj_af.jpg,fear
anger_new_3_midj_as.jpg,fear
