image,predicted_emotion
amusement_new_10.jpg,awe
amusement_new_11.jpg,awe
amusement_new_12.jpg,awe
amusement_new_13.jpg,awe
amusement_new_14.jpg,joy
amusement_new_15.jpg,awe
amusement_new_15_midj_af.jpg,awe
amusement_new_15_midj_as.jpg,awe
amusement_new_15_midj_euna.jpg,awe
amusement_new_15_midj_sa.jpg,awe
amusement_new_16.jpg,amusement
amusement_new_16_midj_af.jpg,awe
amusement_new_16_midj_as.jpg,awe
amusement_new_16_midj_euna.jpg,amusement
amusement_new_16_midj_sa.jpg,joy
amusement_new_17.jpg,awe
amusement_new_19.jpg,amusement
amusement_new_21.jpg,awe
amusement_new_22.jpg,awe
amusement_new_24.jpg,joy
amusement_new_25.jpg,amusement
amusement_new_26.jpg,awe
amusement_new_27.jpg,joy
amusement_new_30.jpg,awe
amusement_new_31.jpg,awe
amusement_new_31_midj_af.jpg,joy
amusement_new_31_midj_as.jpg,joy
amusement_new_31_midj_euna.jpg,awe
amusement_new_31_midj_sa.jpg,joy
animals_173_h_midj.jpg,awe
poshighnonsoc_11_midj.jpg,joy
poshighnonsoc_11_midj_af.jpg,awe
poshighnonsoc_11_midj_as.jpg,awe
poshighnonsoc_11_midj_euna.jpg,joy
poshighnonsoc_11_midj_sa.jpg,joy
poshighnonsoc_19_midj.jpg,awe
poshighnonsoc_19_midj_af.jpg,awe
poshighnonsoc_19_midj_as.jpg,awe
poshighnonsoc_19_midj_euna.jpg,awe
poshighnonsoc_19_midj_sa.jpg,awe
9340_midj.jpg,disgust
anger_new_1.jpg,amusement
anger_new_10.jpg,awe
anger_new_11.jpg,sadness
anger_new_11_midj_af.jpg,sadness
anger_new_11_midj_as.jpg,sadness
anger_new_11_midj_euna.jpg,sadness
anger_new_11_midj_sa.jpg,sadness
anger_new_13.jpg,joy
anger_new_14.jpg,awe
anger_new_14_midj_af.jpg,fear
anger_new_14_midj_as.jpg,awe
anger_new_14_midj_euna.jpg,awe
anger_new_14_midj_sa.jpg,awe
anger_new_15.jpg,awe
anger_new_2.jpg,sadness
anger_new_3.jpg,sadness
anger_new_3_midj_af.jpg,sadness
anger_new_3_midj_as.jpg,sadness
anger_new_3_midj_euna.jpg,sadness
anger_new_3_midj_sa.jpg,sadness
anger_new_4.jpg,awe
anger_new_5.jpg,sadness
anger_new_5_midj_af.jpg,sadness
anger_new_5_midj_as.jpg,sadness
anger_new_5_midj_euna.jpg,sadness
anger_new_5_midj_sa.jpg,sadness
anger_new_6.jpg,sadness
anger_new_8.jpg,awe
garbagedump2_midj.jpg,sadness
garbagedump4_midj.jpg,awe
h038_midj.jpg,sadness
landscapes_026_h_midj.jpg,sadness
landscapes_139_h_midj.jpg,sadness
landscapes_139_h_midj_af.jpg,sadness
landscapes_139_h_midj_as.jpg,awe
landscapes_139_h_midj_euna.jpg,disgust
landscapes_139_h_midj_sa.jpg,sadness
people_127_h_midj.jpg,amusement
picture3_midj.jpg,anger
2340_midj.jpg,joy
2340_midj_af.jpg,joy
2340_midj_as.jpg,joy
2340_midj_euna.jpg,joy
2340_midj_sa.jpg,joy
2398_midj.jpg,joy
2560_midj.jpg,awe
2580_midj.jpg,awe
attachment_love_new_2_midj_af.jpg,awe
attachment_love_new_2_midj_as.jpg,awe
attachment_love_new_2_midj_euna.jpg,awe
attachment_love_new_2_midj_sa.jpg,awe
attachment_love_new_3_midj_af.jpg,joy
attachment_love_new_3_midj_as.jpg,awe
attachment_love_new_3_midj_euna.jpg,awe
attachment_love_new_3_midj_sa.jpg,awe
attachment_love_new_8_midj_af.jpg,awe
attachment_love_new_8_midj_as.jpg,awe
attachment_love_new_8_midj_euna.jpg,awe
attachment_love_new_8_midj_sa.jpg,joy
attachmentlove_new_1.jpg,awe
attachmentlove_new_10.jpg,awe
attachmentlove_new_12.jpg,awe
attachmentlove_new_2.jpg,awe
attachmentlove_new_3.jpg,awe
attachmentlove_new_5.jpg,awe
attachmentlove_new_7.jpg,awe
attachmentlove_new_8.jpg,awe
attachmentlove_new_9.jpg,awe
maps134_midj.jpg,joy
maps138_midj.jpg,awe
maps158_midj.jpg,awe
maps158_midj_af.jpg,awe
maps158_midj_as.jpg,awe
maps158_midj_euna.jpg,awe
maps158_midj_sa.jpg,awe
maps236_midj.jpg,awe
picture197_mid.jpg,joy
posmidsoc_3_midj.jpg,awe
wedding4_midj.jpg,awe
awe_new_1.jpg,awe
awe_new_1_midj_af.jpg,awe
awe_new_1_midj_as.jpg,awe
awe_new_1_midj_euna.jpg,awe
awe_new_1_midj_sa.jpg,awe
awe_new_2.jpg,awe
awe_new_3.jpg,awe
awe_new_4.jpg,awe
awe_new_5.jpg,awe
awe_new_6.jpg,awe
awe_new_7.jpg,awe
awe_new_8.jpg,awe
awe_new_8_midj_af.jpg,awe
awe_new_8_midj_as.jpg,awe
awe_new_8_midj_euna.jpg,awe
awe_new_8_midj_sa.jpg,awe
lake12_midj.jpg,awe
lake2_midj.jpg,awe
landscapes_121_h_midj.jpg,awe
landscapes_140_v_midj.jpg,awe
landscapes_154_h_midj.jpg,awe
landscapes_180_h_midj.jpg,awe
p045_midj.jpg,awe
p067_midj.jpg,awe
p070_midj.jpg,awe
p070_midj_af.jpg,awe
p070_midj_as.jpg,awe
p070_midj_euna.jpg,awe
