dataset,model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,num_samples,blocked_filtered
LAIGAI,gemini-2.5-flash,69.89,68.41000000000001,80.02,77.49000000000001,69.89,68.33,70.48,465,True
LAIGAI,gemma-vl-3-27b,75.42,67.52,76.94,72.09,75.42,67.73,74.79,480,False
LAIGAI,gpt-4.1,65.42,66.24,77.81,75.62,65.42,63.660000000000004,65.14999999999999,480,True
LAIGAI,kimi-vl-a3b-16b,71.25,69.42,76.05,64.73,71.25,62.160000000000004,70.71,480,False
LAIGAI,qwen-vl-2.5-72b,67.71000000000001,64.42999999999999,74.77000000000001,66.0,67.71000000000001,60.419999999999995,68.28999999999999,480,False
LAIGAI,intern-vl-3.5-38b,67.5,66.64999999999999,73.87,63.36000000000001,67.5,57.699999999999996,67.39,480,False
LAIGAI,glm-vl-4.1-9b,58.75,56.699999999999996,66.09,60.81999999999999,58.75,55.04,59.38,480,False
LAIGAI,qwen-vl-2.5-7b,58.75,58.220000000000006,69.28,62.89,58.75,54.2,59.81999999999999,480,False
LAIGAI,intern-vl-3.5-8b,67.08,63.129999999999995,70.00999999999999,52.32,67.08,52.15,62.96000000000001,480,False
LAIGAI,llava-vl-mistral-7b,61.88,38.67,65.89,29.759999999999998,61.88,29.609999999999996,57.3,480,False
LAIGAI,llava-vl-vicuna-7b,35.42,38.53,55.85,25.83,35.42,22.439999999999998,35.47,480,False
