dataset,model,emotion,accuracy,precision,recall,f1_score,num_samples,blocked_filtered
LAIGAI,qwen-vl-2.5-72b,amusement,0.88,0.6286,0.88,0.7333,25,False
LAIGAI,qwen-vl-2.5-72b,anger,0.5,0.7,0.5,0.5833,14,False
LAIGAI,qwen-vl-2.5-72b,attachment love,1.0,0.186,1.0,0.3137,8,False
LAIGAI,qwen-vl-2.5-72b,awe,0.8333,0.5814,0.8333,0.6849,30,False
LAIGAI,qwen-vl-2.5-72b,craving,0.425,1.0,0.425,0.5965,40,False
LAIGAI,qwen-vl-2.5-72b,disgust,0.9429,0.7174,0.9429,0.8148,35,False
LAIGAI,qwen-vl-2.5-72b,excitement,0.85,0.5312,0.85,0.6538,20,False
LAIGAI,qwen-vl-2.5-72b,fear,0.8571,0.8571,0.8571,0.8571,42,False
LAIGAI,qwen-vl-2.5-72b,joy,0.5867,0.704,0.5867,0.64,150,False
LAIGAI,qwen-vl-2.5-72b,neutral,0.4048,0.85,0.4048,0.5484,42,False
LAIGAI,qwen-vl-2.5-72b,nurturant love,0.5,0.7778,0.5,0.6087,14,False
LAIGAI,qwen-vl-2.5-72b,sadness,0.8,0.8421,0.8,0.8205,60,False
LAIGAI,intern-vl-3.5-38b,amusement,0.32,0.8,0.32,0.4571,25,False
LAIGAI,intern-vl-3.5-38b,anger,0.1429,1.0,0.1429,0.25,14,False
LAIGAI,intern-vl-3.5-38b,attachment love,0.875,0.1489,0.875,0.2545,8,False
LAIGAI,intern-vl-3.5-38b,awe,0.8333,0.5556,0.8333,0.6667,30,False
LAIGAI,intern-vl-3.5-38b,craving,0.825,1.0,0.825,0.9041,40,False
LAIGAI,intern-vl-3.5-38b,disgust,0.8286,0.8788,0.8286,0.8529,35,False
LAIGAI,intern-vl-3.5-38b,excitement,0.95,0.5135,0.95,0.6667,20,False
LAIGAI,intern-vl-3.5-38b,fear,0.9762,0.6613,0.9762,0.7885,42,False
LAIGAI,intern-vl-3.5-38b,joy,0.6333,0.6934,0.6333,0.662,150,False
LAIGAI,intern-vl-3.5-38b,neutral,0.4524,0.8261,0.4524,0.5846,42,False
LAIGAI,intern-vl-3.5-38b,nurturant love,0.0,0.0,0.0,0.0,14,False
LAIGAI,intern-vl-3.5-38b,sadness,0.7667,0.92,0.7667,0.8364,60,False
LAIGAI,llava-vl-mistral-7b,amusement,0.48,0.75,0.48,0.5854,25,False
LAIGAI,llava-vl-mistral-7b,anger,0.0714,0.25,0.0714,0.1111,14,False
LAIGAI,llava-vl-mistral-7b,attachment love,0.125,0.1429,0.125,0.1333,8,False
