emotion,n_pairs,context_mae,no_context_mae,mean_error_reduction,std_error_reduction,cohens_d,ci_95_lower,ci_95_upper
Amusement,29208,1.6326691317447275,1.636460558751027,0.003791427006299644,0.590412197299778,0.006421661042301555,-0.005047065006839846,0.017890387091442958
Anger,29060,0.9503785271851342,0.9504425326909842,6.400550584996666e-05,0.4353639032359161,0.00014701610623718428,-0.011350879881825213,0.011644912094299582
Approach,29109,1.6727472602975024,1.6553986739496376,-0.01734858634786492,0.48001682511588684,-0.03614162137686858,-0.047629835117244466,-0.024653407636492684
Aroused,29045,2.893234635909795,2.7585980375279737,-0.13463659838182132,0.5589876173576446,-0.24085792636740966,-0.2523587912063974,-0.22935706152842192
Attachment love,29151,1.5756920860347845,1.5328023052382422,-0.04288978079654215,0.5226010079840959,-0.08206983940193126,-0.09354977351213108,-0.07058990529173144
Avoid,29127,1.2299927901946648,1.212079513853126,-0.017913276341538782,0.3771597910212537,-0.047495191078121404,-0.05897985421255997,-0.03601052794368285
Awe,29039,1.7473742208753744,1.7076614208478254,-0.03971280002754916,0.6351170894896544,-0.0625283127863245,-0.07403036580977725,-0.05102625976287175
Calm,29025,1.4605340223944876,1.4259224806201551,-0.034611541774332476,0.5151341749518584,-0.06718937212342217,-0.07869419901005353,-0.05568454523679082
Craving,29142,0.9567977489534006,0.952259968430444,-0.004537780522956558,0.33722932409728595,-0.013456067425641406,-0.02493777423526356,-0.001974360616019254
Disgust,29132,0.9429493340656323,0.8712371275573253,-0.07171220650830701,0.6144016177959427,-0.11671877877789756,-0.1282024562170124,-0.10523510133878274
Excitement,29122,1.7547901929812513,1.7589629833115856,0.004172790330334459,0.5649882362510382,0.007385623385759106,-0.004100025697866666,0.01887127246938488
Fear,29151,1.047511234606017,1.0652945010462764,0.01778326644025934,0.41831515176741385,0.04251164789303869,0.03103171378283888,0.0539915820032385
Joy,29112,1.3829005221214619,1.384670926078593,0.0017704039571310776,0.3741038347007214,0.004732386553982746,-0.006755235190043904,0.016220008298009396
Negative,29138,0.930537442514929,0.9229356853593246,-0.007601757155604366,0.35184358034164737,-0.02160550193419162,-0.033087996873864385,-0.010123006994518851
Neutral,29075,1.5379191745485812,1.5391876182287187,0.0012684436801375773,0.4779966541685581,0.0026536664411259256,-0.00884126299397598,0.014148595876227833
Nurturant love,29107,1.6546878757687153,1.586377847253238,-0.06831002851547738,0.6085082282145458,-0.11225818378152294,-0.12374679223698143,-0.10076957532606445
Positive,29223,1.1539882968894364,1.1698833110905793,0.015895014201142935,0.3681494363119857,0.043175440822005806,0.03170965881056856,0.054641222833443054
Sadness,29033,0.954155616023146,0.9192332862604622,-0.034922329762683835,0.48027630550675854,-0.07271299741892513,-0.08421623899518237,-0.06120975584266791
