emotion,n_pairs,context_mae,no_context_mae,mean_error_reduction,std_error_reduction,cohens_d,ci_95_lower,ci_95_upper
Amusement,34847,1.5593307888770913,1.5572789623210033,-0.0020518265560880403,0.5261120999893338,-0.0038999797878239983,-0.014399766538001853,0.006599806962353858
Anger,34679,0.9386660515009083,0.8929357824620087,-0.045730269038899624,0.5628312337303222,-0.0812504109550023,-0.09177560149174169,-0.07072522041826289
Approach,34730,1.6643247912467607,1.6004952490642095,-0.06382954218255112,0.6558883887338649,-0.09731768892230042,-0.10783514811191966,-0.08680022973268117
Aroused,34648,2.086671669360425,2.0867934657123066,0.00012179635188178524,0.5508422455103593,0.0002211093155517512,-0.010308789007283747,0.01075100763838725
Attachment love,34785,1.6444731924680178,1.6404530688515166,-0.004020123616501363,0.5449867127502552,-0.007376553450659299,-0.01788569397728447,0.003132587075965871
Avoid,34747,1.4348289060926123,1.3791130169511037,-0.05571588914150862,0.5004874003634553,-0.11132326028796648,-0.12183814614548262,-0.10080837443045033
Awe,34652,1.7482107814844743,1.7189206972180537,-0.02929008426642041,0.4965780607880905,-0.05898384680937333,-0.06951313732094677,-0.0484545562977999
Calm,34628,1.4517442532054985,1.4835884255515768,0.03184417234607832,0.549280509058652,0.05797433519105265,0.047441396232230114,0.06850727414987519
Craving,34767,1.3222308510944287,1.24681048120344,-0.07542036989098858,0.4741639072076319,-0.15905970223491242,-0.16957156305981555,-0.1485478414100093
Disgust,34756,0.9519219703072851,0.8581240649096559,-0.09379790539762918,0.43422153066385255,-0.21601394397515888,-0.22652746824485606,-0.2055004197054617
Excitement,34746,1.6541472399700685,1.7428699706441029,0.08872273067403443,0.5767300779494253,0.153837530009688,0.1433224928319793,0.16435256718739674
Fear,34769,1.0223187322039748,1.0095280278408927,-0.012790704363082056,0.3969555867614495,-0.03222200364387019,-0.04273356210908641,-0.021710445178653972
Joy,34742,1.3161303321628002,1.3147049680501988,-0.0014253641126014626,0.45189978314402535,-0.0031541597623364727,-0.013669802286151876,0.007361482761478931
Negative,34759,1.0314450933571162,0.9548888057769211,-0.07655628758019506,0.4365456426922791,-0.1753683466133221,-0.18588141713794207,-0.16485527608870212
Neutral,34697,1.5569934000057641,1.5074202380609274,-0.04957316194483673,0.5933720504070783,-0.08354482134914755,-0.09406728122863395,-0.07302236146966114
Nurturant love,34728,1.587595024187975,1.5723784842202257,-0.015216539967749368,0.6228218918153503,-0.02443160744301624,-0.03494936950181705,-0.013913845384215433
Positive,34866,1.1817529971892389,1.1437400332702345,-0.03801296391900419,0.4803360581486558,-0.07913826845628946,-0.08963519372264199,-0.06864134318993693
Sadness,34635,1.275328425003609,1.1344651364226936,-0.14086328858091526,0.5184336650188455,-0.27170937785414606,-0.28224125229077024,-0.26117750341752183
