emotion,n_pairs,context_mae,no_context_mae,mean_error_reduction,std_error_reduction,cohens_d,ci_95_lower,ci_95_upper
Amusement,34847,1.558957729503257,1.5572789623210033,-0.0016787671822538507,0.9549685528465834,-0.0017579292818069856,-0.01225771603198484,0.00874185746837087
Anger,34679,1.130049886098215,0.8929357824620087,-0.23711410363620633,0.9289821232535945,-0.25524076050651695,-0.26576595104325634,-0.24471556996977756
Approach,34730,1.6188885689605528,1.6004952490642095,-0.018393319896343217,0.6771712497388225,-0.02716199174645604,-0.037679450936075276,-0.016644532556836796
Aroused,34648,1.909287693373355,2.0867934657123066,0.17750577233895176,0.8369635901093927,0.2120830277882834,0.2015531294654479,0.22261292611111888
Attachment love,34785,1.5489722581572516,1.6404530688515166,0.09148081069426478,0.9559915737747732,0.09569206800960486,0.08518292748297969,0.10620120853623004
Avoid,34747,1.366506460989438,1.3791130169511037,0.012606555961665756,0.5950414125327584,0.02118601444562774,0.010671128588111593,0.03170090030314389
Awe,34652,1.755483088999192,1.7189206972180537,-0.036562391781138175,1.0127841069762942,-0.036100874341617184,-0.046630164853190624,-0.02557158383004375
Calm,34628,1.5931616033267875,1.4835884255515768,-0.1095731777752108,0.8037089006500261,-0.13633440874748293,-0.14686734770630547,-0.12580146978866039
Craving,34767,1.6574337734058158,1.24681048120344,-0.4106232922023758,1.1890845670567556,-0.3453272404491451,-0.35583910127404816,-0.33481537962424196
Disgust,34756,1.197030728507308,0.8581240649096559,-0.3389066635976522,0.78941980944279,-0.4293110706670366,-0.4398245949367338,-0.41879754639733946
Excitement,34746,1.679243653945778,1.7428699706441029,0.063626316698325,0.8202293093076748,0.0775713766581075,0.06705633948039876,0.08808641383581624
Fear,34769,1.1201069918605655,1.0095280278408927,-0.1105789640196727,0.6303908523368885,-0.17541333858153443,-0.18592489704675064,-0.1649017801163182
Joy,34742,1.3359046687007081,1.3147049680501988,-0.021199700650509468,0.7613432201933046,-0.027845129618579746,-0.03836077214239515,-0.017329487094764343
Negative,34759,1.185131908282747,0.9548888057769211,-0.23024310250582583,0.7540294474054908,-0.3053502794858476,-0.31586335001046756,-0.2948372089612276
Neutral,34697,1.5629881545954982,1.5074202380609274,-0.05556791653457071,0.7322997584285476,-0.07588138039785058,-0.086403840277337,-0.06535892051836419
Nurturant love,34728,1.550823542962451,1.5723784842202257,0.021554941257774705,1.1710883990994265,0.01840590451954829,0.007888142460747483,0.02892366657834909
Positive,34866,1.1768198244708312,1.1437400332702345,-0.03307979120059657,0.6596231555650144,-0.05014952995739115,-0.06064645522374368,-0.03965260469103862
Sadness,34635,1.4898513064818826,1.1344651364226936,-0.35538617005918866,0.8820534712876136,-0.4029077393011097,-0.4134396137377339,-0.3923758648644855
