emotion,n_pairs,context_mae,no_context_mae,mean_error_reduction,std_error_reduction,cohens_d,ci_95_lower,ci_95_upper
Amusement,29089,1.572278180755612,1.640240640792052,0.0679624600364399,0.6549559766686468,0.10376645523890415,0.09227429251590433,0.115258617961904
Anger,28941,0.9964410352095643,0.9448782004768322,-0.051562834732732106,0.658159236255943,-0.07834401143719649,-0.0898655237521509,-0.06682249912224208
Approach,28990,1.6295274232493964,1.6571893756467746,0.027661952397378408,0.687368218162937,0.040243281063107414,0.028731510729000383,0.051755051397214445
Aroused,28927,2.66263352577177,2.7554201956649496,0.09278666989317938,0.7527789367308042,0.12325885511108575,0.11173455482715472,0.13478315539501678
Attachment love,29032,1.5197712868558833,1.5345921741526591,0.014820887296775968,0.8027531178645937,0.01846257207471341,0.006959132370497962,0.029966011778928853
Avoid,29008,1.1948428019856592,1.2094284335355763,0.014585631549917261,0.5427866951815122,0.02687175584699936,0.01536355799841117,0.038379953695587554
Awe,28920,1.6634163208852006,1.7081666666666666,0.04475034578146611,0.9126942319335409,0.04903103823354136,0.03750534320594766,0.06055673326113506
Calm,28907,1.441484761476459,1.4287023904244647,-0.012782371051994333,0.7891443577289093,-0.016197760177594014,-0.027726046787491854,-0.004669473567696179
Craving,29024,0.9683365490628445,0.9542006615214995,-0.014135887541345095,0.6103728076116829,-0.023159432014439114,-0.03466445711095595,-0.011654406917922282
Disgust,29013,0.938234584496605,0.8652149036638748,-0.07301968083273015,0.7632186362197783,-0.09567334623063795,-0.10718055231225114,-0.08416614014902474
Excitement,29003,1.8388097782987967,1.7603620315139812,-0.07844774678481535,0.9339498250018575,-0.08399567587547792,-0.09550486574751636,-0.07248648600343947
Fear,29032,1.024145770184624,1.0631530724717553,0.039007302287131444,0.5482347090582461,0.07115073460806216,0.05964729490384672,0.0826541743122776
Joy,28993,1.3268720035870727,1.3875997654606285,0.06072776187355568,0.586415626130096,0.10355754377541647,0.09204636908660935,0.1150687184642236
Negative,29019,0.9120920776043282,0.9203335745546022,0.008241496950273958,0.5343669763958566,0.015422915925419564,0.003916899625784529,0.0269289322250546
Neutral,28957,1.4975998894913147,1.5408737092930898,0.043273819801775054,0.7395571837795517,0.05851314915314808,0.046994820612156096,0.07003147769414006
Nurturant love,28988,1.6154270732716987,1.5865116599972404,-0.028915413274458394,0.8904791327631139,-0.03247174718708484,-0.043983914669431724,-0.02095957970473797
Positive,29104,1.1941313908741067,1.17081844420011,-0.023312946673996707,0.9030368797266829,-0.02581616232667342,-0.03730536293104794,-0.014326961722298902
Sadness,28915,0.9866505274079198,0.9165574961092858,-0.07009303129863392,0.7060541378104985,-0.09927430142396042,-0.11080099300712674,-0.0877476098407941
