emotion,n_pairs,context_mae,no_context_mae,mean_error_reduction,std_error_reduction,cohens_d,ci_95_lower,ci_95_upper
Amusement,34847,1.5551410451401841,1.5572789623210033,0.0021379171808190104,0.9200283030622967,0.0023237515342767107,-0.008176035215901144,0.012823538284454565
Anger,34679,1.1450445514576544,0.8929357824620087,-0.25210876899564577,0.9744286337567871,-0.25872471339811937,-0.2692499039348588,-0.24819952286137997
Approach,34730,1.6359055571551973,1.6004952490642095,-0.035410308090987615,0.705762993061988,-0.050173087054845744,-0.06069054624446499,-0.0396556278652265
Aroused,34648,1.7280362502886168,2.0867934657123066,0.35875721542368966,1.0277317742544902,0.34907669920386547,0.33854680088102995,0.359606597526701
Attachment love,34785,1.5123472761247665,1.6404530688515166,0.12810579272675005,0.9690779757698575,0.13219348280511678,0.12168434227849162,0.14270262333174197
Avoid,34747,1.368607361786629,1.3791130169511037,0.010505655164474631,0.6173341765309264,0.017017776698368705,0.006502890840852556,0.02753266255588485
Awe,34652,1.8109488629804917,1.7189206972180537,-0.09202816576243796,1.0257440070299848,-0.08971845327071724,-0.10024774378229068,-0.07918916275914381
Calm,34628,1.565380616841862,1.4835884255515768,-0.08179219129028531,0.8148053646536813,-0.10038248990303304,-0.11091542886185558,-0.0898495509442105
Craving,34767,1.5246929559639888,1.24681048120344,-0.2778824747605488,1.0302085956518254,-0.26973418386664616,-0.28024604469154923,-0.25922232304174303
Disgust,34756,1.2481873633329497,0.8581240649096559,-0.39006329842329385,0.8395420900943265,-0.464614345159834,-0.4751278694295312,-0.4541008208901368
Excitement,34746,1.6058539112415817,1.7428699706441029,0.13701605940252115,0.8626465721869757,0.15883220755767796,0.14831717037996922,0.1693472447353867
Fear,34769,1.1629612585924243,1.0095280278408927,-0.15343323075153154,0.6797420540929789,-0.2257227279490112,-0.2362342864142274,-0.21521116948379498
Joy,34742,1.301191641241149,1.3147049680501988,0.013513326809049566,0.7413697458128511,0.018227513174594565,0.007711870650779161,0.028743155698409965
Negative,34759,1.2051267297678299,0.9548888057769211,-0.25023792399090883,0.7918417149067007,-0.3160201329130447,-0.3265332034376647,-0.30550706238842473
Neutral,34697,1.5530449318384876,1.5074202380609274,-0.04562469377756002,0.7085541246555257,-0.0643912612882483,-0.0749137211677347,-0.05386880140876191
Nurturant love,34728,1.506968440451509,1.5723784842202257,0.06541004376871688,1.07692531992679,0.06073777128126534,0.050220009222464536,0.07125553334006615
Positive,34866,1.164572936385017,1.1437400332702345,-0.02083290311478231,0.6686522596446808,-0.031156558307083016,-0.04165348357343554,-0.020659633040730492
Sadness,34635,1.5402338674750975,1.1344651364226936,-0.40576873105240363,0.9117291091420106,-0.44505404838313795,-0.4555859228197621,-0.43452217394651377
