"image","amusement_Mean","amusement_Std","anger_Mean","anger_Std","attachment love_Mean","attachment love_Std","awe_Mean","awe_Std","craving_Mean","craving_Std","disgust_Mean","disgust_Std","excitement_Mean","excitement_Std","fear_Mean","fear_Std","joy_Mean","joy_Std","neutral_Mean","neutral_Std","nurturant love_Mean","nurturant love_Std","sadness_Mean","sadness_Std","positive_Mean","positive_Std","negative_Mean","negative_Std","calm_Mean","calm_Std","aroused_Mean","aroused_Std","motivated to approach_Mean","motivated to approach_Std","motivated to avoid_Mean","motivated to avoid_Std"
"amusement_new_10.jpg","6.9","0.3","1.0","0.0","5.9","0.3","1.0","0.0","1.0","0.0","1.0","0.0","4.0","0.0","1.0","0.0","5.98","0.14","2.02","0.25","5.64","0.48","1.0","0.0","6.56","0.5","1.0","0.0","4.08","0.49","3.58","0.5","5.9","0.3","1.0","0.0"
"amusement_new_11.jpg","6.04","0.2","1.0","0.0","5.12","0.33","1.08","0.27","1.0","0.0","1.0","0.0","4.18","0.44","1.0","0.0","6.04","0.2","1.06","0.24","5.66","0.48","1.0","0.0","6.06","0.24","1.0","0.0","4.24","0.48","3.32","0.47","5.38","0.49","1.0","0.0"
"amusement_new_12.jpg","6.42","0.5","1.0","0.0","1.0","0.0","1.36","0.48","1.0","0.0","1.0","0.0","4.32","0.47","2.0","0.0","5.0","0.0","1.72","0.45","1.0","0.0","1.0","0.0","5.54","0.5","1.0","0.0","2.5","0.51","4.66","0.48","4.08","0.27","1.3","0.46"
"amusement_new_13.jpg","7.0","0.0","1.0","0.0","6.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","6.04","0.2","1.0","0.0","7.0","0.0","1.0","0.0","5.88","0.33","1.0","0.0","7.0","0.0","1.0","0.0","3.66","0.52","5.84","0.37","7.0","0.0","1.0","0.0"
"amusement_new_14.jpg","7.0","0.0","1.0","0.0","5.46","0.5","2.04","0.2","1.0","0.0","1.0","0.0","5.12","0.33","1.0","0.0","6.64","0.48","1.0","0.0","6.24","0.48","1.0","0.0","6.98","0.14","1.0","0.0","4.24","0.43","4.18","0.39","6.3","0.46","1.0","0.0"
"amusement_new_15.jpg","6.94","0.24","1.0","0.0","5.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","4.0","0.0","1.9","0.3","6.0","0.0","1.98","0.14","5.98","0.14","1.0","0.0","6.66","0.48","1.0","0.0","3.16","0.37","4.0","0.0","5.98","0.14","1.0","0.0"
"amusement_new_15_midj_af.jpg","6.0","0.0","1.0","0.0","6.02","0.14","1.84","0.37","1.0","0.0","1.0","0.0","3.64","0.48","1.0","0.0","6.02","0.14","2.02","0.14","6.62","0.49","1.0","0.0","6.52","0.5","1.0","0.0","5.04","0.2","2.96","0.2","6.08","0.27","1.0","0.0"
"amusement_new_15_midj_as.jpg","6.48","0.5","1.0","0.0","6.0","0.0","1.8","0.45","1.0","0.0","1.0","0.0","4.02","0.14","1.0","0.0","6.44","0.5","2.02","0.14","6.94","0.24","1.0","0.0","6.7","0.46","1.0","0.0","5.14","0.35","3.02","0.14","6.28","0.45","1.0","0.0"
"amusement_new_15_midj_euna.jpg","7.0","0.0","1.0","0.0","5.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","4.0","0.0","1.92","0.27","6.0","0.0","2.0","0.0","6.0","0.0","1.0","0.0","6.62","0.49","1.0","0.0","3.08","0.27","4.0","0.0","6.0","0.0","1.0","0.0"
"amusement_new_15_midj_sa.jpg","6.96","0.2","1.0","0.0","5.92","0.27","1.2","0.4","1.0","0.0","1.0","0.0","4.08","0.34","1.0","0.0","6.92","0.27","1.08","0.27","6.94","0.24","1.0","0.0","6.96","0.2","1.0","0.0","5.14","0.35","3.3","0.46","6.74","0.44","1.0","0.0"
"amusement_new_16.jpg","6.98","0.14","1.0","0.0","6.0","0.0","1.02","0.14","4.0","0.0","1.0","0.0","5.0","0.0","1.0","0.0","7.0","0.0","1.0","0.0","6.06","0.24","1.0","0.0","7.0","0.0","1.0","0.0","5.46","0.5","3.94","0.31","6.9","0.3","1.0","0.0"
"amusement_new_16_midj_af.jpg","6.46","0.5","1.0","0.0","3.0","0.0","1.78","0.42","5.0","0.0","1.0","0.0","4.46","0.5","1.0","0.0","6.0","0.0","2.0","0.0","3.88","0.33","1.0","0.0","6.0","0.0","1.0","0.0","3.34","0.48","4.04","0.2","5.54","0.5","1.0","0.0"
