image,amusement_Mean,amusement_Std,anger_Mean,anger_Std,attachment love_Mean,attachment love_Std,awe_Mean,awe_Std,craving_Mean,craving_Std,disgust_Mean,disgust_Std,excitement_Mean,excitement_Std,fear_Mean,fear_Std,joy_Mean,joy_Std,neutral_Mean,neutral_Std,nurturant love_Mean,nurturant love_Std,sadness_Mean,sadness_Std,positive_Mean,positive_Std,negative_Mean,negative_Std,calm_Mean,calm_Std,aroused_Mean,aroused_Std,motivated to approach_Mean,motivated to approach_Std,motivated to avoid_Mean,motivated to avoid_Std
amusement_new_10.jpg,6.5,0.5051,1.08,0.274,5.9,0.4629,4.32,1.5444,2.14,0.3505,1.26,0.4431,4.88,1.1891,1.04,0.1979,5.98,0.3774,4.86,1.1068,5.64,0.6627,2.0,0.0,6.44,0.5014,1.2,0.4041,5.1,0.9313,3.9,1.233,5.64,0.6312,1.94,0.2399
amusement_new_11.jpg,6.6,0.4949,1.1,0.303,5.1,0.8864,4.78,1.0554,2.0,0.0,1.0,0.0,6.12,0.5584,1.0,0.0,6.7,0.4629,4.58,0.8827,5.34,0.7174,1.06,0.2399,6.92,0.274,1.04,0.1979,3.7,0.8864,5.12,0.8722,6.44,0.5014,1.8,0.4041
amusement_new_12.jpg,6.44,0.5014,2.04,0.1979,2.0,0.0,4.42,1.0708,1.72,0.4536,5.0,0.9258,6.02,0.4734,5.28,0.8581,5.64,0.6627,3.54,0.8134,1.76,0.4314,1.92,0.274,4.22,1.0934,2.84,0.8172,2.0,0.0,5.42,0.6417,5.12,0.4798,5.46,0.7616
amusement_new_13.jpg,6.92,0.274,1.0,0.0,5.9,0.4629,5.46,0.6764,3.58,1.4441,1.0,0.0,6.8,0.4041,1.0,0.0,7.0,0.0,2.52,0.9311,5.78,0.5455,1.0,0.0,7.0,0.0,1.0,0.0,3.64,1.0254,5.66,0.6581,6.76,0.4314,1.28,0.4536
amusement_new_14.jpg,7.0,0.0,1.0,0.0,6.18,0.5226,6.44,0.5014,2.4,0.6389,1.0,0.0,6.3,0.5803,1.0,0.0,6.98,0.1414,4.66,0.7722,6.3,0.5803,1.2,0.4041,7.0,0.0,1.0,0.0,5.62,0.6667,5.18,0.8734,6.24,0.5555,1.26,0.4431
amusement_new_15.jpg,6.92,0.274,1.08,0.274,5.96,0.402,5.22,1.1119,2.0,0.0,1.3,0.4629,5.84,0.4677,1.76,0.4314,6.44,0.5014,4.64,0.8981,5.88,0.4798,1.34,0.4785,6.6,0.4949,1.28,0.4536,5.18,0.8965,4.78,1.1119,5.84,0.4677,2.0,0.0
amusement_new_15_midj_af.jpg,5.78,0.5455,1.04,0.1979,5.58,0.6417,4.72,1.1436,2.0,0.0,1.0,0.0,5.28,0.6074,1.6,0.4949,5.96,0.3476,4.7,0.7354,5.86,0.4953,1.76,0.4314,6.42,0.4986,1.26,0.4431,5.54,0.6455,5.1,0.8144,5.84,0.4677,2.0,0.0
amusement_new_15_midj_as.jpg,6.36,0.6312,1.0,0.0,5.98,0.5147,5.58,0.6728,2.0,0.0,1.0,0.0,4.8,1.0498,1.04,0.1979,6.5,0.5051,4.8,0.9035,6.16,0.5095,1.76,0.4314,6.7,0.4629,1.2,0.4041,6.0,0.4949,3.76,1.0012,5.62,0.6667,1.76,0.4314
amusement_new_15_midj_euna.jpg,6.92,0.274,1.06,0.2399,5.96,0.402,5.14,1.1068,2.0,0.0,1.28,0.4536,5.78,0.6158,1.72,0.4536,6.44,0.5014,4.64,0.8981,5.86,0.4953,1.28,0.4536,6.6,0.4949,1.34,0.4785,5.18,0.8965,4.76,1.135,5.88,0.4352,2.0,0.0
amusement_new_15_midj_sa.jpg,6.86,0.3505,1.0,0.0,6.16,0.5095,5.68,0.8192,2.0,0.0,1.0,0.0,5.68,0.6528,1.0,0.0,6.7,0.4629,5.02,0.8204,6.36,0.4849,1.0,0.0,6.92,0.274,1.24,0.4314,4.68,1.0962,5.14,1.1068,5.96,0.402,1.76,0.4314
