image,amusement_Mean,amusement_Std,anger_Mean,anger_Std,attachment love_Mean,attachment love_Std,awe_Mean,awe_Std,craving_Mean,craving_Std,disgust_Mean,disgust_Std,excitement_Mean,excitement_Std,fear_Mean,fear_Std,joy_Mean,joy_Std,neutral_Mean,neutral_Std,nurturant love_Mean,nurturant love_Std,sadness_Mean,sadness_Std,positive_Mean,positive_Std,negative_Mean,negative_Std,calm_Mean,calm_Std,aroused_Mean,aroused_Std,motivated to approach_Mean,motivated to approach_Std,motivated to avoid_Mean,motivated to avoid_Std
amusement_new_10.jpg,5.96,0.3476,1.04,0.1979,5.72,0.7296,2.12,0.7183,2.02,0.8687,1.1,0.303,2.84,0.7656,1.1,0.303,4.06,1.0768,2.92,0.8041,2.5,1.0152,1.96,0.4932,6.04,0.1979,1.44,0.5771,4.42,1.0897,3.68,0.8192,4.06,1.1141,2.12,0.773
amusement_new_11.jpg,5.96,0.3476,1.04,0.1979,5.82,0.5956,2.82,0.7475,2.18,0.7743,1.04,0.1979,5.42,0.6728,1.08,0.274,5.94,0.3136,2.36,0.598,2.94,1.1502,1.42,0.4986,6.3,0.4629,1.08,0.274,3.28,0.8581,4.96,0.8562,5.64,0.6312,1.58,0.7309
amusement_new_12.jpg,5.92,0.3405,1.46,0.6455,3.04,0.7814,2.74,0.7775,1.86,0.8084,2.22,0.6481,5.26,0.6328,2.44,0.5771,4.44,1.0134,2.68,0.7126,1.04,0.1979,1.52,0.5436,5.18,0.7475,2.2,0.6061,1.42,0.5746,5.1,0.6145,4.28,0.9697,3.26,0.9216
amusement_new_13.jpg,6.06,0.2399,1.06,0.2399,5.98,0.3774,2.16,0.7384,2.58,0.9708,1.04,0.1979,6.06,0.2399,1.0,0.0,6.36,0.4849,2.16,0.6809,2.28,1.011,1.04,0.1979,6.44,0.5014,1.08,0.274,1.28,0.4536,6.04,0.2828,5.98,0.3774,1.38,0.6354
amusement_new_14.jpg,6.14,0.3505,1.0,0.0,6.34,0.4785,5.88,0.5584,3.4,1.5253,1.0,0.0,5.98,0.3188,1.04,0.1979,6.14,0.3505,2.7,1.0152,5.8,1.069,1.2,0.4041,6.44,0.5014,1.04,0.1979,2.02,0.5529,5.96,0.3476,6.04,0.4499,1.36,0.6312
amusement_new_15.jpg,5.96,0.3476,1.0,0.0,5.84,0.6181,2.84,0.9337,2.44,0.9293,1.08,0.274,4.06,1.0768,1.04,0.1979,4.98,1.1156,2.38,0.6966,3.44,1.5539,1.26,0.4431,6.06,0.2399,1.2,0.4041,2.9,0.8631,4.14,1.0104,5.64,0.6928,1.66,0.7982
amusement_new_15_midj_af.jpg,4.74,1.1214,1.0,0.0,5.98,0.3774,2.78,0.9538,2.32,0.9988,1.0,0.0,3.38,0.9666,1.1,0.303,4.7,1.1112,2.62,0.6354,5.22,1.2501,1.46,0.5425,6.14,0.3505,1.08,0.274,4.3,1.1824,3.74,0.7775,5.78,0.6158,1.62,0.7796
amusement_new_15_midj_as.jpg,5.82,0.3881,1.0,0.0,5.84,0.6181,3.18,0.9409,2.3,0.9742,1.04,0.1979,3.5,0.8631,1.1,0.303,4.5,1.0546,2.82,0.7743,4.36,1.4535,1.44,0.5771,6.04,0.1979,1.1,0.303,4.92,1.1036,3.3,0.7626,5.48,0.7351,1.98,0.8449
amusement_new_15_midj_euna.jpg,5.96,0.3476,1.0,0.0,5.84,0.6181,2.84,0.9337,2.44,0.9293,1.08,0.274,4.06,1.0768,1.04,0.1979,4.98,1.1156,2.38,0.6966,3.44,1.5539,1.26,0.4431,6.06,0.2399,1.2,0.4041,2.9,0.8631,4.14,1.0104,5.64,0.6928,1.66,0.7982
amusement_new_15_midj_sa.jpg,6.0,0.3499,1.0,0.0,6.18,0.5226,2.84,1.0568,2.02,0.8687,1.04,0.1979,3.72,1.2623,1.04,0.1979,5.84,0.5841,2.34,0.7174,5.6,1.1606,1.58,0.5379,6.3,0.4629,1.08,0.274,3.6,1.1952,3.46,0.9941,5.9,0.5803,1.78,0.8154
amusement_new_16.jpg,5.98,0.3188,1.0,0.0,6.08,0.4882,1.66,0.7453,3.86,1.2124,1.22,0.4185,5.0,0.9035,1.0,0.0,5.96,0.3476,2.62,0.6354,4.6,1.3401,1.1,0.303,6.42,0.4986,1.08,0.274,2.68,0.7126,4.7,0.8864,5.88,0.4352,1.34,0.6263
amusement_new_16_midj_af.jpg,5.94,0.3136,1.04,0.1979,5.14,0.9691,2.66,0.8947,5.52,0.7068,1.46,0.6455,5.24,0.744,1.0,0.0,5.46,0.706,3.12,0.8722,3.58,1.3262,1.62,0.6024,6.04,0.1979,1.1,0.303,2.44,0.5771,4.94,0.8901,5.82,0.3881,1.68,0.7677
amusement_new_16_midj_as.jpg,6.04,0.1979,1.04,0.1979,5.98,0.3774,3.66,1.239,5.42,0.9708,1.2,0.4041,5.46,0.706,1.0,0.0,5.96,0.3476,3.06,0.8901,5.54,1.0144,1.22,0.4185,6.14,0.3505,1.06,0.2399,2.76,0.7969,5.16,0.8889,5.96,0.3476,1.38,0.6354
amusement_new_16_midj_euna.jpg,5.98,0.3188,1.0,0.0,6.08,0.4882,1.66,0.7453,3.86,1.2124,1.22,0.4185,5.0,0.9035,1.0,0.0,5.96,0.3476,2.62,0.6354,4.6,1.3401,1.1,0.303,6.42,0.4986,1.08,0.274,2.68,0.7126,4.7,0.8864,5.88,0.4352,1.34,0.6263
amusement_new_16_midj_sa.jpg,6.06,0.2399,1.0,0.0,6.16,0.5095,2.18,0.7743,4.52,1.111,1.08,0.274,5.7,0.6145,1.0,0.0,6.06,0.2399,2.62,0.5303,5.4,1.2122,1.04,0.1979,6.44,0.5014,1.04,0.1979,2.24,0.5555,5.36,0.7494,5.96,0.3476,1.5,0.6776
amusement_new_17.jpg,5.96,0.3476,1.3,0.5051,5.66,0.7174,1.94,0.8184,2.6,0.9897,1.36,0.5628,4.96,0.8797,1.2,0.4041,5.46,0.706,2.9,0.8631,4.1,1.3887,1.84,0.5841,5.98,0.3188,1.24,0.4314,2.9,0.8631,4.12,0.9613,5.42,0.6728,1.64,0.7762
amusement_new_19.jpg,5.96,0.3476,1.1,0.303,5.64,0.7762,1.78,0.7365,3.5,1.1112,1.64,0.6627,4.0,1.0302,1.1,0.303,4.74,1.1214,2.9,0.8631,3.4,1.4428,2.04,0.533,6.0,0.2857,1.44,0.5771,3.18,0.9409,3.7,0.8864,4.78,1.1657,1.92,0.8533
amusement_new_21.jpg,5.6,0.6061,1.06,0.2399,5.34,0.8478,2.28,0.701,2.24,0.8704,1.2,0.4041,2.4,0.5714,1.22,0.4185,2.52,0.5436,3.32,0.7939,3.0,1.178,2.04,0.533,5.86,0.3505,1.62,0.6354,5.36,0.7494,3.1,0.6776,3.96,1.0683,2.22,0.8873
amusement_new_22.jpg,5.76,0.7969,1.36,0.5628,3.8,1.3401,2.92,0.9864,2.42,0.9055,1.34,0.5573,2.28,0.6713,1.28,0.4536,2.02,0.5529,3.46,0.8855,2.86,1.3554,2.38,0.5675,4.88,1.1891,2.1,0.544,5.06,1.1851,3.4,0.9258,4.44,1.0721,2.02,0.8687
amusement_new_24.jpg,6.04,0.1979,1.06,0.2399,5.7,0.7071,2.48,0.8389,2.08,0.8769,1.2,0.4041,5.66,0.5928,1.04,0.1979,5.96,0.3476,2.5,0.8631,2.34,1.0022,1.22,0.4185,6.26,0.4431,1.04,0.1979,2.82,0.7743,4.42,1.0897,5.82,0.5956,1.78,0.8154
amusement_new_25.jpg,5.94,0.3136,1.04,0.1979,5.08,1.066,2.28,0.6713,3.42,1.0319,2.02,0.5529,3.94,0.9127,1.1,0.303,4.5,1.0546,3.16,0.9116,2.94,1.1502,1.52,0.5436,5.94,0.3136,1.28,0.4536,4.24,1.0797,3.58,0.7848,5.46,0.6764,1.98,0.8449
amusement_new_26.jpg,3.18,0.9409,1.04,0.1979,5.1,0.9313,3.96,1.0683,2.84,0.9337,1.3,0.5051,2.84,0.7384,1.24,0.4314,4.02,1.02,3.5,0.8631,5.5,0.7354,1.98,0.5147,5.96,0.3476,1.38,0.5303,5.8,0.4518,3.4,0.833,5.0,0.8806,2.16,0.7384
amusement_new_27.jpg,6.0,0.3499,1.04,0.1979,5.88,0.8485,1.24,0.4764,2.18,1.0631,1.06,0.2399,5.82,0.5956,1.04,0.1979,6.04,0.4499,1.8,0.6999,3.44,1.5539,1.0,0.0,6.44,0.5014,1.08,0.274,1.2,0.4041,5.58,0.7584,5.82,0.8497,1.38,0.6354
