"image","predicted_emotion"
"Faces_364_v","disgust"
"People_237_h","disgust"
"People_220_h","disgust"
"Faces_365_v","disgust"
"People_226_h","fear"
"People_216_h","disgust"
"Animals_076_v","anger"
"Faces_149_v","disgust"
"Faces_143_v","disgust"
"People_218_v","disgust"
"Objects_283_h","fear"
"People_211_v","disgust"
"Animals_030_h","fear"
"Animals_020_h","fear"
"Animals_073_h","anger"
"Animals_041_h","disgust"
"Animals_006_v","fear"
"People_040_h","sadness"
"People_241_h","disgust"
"People_222_h","fear"
"People_017_h","fear"
"People_003_h","fear"
"Faces_366_h","fear"
"Animals_007_h","anger"
"Animals_004_v","anger"
"Landscapes_002_h","sadness"
"Animals_085_h","anger"
"Animals_058_h","fear"
"Animals_074_h","sadness"
"People_209_v","fear"
"People_214_h","disgust"
"People_127_h","anger"
"People_077_v","fear"
"Animals_039_h","disgust"
"People_202_h","fear"
"Faces_172_h","sadness"
"People_016_h","fear"
"People_002_v","fear"
"Faces_273_h","fear"
"People_204_v","disgust"
"Animals_061_h","happiness"
"People_198_h","disgust"
"Animals_144_h","fear"
"Objects_126_h","disgust"
"Animals_022_h","fear"
"Objects_285_h","fear"
"People_140_h","sadness"
"Animals_055_h","fear"
"People_217_h","fear"
"Animals_037_h","disgust"
"People_225_h","fear"
"People_201_v","fear"
"People_084_h","fear"
"Objects_148_h","fear"
"Faces_368_h","happiness"
"Animals_111_h","disgust"
"People_228_h","disgust"
"People_139_h","happiness"
"People_039_v","sadness"
"People_240_h","disgust"
"Faces_174_h","sadness"
"People_036_h","happiness"
"Landscapes_005_h","fear"
"People_075_v","anger"
"Faces_034_h","sadness"
"People_239_h","disgust"
"Faces_271_h","fear"
"People_074_v","fear"
"People_147_h","sadness"
"Faces_283_h","sadness"
"Faces_021_h","sadness"
"Objects_145_h","sadness"
"Faces_270_h","anger"
"Animals_087_h","fear"
"Animals_002_v","anger"
"Faces_011_h","sadness"
"Faces_041_h","sadness"
"Faces_363_v","sadness"
"Animals_008_v","anger"
"Animals_077_h","disgust"
"Faces_028_h","sadness"
"Faces_302_h","sadness"
"People_223_h","disgust"
"Faces_294_h","sadness"
"Objects_154_h","disgust"
"Animals_003_h","fear"
"Faces_152_h","sadness"
"Faces_031_v","sadness"
"People_122_h","sadness"
"People_128_h","happiness"
"People_034_h","sadness"
"Objects_202_h","fear"
"Objects_121_v","disgust"
"Animals_043_h","disgust"
"People_019_v","disgust"
"Animals_062_h","disgust"
"Animals_060_h","fear"
"Animals_078_h","disgust"
"Faces_032_h","sadness"
"People_212_h","fear"
"Animals_009_v","fear"
"Faces_279_h","sadness"
"Faces_158_h","sadness"
"Objects_022_h","disgust"
"Faces_007_h","sadness"
"People_133_h","sadness"
"People_001_h","sadness"
"People_231_h","fear"
"Animals_221_h","disgust"
"Faces_019_h","sadness"
"People_213_v","disgust"
"People_233_h","disgust"
"Animals_025_h","disgust"
"Animals_045_h","disgust"
"Animals_047_h","disgust"
"Objects_006_h","disgust"
"Landscapes_026_h","disgust"
"People_033_h","sadness"
"Animals_067_h","disgust"
"Objects_021_v","disgust"
"Faces_369_v","happiness"
"Faces_151_v","sadness"
"Animals_027_h","disgust"
"People_210_h","sadness"
"Objects_013_h","disgust"
"Objects_125_h","disgust"
"Animals_001_h","disgust"
"Faces_036_h","sadness"
"Faces_157_h","sadness"
"Animals_032_h","disgust"
"Landscapes_070_h","disgust"
"People_236_v","fear"
"Animals_029_v","disgust"
"Faces_288_h","surprise"
"People_247_v","disgust"
"Animals_154_h","happiness"
"People_015_h","sadness"
"Animals_065_h","disgust"
"Faces_301_h","sadness"
"Faces_176_h","sadness"
"Objects_264_v","happiness"
"Landscapes_008_h","happiness"
"Faces_175_v","sadness"
"People_180_h","happiness"
"Faces_050_h","happiness"
"Animals_010_h","fear"
"Animals_038_h","disgust"
"Objects_122_h","disgust"
"People_058_h","disgust"
"Objects_128_h","disgust"
"Faces_164_h","sadness"
"People_249_h","fear"
"Faces_017_h","sadness"
"Faces_171_v","anger"
"People_087_h","disgust"
"Objects_023_v","disgust"
"Objects_053_h","disgust"
"Animals_018_h","disgust"
"People_188_h","happiness"
"People_183_h","happiness"
"Objects_244_h","disgust"
"Objects_110_v","disgust"
"Animals_013_h","sadness"
"Objects_088_h","disgust"
"People_059_v","disgust"
"Animals_019_h","sadness"
"Animals_033_h","disgust"
"Faces_006_h","sadness"
"Objects_011_h","disgust"
"Objects_179_h","disgust"
"People_024_v","disgust"
"Faces_033_h","sadness"
"People_025_v","disgust"
"Faces_296_h","sadness"
"Landscapes_007_h","disgust"
"Landscapes_060_h","disgust"
"Animals_135_v","happiness"
"Animals_182_h","happiness"
"People_230_h","disgust"
"People_121_h","sadness"
"People_062_v","disgust"
"Objects_109_h","disgust"
"Objects_007_h","disgust"
"Animals_171_h","fear"
"People_143_h","sadness"
"Animals_179_h","happiness"
"Objects_156_v","disgust"
"Objects_207_h","disgust"
"Animals_121_h","happiness"
"Animals_089_v","surprise"
"Objects_045_h","disgust"
"Landscapes_025_h","disgust"
"Objects_009_h","disgust"
"Objects_328_h","disgust"
"People_057_h","disgust"
"Animals_086_v","sadness"
"Faces_012_v","sadness"
"Objects_018_h","disgust"
"Objects_216_h","disgust"
"Objects_019_h","disgust"
"Animals_053_h","sadness"
"Faces_166_h","sadness"
"Faces_037_h","sadness"
"Objects_119_h","fear"
"People_179_h","happiness"
"Objects_206_h","disgust"
"Landscapes_043_h","disgust"
"People_030_h","happiness"
"People_035_h","sadness"
"Landscapes_028_h","disgust"
"Objects_186_v","disgust"
"Faces_155_h","sadness"
"Landscapes_102_h","surprise"
"Faces_275_h","disgust"
"Objects_307_v","disgust"
"Objects_060_h","disgust"
"Faces_156_h","happiness"
"Animals_197_h","surprise"
"Faces_224_h","sadness"
"Objects_255_v","happiness"
"Objects_015_v","disgust"
"People_164_h","disgust"
"Animals_122_h","happiness"
"Animals_203_h","sadness"
"Objects_223_h","fear"
"Animals_220_h","happiness"
"Landscapes_115_v","happiness"
"Animals_196_h","happiness"
"Landscapes_020_h","disgust"
"People_060_v","disgust"
"Faces_190_h","sadness"
"Animals_136_h","happiness"
"People_080_h","disgust"
"Faces_113_h","happiness"
"Objects_274_h","disgust"
"Faces_054_v","sadness"
"Objects_129_h","disgust"
"Faces_001_h","happiness"
"Landscapes_139_h","disgust"
"Animals_149_v","happiness"
"People_148_h","happiness"
"Faces_047_h","surprise"
"Objects_134_h","disgust"
"Faces_266_h","disgust"
"Objects_281_h","disgust"
"Objects_311_h","happiness"
"Objects_136_h","sadness"
"Landscapes_055_h","happiness"
"Objects_222_h","disgust"
"Faces_135_h","disgust"
"Faces_196_h","anger"
"Faces_216_h","sadness"
"People_097_h","sadness"
"Animals_127_h","disgust"
"Animals_170_h","happiness"
"Objects_115_h","disgust"
"People_165_v","fear"
"Landscapes_021_h","sadness"
"Faces_062_v","sadness"
"Animals_165_h","happiness"
"Faces_264_h","disgust"
"Objects_106_v","disgust"
"Objects_194_h","disgust"
"Landscapes_130_h","sadness"
"Faces_240_h","happiness"
"People_172_v","happiness"
"Landscapes_117_h","happiness"
"People_096_h","happiness"
"Faces_342_h","happiness"
"Animals_200_v","happiness"
"Animals_178_v","happiness"
"Animals_205_h","fear"
"Faces_263_v","happiness"
"Objects_282_h","disgust"
"Animals_104_h","happiness"
"Faces_218_h","disgust"
"People_026_h","happiness"
"Landscapes_178_h","happiness"
"Faces_129_h","happiness"
"Landscapes_165_h","happiness"
"Animals_208_h","happiness"
"Landscapes_149_h","happiness"
"Animals_216_v","disgust"
"Animals_195_h","disgust"
"Landscapes_154_h","happiness"
"Landscapes_140_v","happiness"
"Objects_124_h","disgust"
"Faces_352_h","happiness"
"Objects_010_h","disgust"
"Objects_211_h","disgust"
"Faces_192_h","disgust"
"Objects_093_h","disgust"
"Objects_056_h","happiness"
"Objects_178_v","disgust"
"Animals_213_h","sadness"
"Animals_137_h","happiness"
"Faces_306_v","disgust"
"Landscapes_057_h","happiness"
"Objects_278_h","happiness"
"Animals_173_h","happiness"
"Landscapes_100_h","happiness"
"Landscapes_180_h","happiness"
"Animals_212_v","happiness"
"Animals_185_h","happiness"
"Faces_120_h","happiness"
"Animals_206_h","happiness"
"People_166_h","fear"
"Animals_184_h","happiness"
"Objects_306_h","happiness"
"Objects_184_v","disgust"
"Faces_347_h","happiness"
"Animals_215_v","happiness"
"Faces_261_v","happiness"
"Animals_159_h","happiness"
"Faces_323_h","happiness"
"People_056_h","surprise"
"Faces_118_h","happiness"
"Animals_183_h","happiness"
"Landscapes_063_h","happiness"
"Objects_247_h","disgust"
"Objects_130_h","fear"
"Animals_118_h","fear"
"Landscapes_091_h","disgust"
"Faces_345_h","happiness"
"Faces_225_v","happiness"
"Objects_067_h","disgust"
"Objects_086_h","happiness"
"Faces_096_h","happiness"
"Faces_318_v","sadness"
"Animals_109_h","happiness"
"Faces_358_h","happiness"
"Faces_215_v","sadness"
"Landscapes_042_h","happiness"
"People_192_h","happiness"
"Faces_132_h","happiness"
"Faces_066_h","sadness"
"Animals_217_h","disgust"
"Faces_134_h","happiness"
"Faces_065_h","sadness"
"Objects_050_h","disgust"
"Faces_086_v","happiness"
"Objects_242_h","disgust"
"People_068_h","happiness"
"Landscapes_087_h","happiness"
"Faces_103_h","happiness"
"People_044_h","happiness"
"Faces_115_h","happiness"
"Landscapes_084_v","happiness"
"Faces_361_v","happiness"
"Objects_236_h","disgust"
"Faces_122_h","happiness"
"Faces_030_h","sadness"
"Landscapes_123_h","happiness"
"Faces_081_v","happiness"
"Objects_108_v","disgust"
"Objects_276_h","disgust"
"Landscapes_075_h","disgust"
"Faces_357_v","happiness"
"Objects_196_h","disgust"
"Objects_245_h","disgust"
"Faces_198_h","disgust"
"Faces_246_v","happiness"
"Animals_090_h","happiness"
"Faces_116_h","happiness"
"Objects_310_h","happiness"
"Animals_097_h","happiness"
"Objects_319_h","happiness"
"Faces_133_h","happiness"
"Faces_360_v","happiness"
"Faces_126_h","happiness"
"Landscapes_054_h","happiness"
"Faces_203_h","happiness"
"Animals_181_h","happiness"
"Landscapes_083_h","happiness"
"Objects_177_h","disgust"
"Faces_083_h","happiness"
"Faces_089_h","happiness"
"Faces_079_h","happiness"
"Landscapes_024_v","happiness"
"Objects_077_h","happiness"
"Objects_084_v","happiness"
"People_090_v","disgust"
"Objects_195_v","happiness"
"People_174_v","happiness"
"Faces_330_v","happiness"
"Objects_230_h","disgust"
"Animals_100_h","happiness"
"Animals_166_v","happiness"
"Faces_231_v","happiness"
"Animals_177_h","sadness"
"Faces_049_h","anger"
"Objects_208_h","disgust"
"Objects_312_h","happiness"
"Faces_232_h","happiness"
"Faces_186_h","surprise"
"Landscapes_126_h","happiness"
"Animals_117_h","happiness"
"Objects_175_h","disgust"
"People_146_h","disgust"
"Faces_339_h","happiness"
"Landscapes_128_h","happiness"
"Faces_315_h","sadness"
"Faces_101_h","happiness"
"Faces_309_h","sadness"
"Faces_182_h","anger"
"Faces_351_h","happiness"
"People_041_h","happiness"
"Faces_088_v","happiness"
"Animals_101_v","happiness"
"Animals_158_h","happiness"
"Animals_201_h","happiness"
"Animals_187_h","happiness"
"Objects_074_v","happiness"
"Faces_140_h","happiness"
"Objects_192_h","happiness"
"Objects_209_h","disgust"
"Animals_131_h","happiness"
"Objects_049_h","happiness"
"Faces_227_v","happiness"
"Faces_333_h","happiness"
"Faces_321_h","happiness"
"Landscapes_121_h","happiness"
"Objects_090_h","disgust"
"Faces_252_h","happiness"
"Faces_253_v","happiness"
"Landscapes_132_h","happiness"
"Faces_228_h","happiness"
"Landscapes_082_v","happiness"
"Faces_346_v","happiness"
"Faces_139_v","happiness"
"Faces_254_h","happiness"
"Objects_258_h","happiness"
"Objects_237_h","happiness"
"Faces_242_h","happiness"
"Faces_236_h","happiness"
"Faces_105_h","happiness"
"Faces_124_h","happiness"
"Objects_201_v","happiness"
"Faces_064_h","sadness"
"Objects_161_v","happiness"
"Faces_316_h","sadness"
"People_091_h","happiness"
"Objects_205_h","disgust"
"Faces_256_h","happiness"
"Faces_356_h","happiness"
"People_171_v","happiness"
"Animals_186_h","happiness"
"Faces_340_h","happiness"
"Objects_069_h","happiness"
"Faces_258_h","happiness"
"Landscapes_152_h","happiness"
"Objects_038_v","happiness"
"Faces_137_h","happiness"
"Faces_108_h","happiness"
"People_092_v","happiness"
"People_055_h","happiness"
"Objects_239_v","happiness"
"Landscapes_064_h","happiness"
"Faces_082_v","happiness"
"Faces_104_h","happiness"
"Landscapes_119_h","happiness"
"Landscapes_097_v","happiness"
"People_106_v","happiness"
"Faces_324_h","happiness"
"Faces_100_h","happiness"
"Faces_131_v","happiness"
"Faces_111_h","sadness"
"Objects_308_h","happiness"
"Faces_091_v","happiness"
"Objects_169_h","disgust"
"People_067_h","happiness"
"Faces_092_h","happiness"
"Objects_249_v","disgust"
"Faces_221_v","surprise"
"Faces_350_h","happiness"
"Objects_295_h","disgust"
"Faces_136_v","happiness"
"Faces_078_h","happiness"
"Faces_344_h","happiness"
"People_089_h","happiness"
"Faces_354_v","happiness"
"Objects_260_h","happiness"
"Faces_002_v","happiness"
"People_116_h","happiness"
"Objects_078_h","happiness"
"People_185_h","happiness"
"People_152_h","happiness"
"People_181_v","happiness"
"Faces_238_h","happiness"
"Animals_218_h","disgust"
"People_167_h","happiness"
"Faces_235_v","happiness"
"Faces_127_h","happiness"
"Faces_138_h","happiness"
"Faces_334_h","happiness"
"Faces_107_h","happiness"
"Faces_353_h","happiness"
"People_176_h","happiness"
"Landscapes_147_h","happiness"
"Faces_106_h","happiness"
"Objects_094_v","happiness"
"Faces_337_h","happiness"
"Landscapes_120_v","happiness"
"Faces_327_v","happiness"
