"image","predicted_emotion"
"Faces_364_v","fear"
"People_237_h","fear"
"People_220_h","fear"
"Faces_365_v","sadness"
"People_226_h","sadness"
"People_216_h","surprise"
"Animals_076_v","fear"
"Faces_149_v","sadness"
"Faces_143_v","sadness"
"People_218_v","fear"
"Objects_283_h","fear"
"People_211_v","fear"
"Animals_030_h","surprise"
"Animals_020_h","fear"
"Animals_073_h","fear"
"Animals_041_h","disgust"
"Animals_006_v","surprise"
"People_040_h","sadness"
"People_241_h","fear"
"People_222_h","fear"
"People_017_h","fear"
"People_003_h","sadness"
"Faces_366_h","fear"
"Animals_007_h","anger"
"Animals_004_v","anger"
"Landscapes_002_h","sadness"
"Animals_085_h","surprise"
"Animals_058_h","surprise"
"Animals_074_h","sadness"
"People_209_v","fear"
"People_214_h","fear"
"People_127_h","surprise"
"People_077_v","fear"
"Animals_039_h","fear"
"People_202_h","fear"
"Faces_172_h","sadness"
"People_016_h","fear"
"People_002_v","sadness"
"Faces_273_h","surprise"
"People_204_v","sadness"
"Animals_061_h","happiness"
"People_198_h","sadness"
"Animals_144_h","surprise"
"Objects_126_h","disgust"
"Animals_022_h","surprise"
"Objects_285_h","sadness"
"People_140_h","sadness"
"Animals_055_h","surprise"
"People_217_h","fear"
"Animals_037_h","surprise"
"People_225_h","surprise"
"People_201_v","fear"
"People_084_h","fear"
"Objects_148_h","fear"
"Faces_368_h","surprise"
"Animals_111_h","fear"
"People_228_h","fear"
"People_139_h","fear"
"People_039_v","sadness"
"People_240_h","fear"
"Faces_174_h","sadness"
"People_036_h","sadness"
"Landscapes_005_h","fear"
"People_075_v","anger"
"Faces_034_h","sadness"
"People_239_h","sadness"
"Faces_271_h","fear"
"People_074_v","fear"
"People_147_h","sadness"
"Faces_283_h","sadness"
"Faces_021_h","sadness"
"Objects_145_h","sadness"
"Faces_270_h","happiness"
"Animals_087_h","surprise"
"Animals_002_v","fear"
"Faces_011_h","sadness"
"Faces_041_h","sadness"
"Faces_363_v","sadness"
"Animals_008_v","fear"
"Animals_077_h","sadness"
"Faces_028_h","sadness"
