dataset,model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,num_samples,blocked_filtered
NAPS,qwen-vl-2.5-72b,79.75999999999999,51.25999999999999,82.14,50.33,79.75999999999999,50.22,80.42,504,False
NAPS,glm-vl-4.1-9b,70.63000000000001,45.989999999999995,76.67,54.42,70.63000000000001,47.55,71.72,504,False
NAPS,gpt-4.1,77.98,44.41,83.22,51.72,77.98,46.64,79.38,504,True
NAPS,gemma-vl-3-27b,72.61999999999999,44.1,81.08,50.22,72.61999999999999,45.59,74.0,504,False
NAPS,intern-vl-3.5-38b,78.36999999999999,44.36,83.04,50.55,78.36999999999999,45.39,79.71000000000001,504,False
NAPS,gemini-2.5-flash,74.03,41.949999999999996,82.49,45.67,74.03,42.77,76.14999999999999,489,True
NAPS,kimi-vl-a3b-16b,72.61999999999999,45.71,82.41000000000001,43.54,72.61999999999999,42.32,75.79,504,False
NAPS,llava-vl-mistral-7b,62.3,45.73,82.52000000000001,42.07,62.3,38.49,67.93,504,False
NAPS,qwen-vl-2.5-7b,77.98,41.120000000000005,78.74,36.16,77.98,36.22,77.25,504,False
NAPS,intern-vl-3.5-8b,75.79,37.68,81.17999999999999,33.45,75.79,33.75,75.94,504,False
NAPS,llava-vl-vicuna-7b,46.83,28.52,76.47,20.26,46.83,18.27,49.980000000000004,504,False
