"image","happiness_Mean","happiness_Std","surprise_Mean","surprise_Std","sadness_Mean","sadness_Std","anger_Mean","anger_Std","disgust_Mean","disgust_Std","fear_Mean","fear_Std","emotional valence_Mean","emotional valence_Std","arousal_Mean","arousal_Std"
"Faces_364_v","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED"
"People_237_h","1.0","0.0","6.22","0.42","6.26","0.44","5.14","0.35","7.0","0.0","6.16","0.37","1.0","0.0","7.0","0.0"
"People_220_h","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED"
"Faces_365_v","1.0","0.0","5.92","0.4","6.94","0.24","2.12","0.52","6.98","0.14","5.96","0.2","1.02","0.14","6.96","0.2"
"People_226_h","1.0","0.0","6.0","0.0","7.0","0.0","5.08","0.27","7.0","0.0","6.02","0.14","1.0","0.0","7.0","0.0"
"People_216_h","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED"
"Animals_076_v","1.0","0.0","2.22","0.42","1.02","0.14","7.0","0.0","3.86","0.5","6.0","0.0","1.98","0.14","6.78","0.42"
"Faces_149_v","1.0","0.0","2.04","0.2","7.0","0.0","5.02","0.14","5.94","0.24","3.26","0.49","2.0","0.0","6.0","0.0"
"Faces_143_v","1.0","0.0","3.22","0.58","6.9","0.3","5.82","0.39","6.0","0.0","5.0","0.0","1.8","0.4","6.08","0.27"
"People_218_v","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED"
"Objects_283_h","1.0","0.0","5.28","0.45","5.92","0.27","5.0","0.0","3.04","0.2","5.1","0.42","2.0","0.0","6.02","0.14"
"People_211_v","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED"
"Animals_030_h","1.02","0.14","4.12","0.33","1.0","0.0","1.12","0.33","3.0","0.0","4.38","0.49","3.04","0.2","4.38","0.49"
"Animals_020_h","1.0","0.0","3.86","0.35","1.0","0.0","5.0","0.0","3.12","0.33","6.0","0.0","2.7","0.46","5.36","0.48"
"Animals_073_h","1.0","0.0","4.04","0.35","1.26","0.44","5.04","0.28","3.62","0.49","5.78","0.42","2.62","0.49","5.9","0.3"
"Animals_041_h","1.0","0.0","3.96","0.45","1.94","0.24","4.68","0.59","6.78","0.42","5.78","0.42","2.0","0.0","5.78","0.42"
"Animals_006_v","1.0","0.0","3.04","0.28","1.0","0.0","2.0","0.0","3.0","0.0","4.04","0.2","3.0","0.0","4.04","0.2"
"People_040_h","1.0","0.0","2.14","0.35","7.0","0.0","1.74","0.44","1.78","0.51","6.0","0.0","1.96","0.2","6.0","0.0"
"People_241_h","1.0","0.0","3.02","0.43","5.92","0.27","4.06","0.31","7.0","0.0","6.0","0.0","1.06","0.24","6.9","0.3"
"People_222_h","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED"
"People_017_h","1.0","0.0","6.0","0.0","6.0","0.0","5.9","0.3","4.9","0.3","6.9","0.3","1.16","0.37","7.0","0.0"
"People_003_h","1.0","0.0","5.26","0.44","6.26","0.44","4.26","0.44","3.26","0.44","5.26","0.44","2.0","0.0","6.26","0.44"
"Faces_366_h","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED","BLOCKED"
"Animals_007_h","1.0","0.0","3.16","0.42","2.0","0.0","6.0","0.0","5.0","0.0","5.8","0.4","2.0","0.0","6.14","0.35"
"Animals_004_v","1.0","0.0","2.3","0.51","1.0","0.0","7.0","0.0","4.0","0.0","6.0","0.0","2.0","0.0","7.0","0.0"
