image,happiness_Mean,happiness_Std,surprise_Mean,surprise_Std,sadness_Mean,sadness_Std,anger_Mean,anger_Std,disgust_Mean,disgust_Std,fear_Mean,fear_Std,emotional valence_Mean,emotional valence_Std,arousal_Mean,arousal_Std
Faces_364_v,1.0,0.0,2.04,0.1979,6.0,0.0,2.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,7.0,0.0
People_237_h,1.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,7.0,0.0,6.0,0.0,1.0,0.0,6.08,0.274
People_220_h,1.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,7.0,0.0,6.0,0.0,1.0,0.0,6.0,0.0
Faces_365_v,1.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,7.0,0.0,6.0,0.0,1.98,0.1414,6.0,0.0
People_226_h,1.0,0.0,6.0,0.0,7.0,0.0,5.88,0.3283,6.0,0.0,6.0,0.0,1.0,0.0,6.0,0.0
People_216_h,1.0,0.0,3.0,0.0,6.0,0.0,3.0,0.0,7.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
Animals_076_v,1.98,0.1414,3.18,0.3881,2.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
Faces_149_v,3.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0,4.1,0.303,2.0,0.0,5.0,0.0
Faces_143_v,2.0,0.0,3.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,3.0,0.0,2.86,0.3505,4.0,0.0
People_218_v,1.0,0.0,2.4,0.4949,6.0,0.0,2.06,0.2399,7.0,0.0,6.0,0.0,1.0,0.0,6.0,0.0
Objects_283_h,1.0,0.0,6.0,0.0,6.0,0.0,5.04,0.1979,6.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
People_211_v,1.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,7.0,0.0,6.0,0.0,1.02,0.1414,6.0,0.0
Animals_030_h,2.0,0.0,5.0,0.0,2.0,0.0,2.04,0.1979,4.0,0.0,5.0,0.0,3.0,0.0,5.0,0.0
Animals_020_h,2.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0
Animals_073_h,1.0,0.0,4.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,5.0,0.0,2.12,0.3283,6.0,0.0
Animals_041_h,1.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,5.0,0.0
Animals_006_v,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,6.0,0.0,3.0,0.0,5.0,0.0
People_040_h,2.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
People_241_h,1.0,0.0,2.02,0.1414,3.18,0.3881,2.0,0.0,7.0,0.0,6.0,0.0,1.64,0.4849,6.0,0.0
People_222_h,1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,7.0,0.0
People_017_h,1.0,0.0,5.96,0.1979,5.96,0.1979,5.04,0.1979,5.02,0.1414,6.0,0.0,2.0,0.0,7.0,0.0
People_003_h,1.0,0.0,5.96,0.1979,6.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
Faces_366_h,1.0,0.0,2.98,0.1414,6.0,0.0,2.06,0.2399,7.0,0.0,7.0,0.0,1.0,0.0,7.0,0.0
Animals_007_h,2.0,0.0,3.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,2.04,0.1979,6.0,0.0
Animals_004_v,2.0,0.0,3.0,0.0,2.0,0.0,6.0,0.0,5.08,0.274,6.0,0.0,2.0,0.0,6.0,0.0
Landscapes_002_h,1.0,0.0,2.0,0.0,6.0,0.0,5.9,0.303,5.0,0.0,6.0,0.0,2.0,0.0,5.9,0.303
Animals_085_h,2.0,0.0,4.38,0.4903,1.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,7.0,0.0
Animals_058_h,2.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,4.98,0.1414
Animals_074_h,1.0,0.0,2.0,0.0,6.16,0.3703,6.0,0.0,6.0,0.0,5.08,0.274,2.0,0.0,6.0,0.0
People_209_v,1.0,0.0,2.38,0.4903,5.0,0.0,2.86,0.3505,6.98,0.1414,6.0,0.0,2.0,0.0,6.0,0.0
People_214_h,1.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
People_127_h,1.0,0.0,4.78,0.4185,4.92,0.274,5.88,0.3283,4.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0
People_077_v,1.26,0.4431,3.0,0.0,3.2,0.4041,3.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,5.98,0.1414
Animals_039_h,1.0,0.0,5.98,0.1414,7.0,0.0,6.0,0.0,7.0,0.0,6.0,0.0,1.0,0.0,7.0,0.0
People_202_h,1.0,0.0,2.04,0.1979,5.96,0.1979,3.0,0.0,7.0,0.0,6.12,0.3283,1.0,0.0,7.0,0.0
Faces_172_h,1.0,0.0,2.0,0.0,7.0,0.0,2.0,0.0,6.0,0.0,5.0,0.0,1.98,0.1414,5.24,0.4314
People_016_h,1.0,0.0,5.98,0.1414,6.0,0.0,5.92,0.274,6.0,0.0,6.98,0.1414,1.04,0.1979,7.0,0.0
People_002_v,1.0,0.0,6.0,0.0,7.0,0.0,4.08,0.274,6.96,0.1979,6.0,0.0,1.04,0.1979,7.0,0.0
Faces_273_h,2.0,0.0,3.0,0.0,4.0,0.0,3.08,0.274,3.3,0.4629,5.96,0.1979,3.0,0.0,6.0,0.0
People_204_v,1.0,0.0,2.0,0.0,3.86,0.3505,2.0,0.0,6.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0
Animals_061_h,6.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0
People_198_h,1.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,7.0,0.0,6.0,0.0,1.02,0.1414,6.0,0.0
Animals_144_h,2.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,5.96,0.1979,3.0,0.0,5.0,0.0
Objects_126_h,2.0,0.0,3.02,0.1414,5.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,2.04,0.1979,3.18,0.3881
Animals_022_h,2.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,5.08,0.274,3.0,0.0,5.0,0.0
Objects_285_h,1.0,0.0,4.2,0.4518,6.0,0.0,5.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
People_140_h,1.0,0.0,2.0,0.0,6.0,0.0,2.04,0.1979,6.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
Animals_055_h,2.0,0.0,3.94,0.2399,2.0,0.0,2.0,0.0,2.86,0.3505,5.0,0.0,3.0,0.0,5.0,0.0
People_217_h,1.0,0.0,2.66,0.4785,5.44,0.5014,3.08,0.274,6.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
Animals_037_h,1.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,5.0,0.0
People_225_h,1.0,0.0,2.94,0.2399,6.0,0.0,5.02,0.1414,6.08,0.274,6.0,0.0,1.76,0.4314,6.0,0.0
People_201_v,1.0,0.0,5.14,0.3505,6.08,0.274,3.22,0.4185,6.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
People_084_h,2.0,0.0,2.86,0.3505,3.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,6.0,0.0
Objects_148_h,1.0,0.0,3.0,0.0,3.68,0.4712,5.98,0.1414,4.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
Faces_368_h,2.0,0.0,5.96,0.1979,6.0,0.0,2.0,0.0,7.0,0.0,6.0,0.0,2.0,0.0,5.96,0.1979
Animals_111_h,2.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,6.0,0.0,3.0,0.0,5.0,0.0
People_228_h,1.0,0.0,2.0,0.0,5.24,0.4314,2.0,0.0,7.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
People_139_h,3.0,0.0,2.94,0.2399,3.98,0.1414,2.0,0.0,2.0,0.0,3.0,0.0,3.86,0.3505,4.0,0.0
People_039_v,2.0,0.0,2.04,0.1979,6.0,0.0,3.0,0.0,6.0,0.0,5.0,0.0,2.0,0.0,4.38,0.4903
People_240_h,1.0,0.0,3.0,0.0,6.0,0.0,2.4,0.4949,6.08,0.274,6.0,0.0,2.0,0.0,6.0,0.0
Faces_174_h,1.0,0.0,3.0,0.0,5.88,0.3283,3.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
People_036_h,3.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,2.94,0.2399,4.0,0.0,3.0,0.0,3.08,0.274
Landscapes_005_h,1.0,0.0,6.0,0.0,6.0,0.0,5.28,0.4536,6.0,0.0,6.12,0.3283,2.0,0.0,6.0,0.0
People_075_v,1.0,0.0,5.96,0.1979,6.0,0.0,7.0,0.0,7.0,0.0,6.08,0.274,1.0,0.0,6.98,0.1414
Faces_034_h,2.0,0.0,2.04,0.1979,6.0,0.0,2.0,0.0,4.38,0.4903,5.0,0.0,2.0,0.0,5.0,0.0
People_239_h,1.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,6.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0
Faces_271_h,1.0,0.0,2.98,0.1414,6.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,2.0,0.0,6.86,0.3505
People_074_v,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,3.0,0.0,5.44,0.5014
People_147_h,1.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0,5.0,0.0,2.0,0.0,2.78,0.4185
Faces_283_h,1.0,0.0,4.0,0.202,6.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
Faces_021_h,1.0,0.0,3.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,6.0,0.0
