"image","happiness_Mean","happiness_Std","surprise_Mean","surprise_Std","sadness_Mean","sadness_Std","anger_Mean","anger_Std","disgust_Mean","disgust_Std","fear_Mean","fear_Std","emotional valence_Mean","emotional valence_Std","arousal_Mean","arousal_Std"
"Faces_364_v","1.0","0.0","5.72","0.54","7.0","0.0","4.02","0.59","7.0","0.0","6.98","0.14","1.0","0.0","7.0","0.0"
"People_237_h","1.0","0.0","6.14","0.35","5.4","0.49","2.82","0.39","7.0","0.0","6.1","0.3","1.0","0.0","7.0","0.0"
"People_220_h","1.0","0.0","5.04","0.4","6.98","0.14","3.74","0.49","7.0","0.0","6.0","0.0","1.0","0.0","6.46","0.5"
"Faces_365_v","1.0","0.0","3.36","0.63","7.0","0.0","2.26","0.44","6.12","0.33","4.94","0.55","1.0","0.0","4.62","0.73"
"People_226_h","1.0","0.0","7.0","0.0","7.0","0.0","6.0","0.0","7.0","0.0","7.0","0.0","1.0","0.0","7.0","0.0"
"People_216_h","1.0","0.0","6.84","0.37","6.0","0.0","2.94","0.24","7.0","0.0","6.0","0.0","1.0","0.0","7.0","0.0"
"Animals_076_v","1.0","0.0","4.0","0.0","2.0","0.0","6.0","0.0","4.58","0.5","7.0","0.0","1.0","0.0","7.0","0.0"
"Faces_149_v","1.0","0.0","2.0","0.0","7.0","0.0","4.1","0.51","3.4","0.49","4.32","0.47","1.68","0.47","4.38","0.53"
"Faces_143_v","1.0","0.0","2.0","0.0","7.0","0.0","4.34","0.48","4.0","0.0","4.36","0.48","1.0","0.0","3.78","0.51"
"People_218_v","1.0","0.0","6.0","0.0","6.32","0.47","3.82","0.48","7.0","0.0","6.28","0.45","1.0","0.0","6.68","0.47"
"Objects_283_h","1.0","0.0","7.0","0.0","6.6","0.49","5.6","0.49","4.6","0.49","7.0","0.0","1.0","0.0","7.0","0.0"
"People_211_v","1.0","0.0","5.96","0.2","7.0","0.0","3.76","0.48","7.0","0.0","6.0","0.0","1.0","0.0","6.98","0.14"
"Animals_030_h","1.0","0.0","5.68","0.47","1.0","0.0","1.0","0.0","3.4","0.49","6.0","0.0","2.0","0.0","5.72","0.45"
"Animals_020_h","1.18","0.39","4.86","0.35","1.0","0.0","1.84","0.37","3.02","0.14","6.0","0.0","2.0","0.0","5.76","0.43"
"Animals_073_h","1.0","0.0","6.0","0.0","2.02","0.14","2.26","0.44","6.06","0.24","6.0","0.0","1.52","0.5","6.3","0.46"
"Animals_041_h","1.0","0.0","4.8","0.4","1.84","0.37","2.0","0.0","7.0","0.0","5.42","0.5","1.0","0.0","5.98","0.14"
"Animals_006_v","1.0","0.0","4.42","0.5","1.0","0.0","1.0","0.0","5.0","0.0","6.0","0.0","2.0","0.0","5.62","0.49"
"People_040_h","1.0","0.0","2.4","0.49","7.0","0.0","2.24","0.43","2.0","0.0","6.0","0.0","1.0","0.0","6.0","0.0"
"People_241_h","1.0","0.0","4.0","0.0","5.68","0.47","2.46","0.5","7.0","0.0","6.0","0.0","1.0","0.0","6.0","0.0"
"People_222_h","1.0","0.0","6.0","0.0","4.0","0.0","2.98","0.14","7.0","0.0","6.0","0.0","1.0","0.0","7.0","0.0"
"People_017_h","1.0","0.0","7.0","0.0","6.0","0.0","5.0","0.0","4.0","0.0","7.0","0.0","1.0","0.0","7.0","0.0"
"People_003_h","1.0","0.0","6.0","0.0","7.0","0.0","5.0","0.0","4.76","0.43","7.0","0.0","1.0","0.0","7.0","0.0"
"Faces_366_h","1.0","0.0","3.22","0.42","6.78","0.42","3.4","0.49","7.0","0.0","6.0","0.0","1.0","0.0","6.98","0.14"
"Animals_007_h","1.0","0.0","4.46","0.5","2.0","0.0","5.08","0.75","5.96","0.2","6.8","0.4","1.64","0.48","7.0","0.0"
"Animals_004_v","1.0","0.0","4.74","0.44","1.86","0.35","6.0","0.0","4.22","0.42","7.0","0.0","1.0","0.0","7.0","0.0"
"Landscapes_002_h","1.0","0.0","2.0","0.0","7.0","0.0","6.0","0.0","5.94","0.24","6.2","0.4","1.0","0.0","5.42","0.5"
"Animals_085_h","1.0","0.0","6.0","0.0","1.0","0.0","4.16","0.77","2.04","0.2","7.0","0.0","1.92","0.27","7.0","0.0"
"Animals_058_h","1.3","0.46","3.94","0.24","1.0","0.0","1.0","0.0","5.14","0.35","4.62","0.49","2.0","0.0","4.36","0.48"
"Animals_074_h","1.0","0.0","2.02","0.14","7.0","0.0","5.76","0.43","6.14","0.35","4.6","0.49","1.0","0.0","4.78","0.58"
"People_209_v","1.0","0.0","5.04","0.45","4.24","0.43","2.22","0.42","7.0","0.0","6.0","0.0","1.0","0.0","6.56","0.5"
"People_214_h","1.0","0.0","5.02","0.32","5.32","0.47","2.0","0.0","7.0","0.0","6.58","0.5","1.0","0.0","6.04","0.2"
"People_127_h","1.0","0.0","6.0","0.0","6.12","0.33","7.0","0.0","6.0","0.0","7.0","0.0","1.0","0.0","7.0","0.0"
"People_077_v","1.0","0.0","2.0","0.0","5.36","0.48","2.86","0.35","6.84","0.37","6.0","0.0","1.0","0.0","6.02","0.14"
"Animals_039_h","1.0","0.0","6.0","0.0","7.0","0.0","5.0","0.0","7.0","0.0","6.0","0.0","1.0","0.0","7.0","0.0"
"People_202_h","1.0","0.0","6.0","0.0","4.52","0.5","2.0","0.0","7.0","0.0","6.0","0.0","1.0","0.0","7.0","0.0"
"Faces_172_h","1.0","0.0","1.0","0.0","7.0","0.0","2.84","0.37","4.6","0.49","4.02","0.14","1.0","0.0","3.36","0.48"
"People_016_h","1.0","0.0","6.02","0.14","7.0","0.0","5.02","0.14","4.76","0.56","6.96","0.2","1.0","0.0","7.0","0.0"
