"image","happiness_Mean","happiness_Std","surprise_Mean","surprise_Std","sadness_Mean","sadness_Std","anger_Mean","anger_Std","disgust_Mean","disgust_Std","fear_Mean","fear_Std","emotional valence_Mean","emotional valence_Std","arousal_Mean","arousal_Std"
"Faces_364_v","6.36","1.3962","6.4","0.9476","6.56","1.3118","2.24","0.7709","7.0","0.0","6.98","0.1414","1.1","0.303","5.6","1.6903"
"People_237_h","1.2","0.4041","5.88","0.8485","4.28","1.4148","2.8","0.7284","7.0","0.0","4.6","1.3851","1.96","0.1979","2.34","0.5194"
"People_220_h","1.0","0.0","3.7","1.2164","6.86","0.3505","2.02","0.1414","7.0","0.0","5.6","1.1066","1.88","0.3283","2.1","0.303"
"Faces_365_v","1.2","0.4041","5.86","1.05","6.6","0.4949","2.02","0.1414","6.94","0.2399","5.5","1.2495","2.0","0.0","2.06","0.2399"
"People_226_h","1.0","0.0","6.1","0.9742","7.0","0.0","4.48","1.581","6.96","0.1979","7.0","0.0","1.22","0.4185","7.0","0.0"
"People_216_h","1.1","0.303","4.72","1.3559","4.84","1.4479","2.04","0.1979","6.96","0.1979","6.7","0.4629","2.0","0.0","6.1","0.544"
"Animals_076_v","2.0","0.0","4.12","1.1183","2.0","0.0","5.58","0.7584","5.82","0.5956","5.88","0.4352","2.0","0.0","5.78","0.4185"
"Faces_149_v","2.0","0.0","4.64","0.9848","4.48","1.2329","6.0","0.7825","5.98","0.714","3.46","0.9082","2.02","0.1414","3.98","1.1337"
"Faces_143_v","2.0","0.0","3.72","1.2129","5.14","1.2779","2.26","0.487","5.26","1.3674","2.18","0.3881","2.0","0.0","2.0","0.0"
"People_218_v","1.0","0.0","5.12","1.507","7.0","0.0","1.94","0.2399","7.0","0.0","6.58","0.4986","1.42","0.4986","2.0","0.0"
"Objects_283_h","1.0","0.0","6.76","0.4314","7.0","0.0","6.1","0.953","6.28","0.6074","7.0","0.0","2.0","0.0","6.7","0.4629"
"People_211_v","1.0","0.0","3.58","1.4441","6.96","0.1979","2.0","0.0","7.0","0.0","6.1","0.953","1.88","0.3283","2.0","0.0"
