image,happiness_Mean,happiness_Std,surprise_Mean,surprise_Std,sadness_Mean,sadness_Std,anger_Mean,anger_Std,disgust_Mean,disgust_Std,fear_Mean,fear_Std,emotional valence_Mean,emotional valence_Std,arousal_Mean,arousal_Std
Faces_364_v,1.0,0.0,1.76,0.716,6.3,0.6145,1.64,0.5253,7.0,0.0,6.92,0.274,1.0,0.0,7.0,0.0
People_237_h,1.0,0.0,1.82,0.7475,4.54,1.5012,1.34,0.4785,6.26,0.4431,5.9,0.4629,1.22,0.4185,6.28,0.6074
People_220_h,1.0,0.0,2.02,0.6543,6.04,0.4499,1.76,0.4314,7.0,0.0,5.98,0.3774,1.0,0.0,6.6,0.4949
Faces_365_v,1.0,0.0,3.52,1.9508,6.14,0.4522,1.86,0.4046,6.42,0.4986,5.98,0.3774,1.2,0.4041,6.76,0.4314
People_226_h,1.0,0.0,5.94,0.4699,6.04,0.1979,4.12,0.9613,5.96,0.1979,6.04,0.1979,1.1,0.303,6.94,0.2399
People_216_h,1.0,0.0,4.54,1.1817,5.84,0.3703,2.06,0.2399,6.36,0.4849,6.04,0.1979,1.24,0.4314,6.96,0.1979
Animals_076_v,1.24,0.4314,2.36,0.6627,1.48,0.5047,5.92,0.274,4.92,0.3959,5.22,0.4185,2.02,0.1414,6.06,0.2399
Faces_149_v,1.0,0.0,1.98,0.5147,6.6,0.4949,3.84,1.3456,5.96,0.3476,4.78,1.2824,1.36,0.4849,6.7,0.4629
Faces_143_v,1.04,0.1979,1.78,0.4647,6.14,0.3505,2.02,0.4281,6.04,0.1979,4.84,1.2182,1.6,0.4949,6.22,0.6481
People_218_v,1.0,0.0,3.3,0.9313,5.22,0.7637,1.84,0.3703,6.92,0.274,5.14,0.5718,1.04,0.1979,6.3,0.6145
Objects_283_h,1.0,0.0,5.94,0.3731,5.28,0.4536,3.76,0.716,3.86,0.6704,6.0,0.0,1.84,0.3703,6.2,0.4041
People_211_v,1.0,0.0,3.74,1.2423,5.6,0.5345,1.9,0.3642,6.96,0.1979,5.64,0.5253,1.04,0.1979,6.3,0.5803
Animals_030_h,2.0,0.0,4.42,0.5379,1.84,0.3703,2.0,0.0,4.2,0.4041,4.44,0.5014,2.88,0.3283,4.58,0.4986
Animals_020_h,1.48,0.5047,4.4,0.8081,1.54,0.5035,4.64,1.0053,4.42,0.5379,5.94,0.2399,2.14,0.3505,5.7,0.5051
Animals_073_h,1.0,0.0,4.52,0.9311,1.26,0.4431,6.14,0.3505,5.56,0.5014,5.94,0.2399,2.0,0.0,6.26,0.4431
Animals_041_h,1.0,0.0,3.36,0.9205,1.22,0.4185,1.82,0.3881,5.66,0.4785,4.74,0.4431,2.0,0.0,4.48,0.6465
Animals_006_v,1.36,0.4849,3.62,0.753,1.48,0.5047,1.88,0.3283,4.94,0.2399,5.02,0.1414,2.28,0.4536,5.02,0.3188
People_040_h,1.06,0.2399,2.14,0.3505,6.0,0.0,1.6,0.4949,2.0,0.0,4.4,0.8571,2.0,0.0,4.6,1.1066
People_241_h,1.0,0.0,2.32,1.019,3.44,1.0333,1.42,0.4986,6.14,0.3505,5.04,0.7273,1.34,0.4785,4.84,1.6581
People_222_h,1.0,0.0,4.36,0.9424,2.84,0.7656,2.38,0.5675,6.04,0.1979,5.94,0.3136,1.72,0.4536,6.22,0.5455
People_017_h,1.0,0.0,5.98,0.5147,5.5,0.5051,3.84,0.7918,5.2,0.4518,6.42,0.4986,1.26,0.4431,7.0,0.0
People_003_h,1.0,0.0,4.06,1.0184,5.92,0.274,2.42,0.5379,2.86,0.5718,5.66,0.4785,2.0,0.0,6.2,0.4041
Faces_366_h,1.0,0.0,2.42,0.9055,5.74,0.5272,1.8,0.4041,6.92,0.274,6.44,0.5014,1.0,0.0,6.96,0.1979
Animals_007_h,1.6,0.4949,2.34,0.5194,1.26,0.4431,5.62,0.4903,4.68,0.4712,5.78,0.4185,2.3,0.4629,6.02,0.2466
Animals_004_v,1.54,0.5035,2.36,0.6627,1.0,0.0,6.04,0.1979,4.36,0.598,6.0,0.0,2.02,0.1414,6.26,0.4431
Landscapes_002_h,1.0,0.0,1.94,0.2399,6.5,0.5051,3.18,0.8497,3.8,0.833,5.94,0.2399,1.86,0.3505,2.44,0.5406
Animals_085_h,1.08,0.274,2.88,0.9823,1.0,0.0,6.26,0.4431,2.62,0.6667,6.14,0.3505,2.0,0.0,6.94,0.2399
Animals_058_h,1.86,0.3505,3.0,0.8081,1.38,0.4903,1.96,0.2828,3.66,0.5194,2.9,0.3642,3.38,0.4903,3.32,0.5511
Animals_074_h,1.0,0.0,1.86,0.3505,6.2,0.4041,2.08,0.3405,5.94,0.2399,2.22,0.4185,1.6,0.4949,5.14,1.2779
People_209_v,1.0,0.0,2.16,0.4677,2.52,0.5436,1.96,0.1979,6.0,0.0,5.92,0.274,1.74,0.4431,5.86,0.4953
People_214_h,1.0,0.0,3.0,0.8806,5.94,0.3731,1.9,0.303,6.04,0.1979,5.72,0.4536,1.72,0.4536,5.04,0.9467
People_127_h,1.0,0.0,4.32,0.7677,3.6,0.6701,5.44,0.5014,3.22,0.6788,5.28,0.4536,2.0,0.0,6.04,0.1979
People_077_v,1.0,0.0,1.96,0.2828,4.12,0.6273,2.02,0.1414,5.02,0.1414,5.28,0.4536,2.0,0.0,4.84,0.6503
Animals_039_h,1.0,0.0,4.28,1.1959,6.2,0.4041,2.98,0.9366,6.92,0.274,6.14,0.3505,1.04,0.1979,6.96,0.1979
People_202_h,1.0,0.0,2.62,0.6966,2.7,0.6145,1.86,0.3505,6.04,0.1979,5.92,0.274,1.38,0.4903,6.42,0.4986
Faces_172_h,1.0,0.0,1.36,0.4849,6.96,0.1979,1.76,0.4314,5.26,0.6328,2.18,0.3881,1.1,0.303,1.88,0.5206
People_016_h,1.0,0.0,5.58,0.6417,5.92,0.274,3.68,0.7126,4.92,0.3959,6.0,0.0,1.42,0.4986,6.3,0.4629
People_002_v,1.0,0.0,5.28,0.7835,6.04,0.1979,3.46,0.7616,5.9,0.303,5.92,0.274,1.22,0.4185,6.44,0.5014
Faces_273_h,2.7,0.5051,1.88,0.3283,2.62,0.5303,2.14,0.3505,3.08,0.5284,4.18,0.5226,3.54,0.5035,3.64,0.5628
People_204_v,1.0,0.0,2.56,0.7045,3.3,0.8864,1.88,0.3283,5.92,0.274,3.68,0.7126,2.0,0.0,5.38,0.7796
Animals_061_h,5.34,0.6581,2.1,0.4165,1.32,0.4712,2.34,0.5928,3.98,0.5147,1.92,0.274,4.22,0.4647,5.44,0.5014
People_198_h,1.0,0.0,3.3,0.9313,5.84,0.4677,1.88,0.3283,6.84,0.3703,5.5,0.5051,1.08,0.274,6.44,0.5014
Animals_144_h,2.02,0.1414,2.32,0.4712,1.9,0.303,1.88,0.3283,3.32,0.5511,4.58,0.4986,3.32,0.4712,3.66,0.5194
Objects_126_h,1.26,0.4431,2.22,0.4185,4.4,0.5345,2.62,0.6354,4.4,0.5345,2.22,0.4185,2.3,0.4629,3.02,0.6543
Animals_022_h,2.0,0.0,3.28,0.701,2.1,0.303,2.04,0.1979,4.02,0.4734,4.58,0.4986,3.04,0.3476,4.3,0.5051
Objects_285_h,1.0,0.0,4.76,0.6565,5.12,0.3283,4.38,0.6024,4.3,0.5051,5.04,0.2828,2.0,0.0,5.26,0.487
People_140_h,1.0,0.0,2.06,0.3731,6.0,0.0,1.96,0.1979,5.44,0.5014,5.5,0.5051,2.0,0.0,5.84,0.4677
Animals_055_h,1.88,0.3283,2.76,0.5911,1.26,0.4431,2.02,0.1414,2.38,0.4903,5.0,0.0,2.94,0.2399,5.02,0.1414
People_217_h,1.0,0.0,2.02,0.4281,3.68,0.6833,1.88,0.3283,5.62,0.4903,5.62,0.4903,2.0,0.0,5.78,0.5455
Animals_037_h,1.0,0.0,3.48,0.9311,1.26,0.4431,1.94,0.2399,5.72,0.4536,4.88,0.3283,2.0,0.0,4.46,0.6764
People_225_h,1.0,0.0,2.86,0.9691,6.02,0.1414,3.64,0.7494,5.92,0.274,5.86,0.3505,1.26,0.4431,6.42,0.4986
People_201_v,1.0,0.0,4.36,1.0451,6.04,0.1979,2.52,0.5799,5.96,0.1979,5.94,0.3136,1.2,0.4041,6.6,0.4949
People_084_h,1.2,0.4041,1.6,0.4949,1.84,0.3703,3.76,0.8221,2.0,0.0,4.92,0.4882,2.6,0.4949,5.82,0.3881
Objects_148_h,1.0,0.0,2.52,0.5436,2.14,0.3505,4.62,0.5303,3.38,0.6354,5.66,0.4785,2.0,0.0,5.62,0.4903
Faces_368_h,2.18,0.3881,4.0,1.8295,5.7,0.5051,1.1,0.303,5.56,0.5014,4.0,1.6288,2.02,0.1414,5.06,0.8668
Animals_111_h,2.0,0.0,3.18,0.6289,2.0,0.0,1.92,0.274,4.16,0.4219,4.04,0.2828,2.92,0.274,3.38,0.5675
People_228_h,1.0,0.0,2.08,0.4445,2.38,0.4903,1.9,0.303,6.02,0.1414,5.12,0.3283,1.86,0.3505,6.06,0.5115
People_139_h,4.92,0.3959,2.02,0.1414,2.38,0.5303,1.1,0.303,1.2,0.4041,2.02,0.1414,5.04,0.2828,4.0,0.4949
People_039_v,1.08,0.274,1.76,0.4314,6.44,0.5014,1.84,0.3703,4.32,0.9134,2.34,0.5928,1.22,0.4185,1.98,0.5147
People_240_h,1.0,0.0,2.2,0.7825,5.96,0.3476,1.86,0.3505,6.6,0.4949,5.88,0.4352,1.1,0.303,6.3,0.5803
Faces_174_h,1.0,0.0,3.08,1.1036,5.5,0.5051,3.84,1.2349,5.82,0.3881,5.4,0.6999,1.6,0.4949,6.08,0.4882
People_036_h,2.14,0.3505,3.7,1.0351,4.38,0.6024,1.78,0.4647,1.54,0.5035,2.42,0.5379,3.86,0.6704,3.94,0.7117
Landscapes_005_h,1.0,0.0,5.74,0.5272,5.92,0.274,4.26,0.7775,5.0,0.3499,5.94,0.2399,1.6,0.4949,6.14,0.3505
People_075_v,1.6,0.4949,2.3,0.7071,2.32,0.7677,5.5,0.7071,4.14,1.2124,2.92,0.9442,1.96,0.1979,3.82,0.7197
