"image","happiness_Mean","happiness_Std","surprise_Mean","surprise_Std","sadness_Mean","sadness_Std","anger_Mean","anger_Std","disgust_Mean","disgust_Std","fear_Mean","fear_Std","emotional valence_Mean","emotional valence_Std","arousal_Mean","arousal_Std"
"Faces_364_v","1.0","0.0","1.8","1.178","1.44","0.6749","2.06","1.2683","6.8","0.4041","5.72","1.3099","1.04","0.1979","5.26","1.4401"
"People_237_h","1.0","0.0","1.92","0.9655","5.44","1.1634","1.82","0.8965","6.32","0.5869","4.12","1.5205","1.08","0.274","2.86","1.2938"
"People_220_h","1.0","0.0","1.0","0.0","2.38","1.3231","1.04","0.1979","6.92","0.274","4.14","1.9061","1.0","0.0","1.44","1.0529"
"Faces_365_v","1.0","0.0","1.38","0.6667","4.68","1.1683","1.4","0.6701","5.84","0.8889","2.88","1.1364","1.22","0.4647","2.9","1.1294"
"People_226_h","1.0","0.0","4.64","1.4813","5.88","0.659","5.76","1.318","6.5","0.5051","6.28","0.6074","1.04","0.1979","5.72","0.7296"
"People_216_h","1.0","0.0","1.4","0.6701","2.16","0.7384","2.22","1.0359","6.24","0.5555","4.66","1.4086","1.1","0.303","5.44","0.7329"
"Animals_076_v","1.0","0.0","1.84","0.8657","1.24","0.4314","5.72","0.6713","3.56","1.1095","1.9","0.9091","1.54","0.7616","5.74","0.6328"
"Faces_149_v","1.0","0.0","1.34","0.6263","6.24","0.5555","3.16","1.1493","5.58","0.7848","3.58","1.4299","1.14","0.4046","4.58","1.0897"
"Faces_143_v","1.0","0.0","1.08","0.274","5.94","0.6518","1.22","0.4647","5.78","0.7637","2.56","1.1457","1.4","0.6701","2.46","1.1104"
"People_218_v","1.0","0.0","1.04","0.1979","3.16","1.4619","1.12","0.3854","6.76","0.4314","3.48","1.6932","1.0","0.0","2.26","1.2747"
"Objects_283_h","1.0","0.0","4.58","1.4299","5.0","0.8806","5.3","1.233","4.44","1.0721","6.06","0.5115","1.04","0.1979","5.62","0.6667"
"People_211_v","1.0","0.0","1.0","0.0","4.62","1.5894","1.14","0.4046","6.6","0.4949","5.66","1.3032","1.0","0.0","2.66","1.5858"
"Animals_030_h","1.04","0.1979","2.32","0.6833","1.7","0.7071","1.58","0.7309","3.28","0.8816","2.78","0.6481","2.92","0.4882","3.42","0.8104"
"Animals_020_h","1.0","0.0","2.22","0.8873","1.38","0.6354","2.4","0.9897","3.82","1.0039","4.84","1.0568","2.26","0.7508","4.54","0.9304"
"Animals_073_h","1.0","0.0","4.46","1.2969","1.24","0.4314","5.74","0.6328","5.46","0.706","5.5","0.7071","2.24","1.0606","5.94","0.3731"
"Animals_041_h","1.0","0.0","1.38","0.6667","1.66","0.7982","1.08","0.274","5.14","1.0882","2.48","0.8628","1.68","0.7677","2.54","1.0144"
"Animals_006_v","1.0","0.0","2.36","0.8271","1.72","0.7296","1.36","0.6312","3.3","1.0152","3.18","0.8734","3.2","0.6701","3.56","0.8369"
"People_040_h","1.0","0.0","1.1","0.303","5.24","0.744","1.04","0.1979","2.52","0.9311","3.34","0.8947","2.24","0.6247","2.52","0.7351"
"People_241_h","1.0","0.0","1.5","0.7626","3.16","1.3756","1.26","0.5997","6.04","0.7548","2.74","1.2257","1.14","0.4046","2.26","1.1214"
"People_222_h","1.0","0.0","1.14","0.4046","1.6","0.7559","3.34","1.6977","6.58","0.4986","6.28","0.6074","1.0","0.0","5.94","0.9982"
"People_017_h","1.0","0.0","2.72","1.0309","2.36","0.6627","3.76","1.2707","4.88","1.0622","5.98","0.3774","1.24","0.4764","5.98","0.3774"
"People_003_h","1.0","0.0","1.72","0.7296","5.56","0.6749","1.24","0.4314","2.0","0.8806","4.48","1.2656","1.82","0.7197","3.9","0.9313"
"Faces_366_h","1.0","0.0","1.34","0.6263","1.86","0.8084","2.06","1.2683","6.6","0.4949","5.78","1.2501","1.04","0.1979","5.94","0.8184"
"Animals_007_h","1.0","0.0","2.44","0.8609","1.26","0.4431","4.82","0.8254","4.24","0.9596","3.68","1.0388","3.46","0.8621","5.5","0.6145"
"Animals_004_v","1.0","0.0","2.46","0.8855","1.1","0.303","5.94","0.3731","3.56","1.1095","4.58","1.1082","2.44","0.9293","5.96","0.3476"
"Landscapes_002_h","1.0","0.0","1.06","0.2399","5.98","0.3774","1.1","0.303","2.86","1.143","5.54","0.7343","1.56","0.7045","2.88","0.9398"
"Animals_085_h","1.0","0.0","4.22","1.3596","1.0","0.0","6.0","0.4949","1.92","0.8291","4.72","1.2943","2.88","1.0029","6.26","0.487"
"Animals_058_h","1.04","0.1979","2.3","0.7354","2.02","0.6848","1.52","0.7624","3.6","0.9258","2.4","0.6701","2.96","0.4499","3.64","0.9205"
"Animals_074_h","1.08","0.274","1.04","0.1979","5.54","0.7616","1.1","0.303","4.04","1.0294","2.2","0.6389","2.1","0.544","2.3","0.7354"
"People_209_v","1.0","0.0","1.08","0.274","1.6","0.7559","1.58","0.7848","6.06","0.5115","4.44","1.4165","1.1","0.303","5.02","1.1516"
"People_214_h","1.0","0.0","2.08","0.8769","5.56","0.6749","1.38","0.6354","5.84","0.4677","4.96","0.8797","2.24","0.7709","4.42","0.9278"
"People_127_h","1.0","0.0","2.58","0.9708","1.8","0.6999","5.68","0.7126","3.3","1.1995","4.78","1.1657","1.38","0.6354","5.1","0.7354"
"People_077_v","1.06","0.2399","1.34","0.6263","2.44","0.5771","1.86","0.8084","3.94","0.8668","3.58","0.9278","2.62","0.5303","3.62","0.9234"
"Animals_039_h","1.0","0.0","1.66","0.7982","4.52","1.0349","2.02","0.8919","6.16","0.5095","4.58","1.1445","1.22","0.4647","5.4","0.6999"
"People_202_h","1.0","0.0","1.08","0.274","1.38","0.6354","1.52","0.7624","6.08","0.4882","4.62","1.3686","1.04","0.1979","5.58","0.7584"
"Faces_172_h","1.0","0.0","1.06","0.2399","6.22","0.5455","1.04","0.1979","5.02","1.1516","1.38","0.6354","1.24","0.4764","2.14","0.9899"
"People_016_h","1.0","0.0","2.72","1.0309","5.5","0.7071","3.26","1.1214","4.98","1.1156","5.76","0.6565","1.06","0.2399","5.54","0.6455"
"People_002_v","1.0","0.0","1.74","0.8283","5.98","0.3774","1.82","0.8254","5.74","0.6328","5.44","1.091","1.04","0.1979","5.14","0.6704"
"Faces_273_h","2.24","0.5555","1.78","0.7365","2.4","0.4949","2.12","0.6273","1.82","0.7197","2.16","0.6181","2.94","0.4243","3.2","0.6999"
"People_204_v","1.22","0.4647","1.52","0.7624","2.32","0.6833","1.6","0.7559","3.82","1.0039","1.92","0.8041","2.76","0.6869","3.44","0.9071"
