dataset,model,emotion,mae,n_pairs,result_file
NAPS,gemini-2.5-flash,anger,0.87,489,NAPS-reg-gemini-2.5-flash.csv
NAPS,gemini-2.5-flash,arousal,1.08,489,NAPS-reg-gemini-2.5-flash.csv
NAPS,gemini-2.5-flash,disgust,1.04,489,NAPS-reg-gemini-2.5-flash.csv
NAPS,gemini-2.5-flash,emotional valence,1.09,489,NAPS-reg-gemini-2.5-flash.csv
NAPS,gemini-2.5-flash,fear,0.87,489,NAPS-reg-gemini-2.5-flash.csv
NAPS,gemini-2.5-flash,happiness,1.03,489,NAPS-reg-gemini-2.5-flash.csv
NAPS,gemini-2.5-flash,sadness,1.09,489,NAPS-reg-gemini-2.5-flash.csv
NAPS,gemini-2.5-flash,surprise,0.73,489,NAPS-reg-gemini-2.5-flash.csv
NAPS,gemma-vl-3-27b,anger,0.87,504,NAPS-reg-gemma-vl-3-27b.csv
NAPS,gemma-vl-3-27b,arousal,0.94,504,NAPS-reg-gemma-vl-3-27b.csv
NAPS,gemma-vl-3-27b,disgust,1.28,504,NAPS-reg-gemma-vl-3-27b.csv
NAPS,gemma-vl-3-27b,emotional valence,1.24,504,NAPS-reg-gemma-vl-3-27b.csv
NAPS,gemma-vl-3-27b,fear,1.25,504,NAPS-reg-gemma-vl-3-27b.csv
NAPS,gemma-vl-3-27b,happiness,0.75,504,NAPS-reg-gemma-vl-3-27b.csv
NAPS,gemma-vl-3-27b,sadness,1.32,504,NAPS-reg-gemma-vl-3-27b.csv
NAPS,gemma-vl-3-27b,surprise,0.89,504,NAPS-reg-gemma-vl-3-27b.csv
NAPS,gpt-4.1,anger,0.49,504,NAPS-reg-gpt-4.1.csv
NAPS,gpt-4.1,arousal,1.02,504,NAPS-reg-gpt-4.1.csv
NAPS,gpt-4.1,disgust,1.12,504,NAPS-reg-gpt-4.1.csv
NAPS,gpt-4.1,emotional valence,1.4,504,NAPS-reg-gpt-4.1.csv
NAPS,gpt-4.1,fear,0.87,504,NAPS-reg-gpt-4.1.csv
NAPS,gpt-4.1,happiness,1.01,504,NAPS-reg-gpt-4.1.csv
NAPS,gpt-4.1,sadness,0.96,504,NAPS-reg-gpt-4.1.csv
NAPS,gpt-4.1,surprise,1.04,504,NAPS-reg-gpt-4.1.csv
NAPS,intern-vl-3.5-8b,anger,0.59,504,NAPS-reg-intern-vl-3.5-8b.csv
NAPS,intern-vl-3.5-8b,arousal,1.27,504,NAPS-reg-intern-vl-3.5-8b.csv
NAPS,intern-vl-3.5-8b,disgust,1.3,504,NAPS-reg-intern-vl-3.5-8b.csv
NAPS,intern-vl-3.5-8b,emotional valence,1.05,504,NAPS-reg-intern-vl-3.5-8b.csv
NAPS,intern-vl-3.5-8b,fear,1.05,504,NAPS-reg-intern-vl-3.5-8b.csv
NAPS,intern-vl-3.5-8b,happiness,1.44,504,NAPS-reg-intern-vl-3.5-8b.csv
NAPS,intern-vl-3.5-8b,sadness,1.19,504,NAPS-reg-intern-vl-3.5-8b.csv
NAPS,intern-vl-3.5-8b,surprise,1.06,504,NAPS-reg-intern-vl-3.5-8b.csv
NAPS,qwen-vl-2.5-72b,anger,0.55,504,NAPS-reg-qwen-vl-2.5-72b.csv
NAPS,qwen-vl-2.5-72b,arousal,1.28,504,NAPS-reg-qwen-vl-2.5-72b.csv
NAPS,qwen-vl-2.5-72b,disgust,1.02,504,NAPS-reg-qwen-vl-2.5-72b.csv
NAPS,qwen-vl-2.5-72b,emotional valence,0.96,504,NAPS-reg-qwen-vl-2.5-72b.csv
NAPS,qwen-vl-2.5-72b,fear,0.84,504,NAPS-reg-qwen-vl-2.5-72b.csv
NAPS,qwen-vl-2.5-72b,happiness,0.98,504,NAPS-reg-qwen-vl-2.5-72b.csv
NAPS,qwen-vl-2.5-72b,sadness,0.94,504,NAPS-reg-qwen-vl-2.5-72b.csv
NAPS,qwen-vl-2.5-72b,surprise,0.68,504,NAPS-reg-qwen-vl-2.5-72b.csv
NAPS,qwen-vl-2.5-7b,anger,0.48,504,NAPS-reg-qwen-vl-2.5-7b.csv
NAPS,qwen-vl-2.5-7b,arousal,1.35,504,NAPS-reg-qwen-vl-2.5-7b.csv
NAPS,qwen-vl-2.5-7b,disgust,0.86,504,NAPS-reg-qwen-vl-2.5-7b.csv
NAPS,qwen-vl-2.5-7b,emotional valence,1.09,504,NAPS-reg-qwen-vl-2.5-7b.csv
NAPS,qwen-vl-2.5-7b,fear,0.54,504,NAPS-reg-qwen-vl-2.5-7b.csv
NAPS,qwen-vl-2.5-7b,happiness,0.86,504,NAPS-reg-qwen-vl-2.5-7b.csv
NAPS,qwen-vl-2.5-7b,sadness,0.77,504,NAPS-reg-qwen-vl-2.5-7b.csv
NAPS,qwen-vl-2.5-7b,surprise,0.63,504,NAPS-reg-qwen-vl-2.5-7b.csv
