dataset,model,avg_accuracy
IAPS,qwen-vl-2.5-72b,65.46
IAPS,qwen-vl-2.5-7b,65.32
IAPS,gemini-2.5-flash,63.72
IAPS,gpt-4.1,63.37
IAPS,intern-vl-3.5-8b,60.84
IAPS,glm-vl-4.1-9b,59.25
IAPS,kimi-vl-a3b-16b,58.67
IAPS,intern-vl-3.5-38b,58.67
IAPS,gemma-vl-3-27b,56.36
IAPS,llava-vl-mistral-7b,54.05
IAPS,llava-vl-vicuna-7b,33.09
LAIGAI,gemma-vl-3-27b,75.42
LAIGAI,kimi-vl-a3b-16b,71.25
LAIGAI,gemini-2.5-flash,69.89
LAIGAI,qwen-vl-2.5-72b,67.71
LAIGAI,intern-vl-3.5-38b,67.5
LAIGAI,intern-vl-3.5-8b,67.08
LAIGAI,gpt-4.1,65.42
LAIGAI,llava-vl-mistral-7b,61.88
LAIGAI,glm-vl-4.1-9b,58.75
LAIGAI,qwen-vl-2.5-7b,58.75
LAIGAI,llava-vl-vicuna-7b,35.42
NAPS,qwen-vl-2.5-72b,79.76
NAPS,intern-vl-3.5-38b,78.37
NAPS,gpt-4.1,77.98
NAPS,qwen-vl-2.5-7b,77.98
NAPS,intern-vl-3.5-8b,75.79
NAPS,gemini-2.5-flash,74.03
NAPS,gemma-vl-3-27b,72.62
NAPS,kimi-vl-a3b-16b,72.62
NAPS,glm-vl-4.1-9b,70.63
NAPS,llava-vl-mistral-7b,62.3
NAPS,llava-vl-vicuna-7b,46.83
