dataset,model,avg_f1_weighted
IAPS,gemini-2.5-flash,66.94
IAPS,gpt-4.1,65.62
IAPS,qwen-vl-2.5-72b,65.33
IAPS,qwen-vl-2.5-7b,64.71
IAPS,kimi-vl-a3b-16b,61.92
IAPS,intern-vl-3.5-8b,60.65
IAPS,intern-vl-3.5-38b,60.01
IAPS,glm-vl-4.1-9b,59.91
IAPS,gemma-vl-3-27b,57.93
IAPS,llava-vl-mistral-7b,56.16
IAPS,llava-vl-vicuna-7b,37.28
LAIGAI,gemma-vl-3-27b,74.79
LAIGAI,kimi-vl-a3b-16b,70.71
LAIGAI,gemini-2.5-flash,70.48
LAIGAI,qwen-vl-2.5-72b,68.29
LAIGAI,intern-vl-3.5-38b,67.39
LAIGAI,gpt-4.1,65.15
LAIGAI,intern-vl-3.5-8b,62.96
LAIGAI,qwen-vl-2.5-7b,59.82
LAIGAI,glm-vl-4.1-9b,59.38
LAIGAI,llava-vl-mistral-7b,57.3
LAIGAI,llava-vl-vicuna-7b,35.47
NAPS,qwen-vl-2.5-72b,80.42
NAPS,intern-vl-3.5-38b,79.71
NAPS,gpt-4.1,79.38
NAPS,qwen-vl-2.5-7b,77.25
NAPS,gemini-2.5-flash,76.15
NAPS,intern-vl-3.5-8b,75.94
NAPS,kimi-vl-a3b-16b,75.79
NAPS,gemma-vl-3-27b,74.0
NAPS,glm-vl-4.1-9b,71.72
NAPS,llava-vl-mistral-7b,67.93
NAPS,llava-vl-vicuna-7b,49.98
