dataset,model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,num_samples,blocked_filtered
IAPS,gemini-2.5-flash,63.72,41.75,74.38,46.43,63.72,42.78,66.94,634,True
IAPS,gemma-vl-3-27b,56.36,40.97,67.36999999999999,49.66,56.36,42.53,57.93000000000001,692,False
IAPS,glm-vl-4.1-9b,59.25,41.04,64.78,47.449999999999996,59.25,41.04,59.91,692,False
IAPS,gpt-4.1,63.370000000000005,39.550000000000004,71.81,43.32,63.370000000000005,39.77,65.62,658,True
IAPS,qwen-vl-2.5-72b,65.46,38.23,66.29,42.14,65.46,39.48,65.33,692,False
IAPS,qwen-vl-2.5-7b,65.32,33.98,65.09,35.04,65.32,33.7,64.71000000000001,692,False
IAPS,kimi-vl-a3b-16b,58.67,34.63,68.78999999999999,35.33,58.67,33.46,61.919999999999995,692,False
IAPS,llava-vl-mistral-7b,54.05,31.269999999999996,65.92,25.85,54.05,24.560000000000002,56.16,692,False
IAPS,intern-vl-3.5-38b,58.67,24.46,65.58,25.729999999999997,58.67,23.35,60.01,692,False
IAPS,intern-vl-3.5-8b,60.84,20.95,62.83,21.6,60.84,20.54,60.650000000000006,692,False
IAPS,llava-vl-vicuna-7b,33.09,24.38,66.29,19.08,33.09,16.05,37.28,692,False
LAIGAI,gemini-2.5-flash,69.89,68.41000000000001,80.02,77.49000000000001,69.89,68.33,70.48,465,True
LAIGAI,gemma-vl-3-27b,75.42,67.52,76.94,72.09,75.42,67.73,74.79,480,False
LAIGAI,gpt-4.1,65.42,66.24,77.81,75.62,65.42,63.660000000000004,65.14999999999999,480,True
LAIGAI,kimi-vl-a3b-16b,71.25,69.42,76.05,64.73,71.25,62.160000000000004,70.71,480,False
LAIGAI,qwen-vl-2.5-72b,67.71000000000001,64.42999999999999,74.77000000000001,66.0,67.71000000000001,60.419999999999995,68.28999999999999,480,False
LAIGAI,intern-vl-3.5-38b,67.5,66.64999999999999,73.87,63.36000000000001,67.5,57.699999999999996,67.39,480,False
LAIGAI,glm-vl-4.1-9b,58.75,56.699999999999996,66.09,60.81999999999999,58.75,55.04,59.38,480,False
LAIGAI,qwen-vl-2.5-7b,58.75,58.220000000000006,69.28,62.89,58.75,54.2,59.81999999999999,480,False
LAIGAI,intern-vl-3.5-8b,67.08,63.129999999999995,70.00999999999999,52.32,67.08,52.15,62.96000000000001,480,False
LAIGAI,llava-vl-mistral-7b,61.88,38.67,65.89,29.759999999999998,61.88,29.609999999999996,57.3,480,False
LAIGAI,llava-vl-vicuna-7b,35.42,38.53,55.85,25.83,35.42,22.439999999999998,35.47,480,False
NAPS,qwen-vl-2.5-72b,79.75999999999999,51.25999999999999,82.14,50.33,79.75999999999999,50.22,80.42,504,False
NAPS,glm-vl-4.1-9b,70.63000000000001,45.989999999999995,76.67,54.42,70.63000000000001,47.55,71.72,504,False
NAPS,gpt-4.1,77.98,44.41,83.22,51.72,77.98,46.64,79.38,504,True
NAPS,gemma-vl-3-27b,72.61999999999999,44.1,81.08,50.22,72.61999999999999,45.59,74.0,504,False
NAPS,intern-vl-3.5-38b,78.36999999999999,44.36,83.04,50.55,78.36999999999999,45.39,79.71000000000001,504,False
NAPS,gemini-2.5-flash,74.03,41.949999999999996,82.49,45.67,74.03,42.77,76.14999999999999,489,True
NAPS,kimi-vl-a3b-16b,72.61999999999999,45.71,82.41000000000001,43.54,72.61999999999999,42.32,75.79,504,False
NAPS,llava-vl-mistral-7b,62.3,45.73,82.52000000000001,42.07,62.3,38.49,67.93,504,False
NAPS,qwen-vl-2.5-7b,77.98,41.120000000000005,78.74,36.16,77.98,36.22,77.25,504,False
NAPS,intern-vl-3.5-8b,75.79,37.68,81.17999999999999,33.45,75.79,33.75,75.94,504,False
NAPS,llava-vl-vicuna-7b,46.83,28.52,76.47,20.26,46.83,18.27,49.980000000000004,504,False
