dataset,model,emotion,accuracy,precision,recall,f1_score,num_samples,blocked_filtered
IAPS,qwen-vl-2.5-7b,anger,0.3182,0.1892,0.3182,0.2373,22,False
IAPS,qwen-vl-2.5-7b,disgust,0.6119,0.4227,0.6119,0.5,67,False
IAPS,qwen-vl-2.5-7b,fear,0.3881,0.4906,0.3881,0.4333,67,False
IAPS,qwen-vl-2.5-7b,happiness,0.8468,0.84,0.8468,0.8434,372,False
IAPS,qwen-vl-2.5-7b,sadness,0.5728,0.602,0.5728,0.5871,103,False
IAPS,qwen-vl-2.5-7b,surprise,0.0656,0.1739,0.0656,0.0952,61,False
IAPS,glm-vl-4.1-9b,anger,0.3636,0.186,0.3636,0.2462,22,False
IAPS,glm-vl-4.1-9b,disgust,0.6567,0.3359,0.6567,0.4444,67,False
IAPS,glm-vl-4.1-9b,fear,0.6866,0.3538,0.6866,0.467,67,False
IAPS,glm-vl-4.1-9b,happiness,0.7285,0.8944,0.7285,0.803,372,False
IAPS,glm-vl-4.1-9b,sadness,0.3786,0.5493,0.3786,0.4483,103,False
IAPS,glm-vl-4.1-9b,surprise,0.0328,0.1429,0.0328,0.0533,61,False
IAPS,gpt-4.1,anger,0.0909,0.1429,0.0909,0.1111,22,True
IAPS,gpt-4.1,disgust,0.6364,0.5385,0.6364,0.5833,66,True
IAPS,gpt-4.1,fear,0.8657,0.4056,0.8657,0.5524,67,True
IAPS,gpt-4.1,happiness,0.6917,0.9396,0.6917,0.7968,360,True
IAPS,gpt-4.1,sadness,0.5728,0.6146,0.5728,0.593,103,True
IAPS,gpt-4.1,surprise,0.175,0.1273,0.175,0.1474,40,True
IAPS,llava-vl-vicuna-7b,anger,0.0455,0.2,0.0455,0.0741,22,False
IAPS,llava-vl-vicuna-7b,disgust,0.8955,0.1587,0.8955,0.2697,67,False
IAPS,llava-vl-vicuna-7b,fear,0.2388,0.5926,0.2388,0.3404,67,False
IAPS,llava-vl-vicuna-7b,happiness,0.3118,0.9508,0.3118,0.4696,372,False
IAPS,llava-vl-vicuna-7b,sadness,0.2524,0.4194,0.2524,0.3152,103,False
IAPS,llava-vl-vicuna-7b,surprise,0.1639,0.1163,0.1639,0.1361,61,False
IAPS,intern-vl-3.5-38b,anger,0.0455,0.0714,0.0455,0.0556,22,False
IAPS,intern-vl-3.5-38b,disgust,0.403,0.4737,0.403,0.4355,67,False
IAPS,intern-vl-3.5-38b,fear,0.8657,0.2886,0.8657,0.4328,67,False
IAPS,intern-vl-3.5-38b,happiness,0.7204,0.8963,0.7204,0.7988,372,False
IAPS,intern-vl-3.5-38b,sadness,0.4563,0.5732,0.4563,0.5081,103,False
IAPS,intern-vl-3.5-38b,surprise,0.082,0.1429,0.082,0.1042,61,False
IAPS,gemini-2.5-flash,anger,0.1905,0.1739,0.1905,0.1818,21,True
IAPS,gemini-2.5-flash,disgust,0.6667,0.5312,0.6667,0.5913,51,True
IAPS,gemini-2.5-flash,fear,0.8333,0.4741,0.8333,0.6044,66,True
IAPS,gemini-2.5-flash,happiness,0.6602,0.9484,0.6602,0.7785,362,True
IAPS,gemini-2.5-flash,sadness,0.6848,0.6562,0.6848,0.6702,92,True
IAPS,gemini-2.5-flash,surprise,0.2143,0.1385,0.2143,0.1682,42,True
IAPS,llava-vl-mistral-7b,anger,0.0455,0.1,0.0455,0.0625,22,False
IAPS,llava-vl-mistral-7b,disgust,0.194,0.9286,0.194,0.321,67,False
IAPS,llava-vl-mistral-7b,fear,0.7612,0.3129,0.7612,0.4435,67,False
IAPS,llava-vl-mistral-7b,happiness,0.664,0.8289,0.664,0.7373,372,False
IAPS,llava-vl-mistral-7b,sadness,0.5146,0.5521,0.5146,0.5327,103,False
IAPS,llava-vl-mistral-7b,surprise,0.1475,0.0918,0.1475,0.1132,61,False
IAPS,intern-vl-3.5-8b,anger,0.1364,0.15,0.1364,0.1429,22,False
IAPS,intern-vl-3.5-8b,disgust,0.2836,0.4872,0.2836,0.3585,67,False
IAPS,intern-vl-3.5-8b,fear,0.597,0.4545,0.597,0.5161,67,False
IAPS,intern-vl-3.5-8b,happiness,0.7419,0.844,0.7419,0.7897,372,False
IAPS,intern-vl-3.5-8b,sadness,0.767,0.4566,0.767,0.5725,103,False
IAPS,intern-vl-3.5-8b,surprise,0.0656,0.1212,0.0656,0.0851,61,False
IAPS,gemma-vl-3-27b,anger,0.0,0.0,0.0,0.0,22,False
IAPS,gemma-vl-3-27b,disgust,0.6716,0.4592,0.6716,0.5455,67,False
IAPS,gemma-vl-3-27b,fear,0.8507,0.4161,0.8507,0.5588,67,False
IAPS,gemma-vl-3-27b,happiness,0.5484,0.9358,0.5484,0.6915,372,False
IAPS,gemma-vl-3-27b,sadness,0.6796,0.4762,0.6796,0.56,103,False
IAPS,gemma-vl-3-27b,surprise,0.2295,0.1707,0.2295,0.1958,61,False
IAPS,qwen-vl-2.5-72b,anger,0.1364,0.1579,0.1364,0.1463,22,False
IAPS,qwen-vl-2.5-72b,disgust,0.6866,0.4742,0.6866,0.561,67,False
IAPS,qwen-vl-2.5-72b,fear,0.7313,0.4949,0.7313,0.5904,67,False
IAPS,qwen-vl-2.5-72b,happiness,0.793,0.8702,0.793,0.8298,372,False
IAPS,qwen-vl-2.5-72b,sadness,0.5534,0.6,0.5534,0.5758,103,False
IAPS,qwen-vl-2.5-72b,surprise,0.0492,0.0789,0.0492,0.0606,61,False
IAPS,kimi-vl-a3b-16b,anger,0.0455,0.1667,0.0455,0.0714,22,False
IAPS,kimi-vl-a3b-16b,disgust,0.6567,0.4112,0.6567,0.5057,67,False
IAPS,kimi-vl-a3b-16b,fear,0.7015,0.5054,0.7015,0.5875,67,False
IAPS,kimi-vl-a3b-16b,happiness,0.6532,0.8967,0.6532,0.7558,372,False
IAPS,kimi-vl-a3b-16b,sadness,0.5728,0.6941,0.5728,0.6277,103,False
IAPS,kimi-vl-a3b-16b,surprise,0.1967,0.096,0.1967,0.129,61,False
NAPS,qwen-vl-2.5-7b,anger,0.1429,0.1429,0.1429,0.1429,7,False
NAPS,qwen-vl-2.5-7b,disgust,0.8118,0.6699,0.8118,0.734,85,False
NAPS,qwen-vl-2.5-7b,fear,0.2174,0.8333,0.2174,0.3448,23,False
NAPS,qwen-vl-2.5-7b,happiness,0.8582,0.9163,0.8582,0.8863,268,False
NAPS,qwen-vl-2.5-7b,sadness,0.8627,0.7273,0.8627,0.7892,102,False
NAPS,qwen-vl-2.5-7b,surprise,0.0,0.0,0.0,0.0,19,False
NAPS,kimi-vl-a3b-16b,anger,0.1429,0.5,0.1429,0.2222,7,False
NAPS,kimi-vl-a3b-16b,disgust,0.8824,0.6198,0.8824,0.7282,85,False
NAPS,kimi-vl-a3b-16b,fear,0.7391,0.68,0.7391,0.7083,23,False
NAPS,kimi-vl-a3b-16b,happiness,0.7201,0.9747,0.7201,0.8283,268,False
NAPS,kimi-vl-a3b-16b,sadness,0.7353,0.7895,0.7353,0.7614,102,False
NAPS,kimi-vl-a3b-16b,surprise,0.2632,0.0926,0.2632,0.137,19,False
NAPS,llava-vl-vicuna-7b,anger,0.0,0.0,0.0,0.0,7,False
NAPS,llava-vl-vicuna-7b,disgust,0.9765,0.3097,0.9765,0.4703,85,False
NAPS,llava-vl-vicuna-7b,fear,0.1304,0.75,0.1304,0.2222,23,False
NAPS,llava-vl-vicuna-7b,happiness,0.4179,0.9825,0.4179,0.5864,268,False
NAPS,llava-vl-vicuna-7b,sadness,0.3431,0.7609,0.3431,0.473,102,False
NAPS,llava-vl-vicuna-7b,surprise,0.1579,0.0492,0.1579,0.075,19,False
NAPS,intern-vl-3.5-38b,anger,0.0,0.0,0.0,0.0,7,False
NAPS,intern-vl-3.5-38b,disgust,0.7765,0.8462,0.7765,0.8098,85,False
NAPS,intern-vl-3.5-38b,fear,0.913,0.3333,0.913,0.4884,23,False
NAPS,intern-vl-3.5-38b,happiness,0.8246,0.9693,0.8246,0.8911,268,False
NAPS,intern-vl-3.5-38b,sadness,0.8137,0.7345,0.8137,0.7721,102,False
NAPS,intern-vl-3.5-38b,surprise,0.2105,0.2222,0.2105,0.2162,19,False
NAPS,gemini-2.5-flash,anger,0.2857,0.2222,0.2857,0.25,7,True
NAPS,gemini-2.5-flash,disgust,0.9718,0.5656,0.9718,0.715,71,True
NAPS,gemini-2.5-flash,fear,0.8261,0.76,0.8261,0.7917,23,True
NAPS,gemini-2.5-flash,happiness,0.7052,0.9895,0.7052,0.8235,268,True
NAPS,gemini-2.5-flash,sadness,0.8119,0.7736,0.8119,0.7923,101,True
NAPS,gemini-2.5-flash,surprise,0.0526,0.0455,0.0526,0.0488,19,True
NAPS,gemma-vl-3-27b,anger,0.0,0.0,0.0,0.0,7,False
NAPS,gemma-vl-3-27b,disgust,0.9647,0.713,0.9647,0.82,85,False
NAPS,gemma-vl-3-27b,fear,0.8261,0.6552,0.8261,0.7308,23,False
NAPS,gemma-vl-3-27b,happiness,0.6418,0.9942,0.6418,0.78,268,False
NAPS,gemma-vl-3-27b,sadness,0.8725,0.6357,0.8725,0.7355,102,False
NAPS,gemma-vl-3-27b,surprise,0.2105,0.0889,0.2105,0.125,19,False
NAPS,gpt-4.1,anger,0.0,0.0,0.0,0.0,7,True
NAPS,gpt-4.1,disgust,0.9294,0.7383,0.9294,0.8229,85,True
NAPS,gpt-4.1,fear,0.9565,0.5,0.9565,0.6567,23,True
NAPS,gpt-4.1,happiness,0.7724,0.9857,0.7724,0.8661,268,True
NAPS,gpt-4.1,sadness,0.8039,0.7736,0.8039,0.7885,102,True
NAPS,gpt-4.1,surprise,0.1579,0.1111,0.1579,0.1304,19,True
NAPS,qwen-vl-2.5-72b,anger,0.1429,0.25,0.1429,0.1818,7,False
NAPS,qwen-vl-2.5-72b,disgust,0.8706,0.6916,0.8706,0.7708,85,False
NAPS,qwen-vl-2.5-72b,fear,0.6522,0.7895,0.6522,0.7143,23,False
