dataset,model,f1_weighted,num_samples
IAPS,gemini-2.5-flash,66.94,634
IAPS,gpt-4.1,65.62,658
IAPS,qwen-vl-2.5-72b,65.33,692
IAPS,qwen-vl-2.5-7b,64.71000000000001,692
IAPS,kimi-vl-a3b-16b,61.919999999999995,692
IAPS,intern-vl-3.5-8b,60.650000000000006,692
IAPS,intern-vl-3.5-38b,60.01,692
IAPS,glm-vl-4.1-9b,59.91,692
IAPS,gemma-vl-3-27b,57.93000000000001,692
IAPS,llava-vl-mistral-7b,56.16,692
IAPS,llava-vl-vicuna-7b,37.28,692
LAIGAI,gemma-vl-3-27b,74.79,480
LAIGAI,kimi-vl-a3b-16b,70.71,480
LAIGAI,gemini-2.5-flash,70.48,465
LAIGAI,qwen-vl-2.5-72b,68.28999999999999,480
LAIGAI,intern-vl-3.5-38b,67.39,480
LAIGAI,gpt-4.1,65.14999999999999,480
LAIGAI,intern-vl-3.5-8b,62.96000000000001,480
LAIGAI,qwen-vl-2.5-7b,59.81999999999999,480
LAIGAI,glm-vl-4.1-9b,59.38,480
LAIGAI,llava-vl-mistral-7b,57.3,480
LAIGAI,llava-vl-vicuna-7b,35.47,480
NAPS,qwen-vl-2.5-72b,80.42,504
NAPS,intern-vl-3.5-38b,79.71000000000001,504
NAPS,gpt-4.1,79.38,504
NAPS,qwen-vl-2.5-7b,77.25,504
NAPS,gemini-2.5-flash,76.14999999999999,489
NAPS,intern-vl-3.5-8b,75.94,504
NAPS,kimi-vl-a3b-16b,75.79,504
NAPS,gemma-vl-3-27b,74.0,504
NAPS,glm-vl-4.1-9b,71.72,504
NAPS,llava-vl-mistral-7b,67.93,504
NAPS,llava-vl-vicuna-7b,49.980000000000004,504
